id,months,offer,phone,multiple,internet_type,gb_mon,security,backup,protection,support,unlimited,contract,paperless,payment,monthly,total_revenue,satisfaction,churn_value,churn_score,cltv
6646-QVXLR,62,None,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,103.75,6824.17,1,1,91,5052
9369-XFEHK,33,None,Yes,Yes,Cable,15,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,3751.77,2,1,72,3601
1374-DMZUI,4,Offer E,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,622.45,2,1,91,5419
1989-PRJHP,27,None,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,2180.15,1,1,65,2377
4822-RVYBB,8,Offer E,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,1143.0,1,1,90,5906
4184-TJFAN,3,Offer E,Yes,No,Fiber Optic,2,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,88.3,351.06,1,1,68,4486
4145-UQXUQ,8,Offer E,Yes,No,Fiber Optic,9,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,1073.39,1,1,81,5662
1236-WFCDV,14,None,Yes,No,Fiber Optic,24,No,No,No,No,Yes,Month-to-Month,No,Credit Card,90.45,1424.4399999999998,3,1,96,4777
1271-SJBGZ,12,None,No,No,DSL,10,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,1,1,74,2437
4441-NIHPT,13,None,Yes,No,Fiber Optic,21,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,1465.1599999999999,1,1,90,2995
8999-BOHSE,11,None,Yes,No,Fiber Optic,27,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1091.26,2,1,89,2202
7029-RPUAV,17,None,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,2101.51,3,1,87,5508
8111-SLLHI,39,None,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,5581.55,3,1,96,4687
5293-WXJAK,11,None,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1323.4,3,1,82,4553
4086-YQSNZ,3,Offer E,Yes,No,Fiber Optic,9,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,233.92000000000002,2,1,89,3834
8399-YNDCH,21,None,Yes,No,DSL,14,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1963.17,1,1,70,4716
5565-FILXA,16,None,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,2149.2,2,1,96,5913
4187-CINZD,46,None,Yes,No,Fiber Optic,30,No,Yes,No,No,Yes,One Year,No,Credit Card,95.25,4706.18,2,1,90,3180
6818-WOBHJ,68,Offer A,Yes,Yes,Fiber Optic,24,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,7768.4400000000005,1,1,69,5651
9134-CEQMF,7,Offer E,Yes,No,Fiber Optic,27,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,772.11,2,1,89,3077
8519-IMDHU,15,None,Yes,Yes,Cable,22,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,2024.3,1,1,83,4981
3372-KWFBM,16,None,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1587.88,3,1,81,2508
7206-GZCDC,1,Offer E,Yes,No,Cable,18,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,98.93,2,1,75,4371
1768-ZAIFU,1,None,No,No,Cable,5,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,1,1,67,5688
3793-MMFUH,13,None,Yes,Yes,Fiber Optic,24,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1537.39,1,1,90,2230
6567-HOOPW,1,None,Yes,No,Fiber Optic,24,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,99.26,3,1,76,4363
8621-MNIHH,34,None,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3315.4700000000003,1,1,88,3369
5419-CONWX,4,None,Yes,No,Fiber Optic,10,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,99.8,493.57000000000005,1,1,89,2268
7024-OHCCK,2,None,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,209.39,3,1,72,4193
5357-TZHPP,9,None,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,84.4,1009.7,2,1,83,5745
0506-LVNGN,5,None,Yes,No,Fiber Optic,9,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,75.55,561.3,1,1,90,4028
9809-IMGCQ,22,Offer D,Yes,Yes,Fiber Optic,8,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,96.7,3066.91,1,1,93,4458
3254-YRILK,19,Offer D,Yes,Yes,Fiber Optic,9,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,2535.23,1,1,69,5683
0529-ONKER,15,Offer D,Yes,Yes,Fiber Optic,19,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1842.3500000000001,3,1,96,2099
5240-IJOQT,1,None,Yes,Yes,Fiber Optic,20,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,86.04,1,1,88,3348
0661-XEYAN,1,None,No,No,DSL,26,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,45.8,1,1,90,3884
2660-EMUBI,10,Offer D,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,1312.05,1,1,75,5353
7675-OZCZG,3,None,Yes,No,DSL,6,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,227.51999999999998,3,1,77,4145
9391-EOYLI,12,Offer D,Yes,No,Fiber Optic,19,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,1033.8400000000001,2,1,69,5374
2761-OCIAX,2,None,Yes,No,Fiber Optic,11,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,178.42000000000002,2,1,81,2803
3068-OMWZA,1,None,Yes,Yes,Fiber Optic,20,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,148.4,1,1,91,3106
4154-AQUGT,13,Offer D,Yes,No,Fiber Optic,5,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1188.4599999999998,1,1,82,3861
8017-LXHFA,23,Offer D,Yes,No,Fiber Optic,23,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,3010.51,2,1,95,2740
4248-QPAVC,17,Offer D,Yes,Yes,Fiber Optic,6,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,2089.3900000000003,1,1,90,3209
4690-LLKUA,17,None,Yes,No,DSL,2,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,1466.4099999999999,1,1,93,3797
9490-DFPMD,42,None,Yes,Yes,Fiber Optic,17,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3941.6099999999997,2,1,90,4871
8580-AECUZ,1,None,Yes,No,Fiber Optic,16,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,121.39999999999999,3,1,92,5001
5047-LHVLY,1,Offer E,Yes,No,Cable,12,No,No,Yes,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,89.93,2,1,91,3438
8375-DKEBR,1,Offer E,Yes,No,Fiber Optic,15,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,104.10999999999999,1,1,96,3438
7279-BUYWN,41,None,Yes,Yes,Fiber Optic,23,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,5835.45,1,1,89,3380
7156-MHUGY,13,None,Yes,No,Fiber Optic,4,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,90.5,1650.7400000000002,1,1,76,5394
9606-PBKBQ,32,None,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,2784.16,1,1,94,4584
3536-IQCTX,32,None,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,85.3,4248.3,1,1,75,2712
3132-TVFDZ,57,None,No,No,Cable,3,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,2560.8799999999997,2,1,82,5172
8080-DDEMJ,1,Offer E,Yes,No,Cable,14,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,60.38,2,1,79,4499
6702-OHFWR,1,Offer E,No,No,DSL,26,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,3,1,91,4972
4510-PYUSH,38,None,Yes,No,DSL,27,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,57.15,3242.4500000000003,1,1,75,3110
8840-DQLGN,35,None,Yes,Yes,Cable,22,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,4212.65,1,1,81,4745
4193-ORFCL,1,Offer E,Yes,No,DSL,14,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.1,60.34,1,1,70,2740
7776-QWNFX,30,None,Yes,No,DSL,29,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.4,1667.0,3,1,83,4795
6689-TCZHQ,5,Offer E,Yes,No,Fiber Optic,20,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,439.75,3,1,65,4054
9497-QCMMS,1,Offer E,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,123.72,1,1,81,5536
3424-NMNBO,58,None,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,108.85,9151.29,1,1,91,4739
4514-GFCFI,16,None,Yes,Yes,Fiber Optic,7,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,1630.3100000000002,2,1,91,5136
8000-REIQB,1,Offer E,Yes,No,Fiber Optic,27,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,102.45,2,1,94,3208
4795-KTRTH,5,Offer E,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.0,577.41,1,1,91,4287
9961-JBNMK,21,None,Yes,No,Fiber Optic,7,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,2907.77,1,1,87,4317
6179-GJPSO,43,None,Yes,No,Fiber Optic,10,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,5969.389999999999,1,1,86,2833
8290-YWKHZ,32,None,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.2,3992.8,3,1,90,5247
8051-HJRLT,1,Offer E,Yes,No,Fiber Optic,13,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.55,88.75,3,1,82,2146
4021-RQSNY,29,None,Yes,Yes,Fiber Optic,28,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.5,3754.22,3,1,72,5137
9061-TIHDA,13,None,Yes,Yes,Cable,6,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,1597.66,1,1,90,2982
8699-ASUFO,7,None,Yes,Yes,Fiber Optic,17,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.4,557.88,3,1,96,4969
4695-WJZUE,2,None,Yes,Yes,Fiber Optic,28,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.55,222.39,1,1,80,3685
3988-RQIXO,1,None,Yes,No,Fiber Optic,2,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.3,134.91,3,1,71,2371
5931-FLJJF,7,None,Yes,No,Fiber Optic,22,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,70.1,559.67,2,1,83,3669
3207-OYBWH,57,None,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.25,8259.33,2,1,86,6259
7216-EWTRS,1,None,Yes,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.8,118.15,1,1,65,3128
2528-HFYZX,17,None,Yes,No,Fiber Optic,8,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.45,1251.25,1,1,92,3266
4140-MUHUG,3,None,Yes,No,Fiber Optic,20,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,276.09,2,1,70,3561
1587-FKLZB,66,Offer A,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,99.5,8726.91,1,1,96,4479
5440-FLBQG,69,Offer A,Yes,Yes,Fiber Optic,4,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.4,10690.92,3,1,73,4708
2774-LVQUS,15,None,Yes,Yes,Fiber Optic,3,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,83.05,2030.25,3,1,70,2596
4612-THJBS,56,None,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.75,7447.129999999999,3,1,93,5605
4094-NSEDU,21,None,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,2417.9,2,1,73,4819
1846-XWOQN,1,None,Yes,No,Fiber Optic,8,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.15,118.12,2,1,71,2825
3757-NJYBX,32,None,Yes,Yes,Fiber Optic,3,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,106.35,3774.19,2,1,65,4113
9898-KZQDZ,40,None,Yes,Yes,Fiber Optic,20,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,94.55,5620.45,1,1,95,5676
8263-JQAIK,2,None,No,No,DSL,6,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,24.45,47.5,3,1,77,5573
2205-YMZZJ,7,None,Yes,Yes,Fiber Optic,13,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,84.8,823.52,3,1,70,2015
1254-IZEYF,31,None,Yes,Yes,Fiber Optic,4,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.95,4406.81,3,1,96,5362
9221-OTIVJ,14,None,Yes,Yes,Fiber Optic,7,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.85,1950.8400000000001,1,1,86,2292
5908-QMGOE,15,None,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.2,1443.5400000000002,1,1,80,4553
0397-GZBBC,59,None,Yes,Yes,Fiber Optic,15,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,6202.639999999999,2,1,85,5390
7641-EUYET,46,None,Yes,Yes,Fiber Optic,17,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.7,6753.619999999999,1,1,72,5712
8922-LIEGH,25,None,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.7,3073.2200000000003,3,1,82,4078
8245-UMPYT,16,None,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.4,2047.76,3,1,80,2688
5186-SAMNZ,1,None,Yes,No,Fiber Optic,15,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.5,190.7,2,1,77,3273
5373-SFODM,36,None,Yes,Yes,Fiber Optic,5,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,85.25,4016.19,2,1,82,3041
0022-TCJCI,45,None,Yes,No,DSL,17,Yes,No,Yes,No,Yes,One Year,No,Credit Card,62.7,3271.65,1,1,92,2654
5130-IEKQT,25,Offer C,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,105.95,3813.75,2,1,91,4283
3269-ATYWD,39,Offer C,Yes,Yes,Fiber Optic,23,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95.65,5544.32,1,1,65,4892
0354-WYROK,31,Offer C,Yes,No,Fiber Optic,21,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,4397.75,2,1,91,4050
7576-OYWBN,3,None,Yes,Yes,Fiber Optic,28,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.05,322.55,1,1,67,2930
5539-TMZLF,1,None,Yes,No,Fiber Optic,5,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.75,103.59,1,1,69,5057
3336-JORSO,33,Offer C,Yes,Yes,Fiber Optic,25,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,110.45,4294.37,1,1,80,3401
