transaction_id,customer_id,transaction_time,amount
T00070,C005,2026-09-01 10:16:19,234.9
T00071,C005,2026-09-01 11:19:53,431.71
T00072,C005,2026-09-01 11:39:48,156.8
T00073,C005,2026-09-01 12:31:12,204.69
T00074,C005,2026-09-01 12:50:58,401.89
T00075,C005,2026-09-01 13:31:29,103.44
T00076,C005,2026-09-01 14:44:28,241.31
T00077,C005,2026-09-01 14:39:18,42.2
T00078,C005,2026-09-01 14:13:50,232.11
T00079,C005,2026-09-01 14:01:53,225.97
T00080,C005,2026-09-01 14:49:29,284.22
T00081,C005,2026-09-01 14:03:00,173.84
T00082,C005,2026-09-01 14:54:38,379.09
T00083,C005,2026-09-01 14:09:09,449.74
T00084,C005,2026-09-01 14:33:59,402.37
T00085,C005,2026-09-01 14:54:27,421.5
T00086,C005,2026-09-01 14:06:28,209.91
T00087,C005,2026-09-01 15:56:54,134.41
T00088,C005,2026-09-01 15:22:58,257.7
T00089,C005,2026-09-01 15:07:53,176.24
T00090,C005,2026-09-01 15:36:02,444.86
T00091,C006,2026-09-01 09:27:46,363.2
T00092,C006,2026-09-01 10:34:31,494.48
T00093,C006,2026-09-01 10:31:55,405.36
T00094,C006,2026-09-01 11:15:03,472.76
T00095,C006,2026-09-01 11:53:20,209.13
T00096,C006,2026-09-01 13:54:47,52.59
T00097,C006,2026-09-01 13:09:06,370.59
T00098,C006,2026-09-01 14:20:18,70.16
T00099,C006,2026-09-01 14:18:35,325.03
T00100,C006,2026-09-01 15:17:01,456.21
T00101,C006,2026-09-01 15:04:19,174.57
T00102,C006,2026-09-01 15:01:02,299.24
T00103,C006,2026-09-01 16:11:19,315.83
T00104,C007,2026-09-01 10:37:29,187.75
T00105,C007,2026-09-01 10:52:43,117.56
T00106,C007,2026-09-01 11:57:21,392.08
T00107,C007,2026-09-01 11:16:09,287.23
T00108,C007,2026-09-01 12:58:45,240.82
T00109,C007,2026-09-01 13:31:16,247.54
T00110,C007,2026-09-01 13:16:13,373.43
T00111,C007,2026-09-01 13:01:44,207.25
T00112,C007,2026-09-01 14:08:53,326.08
T00113,C007,2026-09-01 14:45:03,74.82
T00114,C007,2026-09-01 15:28:44,348.7
T00115,C007,2026-09-01 15:36:10,413.07
T00116,C007,2026-09-01 15:20:41,292.49
T00117,C007,2026-09-01 16:37:33,281.55
T00118,C007,2026-09-01 16:24:37,416.57
T00119,C008,2026-09-01 10:22:52,15.39
T00120,C008,2026-09-01 10:20:26,451.01
T00121,C008,2026-09-01 11:05:26,302.73
T00122,C008,2026-09-01 12:11:44,335.87
T00123,C008,2026-09-01 13:06:09,458.06
T00124,C008,2026-09-01 13:25:20,197.74
T00125,C008,2026-09-01 13:57:45,33.01
T00126,C008,2026-09-01 14:59:53,371.64
T00127,C008,2026-09-01 15:50:52,305.54
T00128,C008,2026-09-01 15:25:28,200.75
T00129,C008,2026-09-01 15:39:10,184.28
T00130,C008,2026-09-01 15:48:58,155.59
T00131,C008,2026-09-01 16:34:53,243.26
T00132,C008,2026-09-01 16:46:23,469.05
T00133,C009,2026-09-01 10:04:55,115.32
T00134,C009,2026-09-01 10:35:46,138.51
T00135,C009,2026-09-01 10:34:51,35.2
T00136,C009,2026-09-01 10:58:44,85.79
T00137,C009,2026-09-01 11:08:25,242.38
T00138,C009,2026-09-01 11:08:08,182.25
T00139,C009,2026-09-01 11:00:24,355.41
T00140,C009,2026-09-01 11:39:41,235.24
T00141,C009,2026-09-01 11:34:02,48.11
T00142,C009,2026-09-01 12:43:43,484.17
T00143,C009,2026-09-01 12:37:33,60.52
T00144,C009,2026-09-01 15:36:43,405.64
T00145,C009,2026-09-01 16:48:16,475.62
T00146,C010,2026-09-01 09:54:48,100.72
T00147,C010,2026-09-01 09:15:23,381.61
T00148,C010,2026-09-01 10:30:20,381.93
T00149,C010,2026-09-01 10:36:53,322.24
T00150,C010,2026-09-01 11:07:24,452.65
T00151,C010,2026-09-01 11:11:14,349.66
T00152,C010,2026-09-01 11:40:44,338.26
T00153,C010,2026-09-01 11:31:09,298.25
T00154,C010,2026-09-01 11:16:22,282.35
T00155,C010,2026-09-01 12:21:57,163.3
T00156,C010,2026-09-01 13:14:52,368.2
T00157,C010,2026-09-01 13:50:47,66.49
T00158,C010,2026-09-01 14:58:22,399.72
T00159,C010,2026-09-01 14:30:29,36.89
T00160,C010,2026-09-01 14:34:17,265.99
T00161,C010,2026-09-01 14:38:16,328.58
T00162,C010,2026-09-01 15:23:34,284.73
T00163,C010,2026-09-01 16:44:33,443.65
T00164,C010,2026-09-01 16:42:39,226.11
T00165,C011,2026-09-01 09:22:43,290.49
T00166,C011,2026-09-01 10:55:48,273.82
T00167,C011,2026-09-01 10:21:24,371.55
T00168,C011,2026-09-01 10:32:15,219.14
T00169,C011,2026-09-01 10:43:01,21.96
T00170,C011,2026-09-01 11:41:33,20.42
T00171,C011,2026-09-01 11:54:12,269.18
T00172,C011,2026-09-01 11:31:31,401.4
T00173,C011,2026-09-01 11:38:45,181.85
T00174,C011,2026-09-01 11:48:28,28.42
T00175,C011,2026-09-01 12:43:56,294.57
T00176,C011,2026-09-01 12:43:46,205.16
T00177,C011,2026-09-01 13:29:24,174.82
T00178,C011,2026-09-01 14:19:04,368.81
T00179,C011,2026-09-01 14:48:02,238.98
T00180,C011,2026-09-01 14:55:29,427.88
T00181,C011,2026-09-01 15:17:36,30.63
T00182,C011,2026-09-01 15:00:52,493.98
T00183,C011,2026-09-01 16:08:14,198.32
T00184,C011,2026-09-01 16:23:03,116.94
T00185,C011,2026-09-01 16:57:36,395.31
T00186,C011,2026-09-01 16:42:59,214.61
T00187,C011,2026-09-01 16:55:45,304.39
T00188,C012,2026-09-01 09:12:33,91.85
T00189,C012,2026-09-01 09:51:03,123.52
T00190,C012,2026-09-01 09:19:28,328.33
T00191,C012,2026-09-01 09:52:50,261.22
T00192,C012,2026-09-01 09:09:42,96.5
T00193,C012,2026-09-01 10:25:40,101.35
T00194,C012,2026-09-01 10:02:55,181.56
T00195,C012,2026-09-01 10:04:53,484.86
T00196,C012,2026-09-01 10:48:08,464.6
T00197,C012,2026-09-01 10:57:48,95.21
T00198,C012,2026-09-01 11:41:34,381.54
T00199,C012,2026-09-01 13:16:23,449.74
T00200,C012,2026-09-01 14:34:37,315.24
T00201,C012,2026-09-01 14:46:24,300.54
T00202,C012,2026-09-01 15:13:36,54.83
T00203,C013,2026-09-01 09:40:55,140.14
T00204,C013,2026-09-01 09:27:28,445.49
T00205,C013,2026-09-01 10:24:33,432.44
T00206,C013,2026-09-01 10:08:14,331.07
T00207,C013,2026-09-01 11:04:10,52.62
T00208,C013,2026-09-01 13:23:59,192.62
T00209,C013,2026-09-01 13:07:58,364.48
T00210,C013,2026-09-01 13:25:17,49.71
T00211,C013,2026-09-01 14:59:47,344.8
T00212,C013,2026-09-01 14:04:12,427.09
T00213,C013,2026-09-01 14:39:44,245.49
T00214,C013,2026-09-01 15:28:50,414.09
T00215,C014,2026-09-01 10:55:39,342.23
T00216,C014,2026-09-01 10:26:12,140.84
T00217,C014,2026-09-01 10:05:23,400.74
T00218,C014,2026-09-01 10:39:27,426.79
T00219,C014,2026-09-01 11:58:47,357.1
T00220,C014,2026-09-01 12:42:44,351.76
T00221,C014,2026-09-01 12:41:35,313.12
T00222,C014,2026-09-01 12:37:59,87.72
T00223,C014,2026-09-01 13:42:44,437.2
T00224,C014,2026-09-01 13:50:30,414.65
T00225,C014,2026-09-01 13:09:31,174.21
T00226,C014,2026-09-01 13:29:38,88.77
T00227,C014,2026-09-01 14:35:01,417.75
T00228,C014,2026-09-01 15:28:11,13.13
T00229,C015,2026-09-01 11:31:12,312.29
T00230,C015,2026-09-01 11:48:40,319.59
T00231,C015,2026-09-01 11:30:33,320.66
T00232,C015,2026-09-01 12:23:44,392.12
T00233,C015,2026-09-01 12:05:18,382.9
T00234,C015,2026-09-01 13:09:40,481.87
T00235,C015,2026-09-01 13:27:59,97.95
T00236,C015,2026-09-01 14:36:28,396.52
T00237,C015,2026-09-01 15:19:31,387.72
T00238,C015,2026-09-01 15:03:26,91.53
T00239,C015,2026-09-01 16:11:21,357.2
T00240,C015,2026-09-01 16:53:00,38.38
T00241,C016,2026-09-01 10:55:58,427.68
T00242,C016,2026-09-01 11:13:46,484.75
T00243,C016,2026-09-01 11:35:58,73.74
T00244,C016,2026-09-01 11:11:06,42.16
T00245,C016,2026-09-01 12:32:05,192.2
T00246,C016,2026-09-01 12:31:50,133.73
T00247,C016,2026-09-01 12:22:25,87.88
T00248,C016,2026-09-01 12:33:28,472.71
T00249,C016,2026-09-01 13:34:12,428.56
T00250,C016,2026-09-01 13:14:54,414.7
T00251,C016,2026-09-01 13:10:51,421.57
T00252,C017,2026-09-01 09:46:13,122.73
T00253,C017,2026-09-01 10:10:26,435.35
T00254,C017,2026-09-01 10:43:55,221.84
T00255,C017,2026-09-01 11:20:46,215.67
T00256,C017,2026-09-01 11:58:19,204.82
T00257,C017,2026-09-01 12:56:04,492.15
T00258,C017,2026-09-01 12:00:57,448.11
T00259,C017,2026-09-01 12:14:33,114.42
T00260,C017,2026-09-01 12:48:24,360.31
T00261,C017,2026-09-01 12:17:14,241.05
T00262,C017,2026-09-01 13:26:07,88.03
T00263,C017,2026-09-01 14:24:16,54.67
T00264,C017,2026-09-01 14:07:14,232.31
T00265,C017,2026-09-01 14:49:51,18.75
T00266,C017,2026-09-01 15:28:43,25.94
T00267,C017,2026-09-01 15:59:57,312.16
T00268,C017,2026-09-01 15:45:14,245.95
T00269,C017,2026-09-01 15:13:06,71.34
T00270,C017,2026-09-01 15:43:19,220.85
T00271,C017,2026-09-01 15:37:47,250.88
T00272,C017,2026-09-01 15:21:53,169.7
T00273,C017,2026-09-01 15:01:23,222.29
T00274,C017,2026-09-01 15:12:16,15.69
T00275,C017,2026-09-01 15:17:29,202.32
T00276,C017,2026-09-01 15:45:46,304.01
T00277,C017,2026-09-01 15:31:10,350.54
T00278,C017,2026-09-01 15:32:59,392.13
T00279,C017,2026-09-01 16:07:10,245.45
T00280,C017,2026-09-01 16:23:40,128.6
T00281,C018,2026-09-01 09:56:45,79.82
T00282,C018,2026-09-01 09:15:53,312.9
T00283,C018,2026-09-01 09:19:32,284.23
T00284,C018,2026-09-01 10:31:49,169.97
T00285,C018,2026-09-01 10:01:32,53.05
T00286,C018,2026-09-01 11:12:29,26.27
T00287,C018,2026-09-01 12:51:25,204.49
T00288,C018,2026-09-01 12:01:37,288.1
T00289,C018,2026-09-01 12:45:57,402.29
T00290,C018,2026-09-01 12:33:41,92.07
T00291,C018,2026-09-01 13:48:39,321.85
T00292,C018,2026-09-01 14:02:58,25.48
T00293,C018,2026-09-01 14:05:08,35.47
T00294,C018,2026-09-01 14:31:40,357.44
T00295,C018,2026-09-01 15:07:07,359.9
T00296,C018,2026-09-01 16:19:46,409.26
T00297,C019,2026-09-01 09:06:10,448.46
T00298,C019,2026-09-01 09:03:05,410.48
T00299,C019,2026-09-01 09:25:02,29.97
T00300,C019,2026-09-01 11:59:41,224.92
T00301,C019,2026-09-01 12:17:53,300.71
T00302,C019,2026-09-01 14:11:12,244.85
T00303,C019,2026-09-01 15:50:57,171.22
T00304,C019,2026-09-01 15:45:35,374.7
T00305,C020,2026-09-01 09:28:54,222.49
T00306,C020,2026-09-01 09:31:50,89.22
T00307,C020,2026-09-01 09:05:17,330.1
T00308,C020,2026-09-01 10:36:31,275.81
T00309,C020,2026-09-01 10:58:02,49.95
T00310,C020,2026-09-01 10:50:34,118.07
T00311,C020,2026-09-01 10:53:14,136.26
T00312,C020,2026-09-01 11:11:48,435.45
T00313,C020,2026-09-01 11:30:57,373.93
T00314,C020,2026-09-01 11:19:36,179.51
T00315,C020,2026-09-01 11:43:19,257.37
T00316,C020,2026-09-01 12:49:48,261.86
T00317,C020,2026-09-01 13:40:35,24.4
T00318,C020,2026-09-01 16:33:35,437.98
T00319,C020,2026-09-01 16:33:35,216.64
T00320,C020,2026-09-01 16:41:50,300.25
T00321,C020,2026-09-01 16:53:11,198.09
T00322,C021,2026-09-01 09:17:39,419.64
T00323,C021,2026-09-01 09:32:34,390.24
T00324,C021,2026-09-01 10:35:47,304.91
T00325,C021,2026-09-01 11:41:43,192.7
T00326,C021,2026-09-01 12:01:54,212.39
T00327,C021,2026-09-01 12:37:44,224.21
T00328,C021,2026-09-01 12:53:59,208.46
T00329,C021,2026-09-01 13:13:55,293.91
T00330,C021,2026-09-01 13:19:01,56.68
T00331,C021,2026-09-01 13:16:58,162.95
T00332,C021,2026-09-01 13:27:01,430.41
T00333,C021,2026-09-01 14:04:00,389.0
T00334,C021,2026-09-01 14:55:35,485.21
T00335,C021,2026-09-01 14:46:30,125.66
T00336,C021,2026-09-01 14:02:53,93.18
T00337,C021,2026-09-01 15:09:28,175.13
T00338,C021,2026-09-01 15:29:40,221.13
T00339,C021,2026-09-01 15:19:07,312.4
T00340,C021,2026-09-01 16:00:56,91.85
T00341,C021,2026-09-01 16:19:27,27.97
T00342,C022,2026-09-01 09:36:46,335.26
T00343,C022,2026-09-01 09:36:48,423.64
T00344,C022,2026-09-01 11:43:55,296.82
T00345,C022,2026-09-01 11:14:05,110.86
T00346,C022,2026-09-01 11:19:49,493.48
T00347,C022,2026-09-01 11:08:36,468.94
T00348,C022,2026-09-01 12:28:00,69.83
T00349,C022,2026-09-01 12:05:36,467.6
T00350,C022,2026-09-01 13:04:32,258.55
T00351,C022,2026-09-01 13:13:11,82.69
T00352,C022,2026-09-01 13:52:49,482.91
T00353,C022,2026-09-01 13:42:33,168.33
T00354,C022,2026-09-01 13:28:56,294.25
T00355,C022,2026-09-01 14:55:46,265.65
T00356,C022,2026-09-01 14:22:43,270.8
T00357,C022,2026-09-01 16:22:44,80.34
T00358,C022,2026-09-01 16:49:41,369.12
T00359,C022,2026-09-01 16:07:49,102.29
T00360,C023,2026-09-01 09:54:07,86.52
T00361,C023,2026-09-01 09:37:04,482.04
T00362,C023,2026-09-01 09:46:33,334.2
T00363,C023,2026-09-01 09:54:25,193.41
T00364,C023,2026-09-01 09:29:49,129.63
T00365,C023,2026-09-01 10:25:07,433.66
T00366,C023,2026-09-01 12:48:11,65.42
T00367,C023,2026-09-01 12:24:45,460.15
T00368,C023,2026-09-01 12:00:18,471.03
T00369,C023,2026-09-01 12:13:52,336.82
T00370,C023,2026-09-01 12:40:25,180.8
T00371,C023,2026-09-01 12:01:49,306.43
T00372,C023,2026-09-01 12:08:32,209.38
T00373,C023,2026-09-01 12:47:12,393.37
T00374,C023,2026-09-01 13:12:30,371.84
T00375,C023,2026-09-01 14:03:33,208.03
T00376,C023,2026-09-01 14:45:03,337.12
T00377,C023,2026-09-01 15:05:33,383.52
T00378,C023,2026-09-01 15:40:22,223.44
T00379,C023,2026-09-01 15:10:00,68.9
T00380,C023,2026-09-01 16:53:06,12.82
T00381,C023,2026-09-01 16:14:00,189.57
T00382,C023,2026-09-01 16:06:14,350.78
T00383,C023,2026-09-01 16:59:28,229.86
T00384,C024,2026-09-01 09:48:31,192.89
T00385,C024,2026-09-01 09:43:37,45.87
T00386,C024,2026-09-01 09:34:07,337.42
T00387,C024,2026-09-01 12:09:01,237.11
T00388,C024,2026-09-01 12:02:20,433.03
T00389,C024,2026-09-01 12:47:01,244.8
T00390,C024,2026-09-01 13:52:28,177.21
T00391,C024,2026-09-01 14:11:04,205.42
T00392,C024,2026-09-01 14:36:14,271.47
T00393,C024,2026-09-01 15:14:42,384.79
T00394,C024,2026-09-01 15:05:45,361.88
T00395,C024,2026-09-01 15:58:42,18.93
T00396,C024,2026-09-01 16:22:42,13.71
T00397,C024,2026-09-01 16:46:52,450.03
T00398,C024,2026-09-01 16:24:35,464.25
T00399,C024,2026-09-01 16:14:03,467.87
T00400,C024,2026-09-01 16:21:18,59.7
T00401,C025,2026-09-01 09:03:47,266.31
T00402,C025,2026-09-01 09:45:26,465.51
T00403,C025,2026-09-01 10:27:34,294.66
T00404,C025,2026-09-01 10:41:35,361.64
T00405,C025,2026-09-01 10:01:48,488.6
T00406,C025,2026-09-01 11:25:24,266.02
T00407,C025,2026-09-01 11:06:30,431.11
T00408,C025,2026-09-01 14:38:12,100.45
T00409,C025,2026-09-01 15:55:48,287.98
T00410,C025,2026-09-01 16:41:55,481.83
T00411,C025,2026-09-01 16:03:53,404.94
T00412,C025,2026-09-01 16:00:43,31.27
T00413,C026,2026-09-01 09:41:46,476.19
T00414,C026,2026-09-01 11:54:21,411.4
T00415,C026,2026-09-01 12:21:27,121.76
T00416,C026,2026-09-01 14:08:14,309.38
T00417,C026,2026-09-01 15:57:56,421.53
T00418,C026,2026-09-01 15:07:23,183.18
T00419,C027,2026-09-01 09:25:26,392.46
T00420,C027,2026-09-01 09:49:23,413.08
T00421,C027,2026-09-01 10:59:38,337.1
T00422,C027,2026-09-01 10:17:18,315.69
T00423,C027,2026-09-01 11:32:54,297.44
T00424,C027,2026-09-01 11:46:48,371.07
T00425,C027,2026-09-01 11:33:32,116.2
T00426,C027,2026-09-01 12:16:21,21.58
T00427,C027,2026-09-01 13:14:34,307.48
T00428,C027,2026-09-01 13:31:10,123.65
T00429,C027,2026-09-01 14:13:12,301.29
T00430,C027,2026-09-01 14:24:01,144.52
T00431,C027,2026-09-01 15:06:20,341.16
T00432,C027,2026-09-01 15:41:53,228.44
T00433,C027,2026-09-01 15:40:48,17.75
T00434,C027,2026-09-01 16:23:59,411.17
T00435,C028,2026-09-01 09:03:25,175.24
T00436,C028,2026-09-01 09:31:38,388.59
T00437,C028,2026-09-01 10:35:39,326.19
T00438,C028,2026-09-01 12:35:02,206.58
T00439,C028,2026-09-01 13:32:58,178.34
T00440,C028,2026-09-01 14:38:03,226.78
T00441,C028,2026-09-01 14:59:01,338.11
T00442,C028,2026-09-01 14:43:26,323.68
T00443,C028,2026-09-01 14:07:37,300.48
T00444,C028,2026-09-01 14:02:53,123.11
T00445,C028,2026-09-01 15:57:02,103.26
T00446,C028,2026-09-01 15:01:22,195.45
T00447,C028,2026-09-01 15:37:16,497.79
T00448,C029,2026-09-01 09:22:29,173.45
T00449,C029,2026-09-01 10:21:43,53.5
T00450,C029,2026-09-01 10:04:12,321.13
T00451,C029,2026-09-01 11:46:56,93.53
T00452,C029,2026-09-01 11:41:29,230.68
T00453,C029,2026-09-01 11:15:11,180.31
T00454,C029,2026-09-01 12:11:07,399.77
T00455,C029,2026-09-01 13:15:29,124.97
T00456,C029,2026-09-01 14:27:50,84.68
T00457,C029,2026-09-01 15:04:19,464.23
T00458,C029,2026-09-01 16:43:00,422.6
T00459,C029,2026-09-01 16:20:19,315.56
T00460,C029,2026-09-01 16:17:07,380.08
T00461,C030,2026-09-01 09:32:52,414.77
T00462,C030,2026-09-01 09:37:51,357.28
T00463,C030,2026-09-01 09:13:35,158.53
T00464,C030,2026-09-01 09:49:44,186.47
T00465,C030,2026-09-01 10:20:01,469.11
T00466,C030,2026-09-01 11:08:00,159.71
T00467,C030,2026-09-01 11:51:22,471.77
T00468,C030,2026-09-01 11:17:54,89.26
T00469,C030,2026-09-01 12:21:42,291.55
T00470,C030,2026-09-01 12:59:36,201.61
T00471,C030,2026-09-01 13:11:46,204.62
T00472,C030,2026-09-01 13:37:17,317.7
T00473,C030,2026-09-01 15:29:23,270.92
T00474,C030,2026-09-01 15:13:05,79.23
T00475,C030,2026-09-01 16:06:51,411.18
