Código,País,1970,,,,1971,,,,1972,,,,1973,,,,1974,,,,1975,,,,1976,,,,1977,,,,1978,,,,1979,,,,1980,,,,1981,,,,1982,,,,1983,,,,1984,,,,1985,,,,1986,,,,1987,,,,1988,,,,1989,,,,1990,,,,1991,,,,1992,,,,1993,,,,1994,,,,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,2024*,,
 91 , Belarusia ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"1,346,580","1,358,014","897,553,021",,"6,711","36,167","25,089,771",,0,0,0,,55,891,"725,871",,"2,430","7,814","7,502,066",,"19,295","5,751","6,000,333",,"23,928","58,964","64,440,535",,705,"3,956","5,397,816",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"48,688","34,604","94,102,586",,"1,118","2,745","6,424,708",,"261,873","597,220","1,416,884,344",,"60,747","181,228","401,155,394",,"31,350","90,896","177,012,001",,"26,825","227,149","504,230,412",,"112,134","616,530","1,158,148,131",,"243,976","1,128,420","2,084,324,885",,"139,134","826,151","1,484,474,824",,"165,015","1,201,591","2,248,927,480",,"170,777","1,298,126","2,601,340,701",,"119,450","801,682","2,163,981,304",,"62,828","394,958","1,217,719,700",,"127,486","716,134","2,121,819,693",," 247,278 "," 1,335,634 "," 3,969,887,651 ",," 509,952 "," 1,638,001 "," 5,364,223,771 ",,"920,277","1,706,047","6,139,124,742",,"259,279","1,626,281","6,109,822,603",," 316,858 "," 2,418,149 "," 10,175,666,208 ",," 238,958 "," 2,417,609 "," 10,664,848,309 "," 111,799 "," 710,855 "," 2,775,989,086 "
 93 , Myanmar ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,51,152,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,212,"1,716","1,203,070",,"13,085","57,339","39,603,252",,"32,600","60,880","48,755,831",,"70,315","112,731","92,657,261",,"2,621","52,868","46,257,359",,0,0,0,,"28,500","79,294","87,988,587",,0,0,0,,"21,547","72,399","128,670,345",,"1,747","93,553","203,863,409",,"30,692","117,231","270,419,647",,"2,492","29,853","79,408,444",,"102,971","136,977","403,265,196",,"28,237","91,933","229,545,323",,0,0,0,,114,"3,045","6,967,356",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"6,503","8,078","15,515,502",,0,0,0,,0,0,0,,"2,099","5,000","10,002,400",,"10,490","28,490","88,729,167",,"16,000","66,910","201,109,578",,"9,504,259","5,063,983","14,715,122,023",," 68,110 "," 86,079 "," 274,439,852 ",," 444,917 "," 3,019,935 "," 9,978,206,686 ",,"299,564","1,830,720","6,558,098,074",,"3,370","22,550","80,992,433",," 4,650 "," 2,000 "," 9,638,840 ",, -   , -   , -   , -   , -   , -   
 97 , Bolivia ,"508,852","651,101",0,,"972,974","968,273",0,,"1,676,446","1,675,033",0,,"6,529,687","2,943,948",0,,"5,691,853","4,967,034",0,,"12,443,348","6,510,949",0,,"3,227,778","3,173,738",0,,"2,000,003","2,913,336",0,,"1,346,044","2,474,784",0,,"1,072,114","2,254,012",0,,"1,330,844","2,165,498","103,614,258",,"1,733,883","3,755,535","205,431,786",,"418,222","891,437","55,107,593",,"785,836","1,585,429","129,408,154",,"174,332","1,327,168","135,245,157",,"1,004,934","708,156","100,255,493",,"430,661","1,275,867","257,907,845",,"333,646","1,448,135","360,772,321",,"851,809","2,349,988","710,159,876",,"849,953","3,492,735","1,401,962,291",,"2,190,000","5,237,257","2,733,627,627",,"2,543,079","9,160,047","5,910,229,124",,"4,958,023","15,799,590","10,767,887,571",,"6,836,256","16,872,199","13,387,256,670",,"8,077,009","22,620,929","18,673,167,113",,"9,644,802","25,253,722","23,313,712,867",,"12,473,926","29,898,346","30,919,385,035",,"21,155,734","45,901,377","53,202,101,663",,"20,505,459","46,427,273","66,424,851,235",,"23,013,914","39,621,381","69,821,308,682",,"23,564,222","37,942,753","78,541,707,685",,"32,421,917","41,922,086","96,315,859,969",,"31,463,237","38,736,800","97,951,638,078",,"30,425,679","36,437,847","104,836,971,438",,"45,683,894","59,680,287","155,894,273,686",,"31,117,505","49,921,858","115,683,509,586",,"37,184,914","58,475,382","136,738,963,574",,"36,593,421","65,798,308","135,678,184,378",,"48,272,958","100,227,660","195,565,400,822",,"42,372,037","90,411,669","193,434,486,041",,"52,417,727","106,646,377","201,732,569,392",,"77,089,093","141,300,426","262,071,419,582",,"41,412,710","125,254,836","225,171,355,747",,"47,114,256","143,725,531","268,348,379,475",,"43,803,314","138,771,675","277,586,409,827",,"52,980,503","149,215,057","410,058,812,333",,"52,245,231","148,687,492","451,458,559,715",,"57,481,435","155,276,034","458,621,127,166",," 51,318,818 "," 142,951,325 "," 423,426,332,024 ",," 52,199,396 "," 134,611,004 "," 442,494,380,687 ",,"44,122,210","102,595,968","376,817,165,838",,"45,089,540","127,175,070","477,270,780,214",," 50,280,766 "," 135,080,136 "," 578,749,996,025 ",," 44,103,491 "," 123,175,069 "," 533,921,743,746 "," 14,195,299 "," 39,772,267 "," 154,997,101,162 "
 98 ," Bonaire, San Eustatios y Saba ",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"1,000,310","84,935","202,476,919",,"1,189,036,888","233,684,360","702,326,039,057",,"448,446,270","128,405,507","379,794,294,134",," 277,416,457 "," 118,736,248 "," 357,373,035,364 ",," 332,089,594 "," 115,641,581 "," 366,308,583,573 ",,"406,209,705","76,752,381","278,338,607,999",,"334,169,520","124,754,260","470,665,361,168",," 848,701,500 "," 393,632,639 "," 1,575,959,449,047 ",," 515,400,269 "," 202,075,152 "," 858,520,081,751 "," 292,098,954 "," 116,797,269 "," 455,146,024,510 "
 100 ," Bonaire, Isla ",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 101 , Botswana ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"1,360","6,375","6,299,456",,425,"15,792","16,928,392",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"4,431","36,081","90,444,964",,"7,095","22,650","64,944,119",,"23,316","33,572","91,215,064",,0,0,0,,0,0,0,,0,0,0,,300,"2,450","4,348,946",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"9,259","14,000","26,947,060",,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 952 ," 22,985 "," 77,202,937 ",,0,0,0,,0,0,0,, -   , -   , -   ,," 3,477 "," 6,100 "," 28,253,004 ", 80 ," 9,228 "," 36,265,579 "
 102 ," Bouvet, Isla ",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 105 , Brasil ,"52,388,209","1,409,114",0,,"44,077,820","4,102,329",0,,"30,670,642","3,660,517",0,,"27,044,470","6,932,703",0,,"41,216,448","19,820,431",0,,"27,585,955","8,618,741",0,,"36,072,153","8,433,495",0,,"27,315,483","4,042,423",0,,"35,156,536","4,119,071",0,,"28,854,781","6,115,899",0,,"34,996,885","8,999,062","424,906,395",,"11,779,197","4,523,644","244,164,156",,"6,437,779","3,693,458","237,660,550",,"1,310,770","5,372,194","454,527,551",,"34,432,913","14,279,417","1,366,643,787",,"36,252,239","5,988,289","848,318,857",,"17,600,213","8,070,874","1,583,061,782",,"396,486,587","18,473,776","4,470,530,778",,"85,813,625","10,148,348","3,023,512,620",,"303,423,187","23,790,943","9,285,262,384",,"195,144,847","30,030,618","15,691,101,414",,"353,907,543","53,388,530","33,813,825,952",,"236,921,561","57,994,945","39,848,377,943",,"226,249,084","59,514,305","46,636,564,426",,"201,432,397","59,282,350","48,924,791,906",,"182,252,110","104,416,935","94,784,792,940",,"327,674,350","119,099,912","123,090,421,946",,"448,483,842","131,502,214","152,209,332,198",,"359,767,389","101,599,953","145,589,534,633",,"896,633,853","166,897,618","309,024,958,677",,"871,302,070","283,636,506","600,499,893,864",,"429,988,931","166,997,700","383,196,342,642",,"343,019,802","110,272,705","272,741,686,194",,"273,819,376","93,361,389","268,620,425,280",,"705,712,770","141,297,424","370,456,951,048",,"412,313,394","132,882,883","308,392,259,428",,"547,246,289","194,684,959","458,748,220,377",,"1,056,640,366","471,789,066","970,517,688,690",,"1,374,575,145","627,270,980","1,199,790,429,725",,"1,747,656,580","569,967,663","1,216,927,482,371",,"2,626,630,791","993,184,822","1,880,896,839,901",,"3,233,797,940","1,294,585,582","2,384,472,405,800",,"3,531,740,363","1,290,578,514","2,317,772,090,706",,"4,368,237,627","1,590,628,608","2,984,929,623,747",,"6,240,164,272","1,622,412,835","3,223,154,149,630",,"6,681,105,510","1,189,886,623","3,236,179,629,018",,"6,350,861,463","994,850,410","3,013,641,077,601",,"6,675,235,551","1,363,479,556","4,030,379,608,086",," 7,336,893,130 "," 1,561,755,031 "," 4,601,632,133,340 ",," 6,014,078,680 "," 1,465,743,375 "," 4,820,404,816,410 ",,"5,798,849,069","1,274,000,268","4,672,357,823,439",,"7,402,392,525","2,049,079,437","7,695,892,256,519",," 4,955,375,560 "," 2,332,730,759 "," 9,918,753,263,196 ",," 4,410,847,997 "," 1,885,420,724 "," 8,129,925,033,602 "," 2,084,075,805 "," 722,302,371 "," 2,819,222,177,586 "
 108 , Brunei Darussalam ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,133,"4,325","467,662",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,884,"26,537","18,109,895",,"10,739","25,729","18,066,802",,"1,824","86,551","65,217,140",,0,0,0,,0,0,0,,0,0,0,,58,"2,415","2,818,981",,0,0,0,,0,0,0,,382,"52,000","103,312,040",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"2,503","2,200","5,123,784",,0,0,0,,327,"10,970","20,734,953",,60,"2,589","6,266,852",,"16,190","110,693","208,753,752",,"8,841","92,044","167,056,531",,"1,500","5,000","8,927,950",,"10,275","49,079","91,157,422",,2,236,"538,772",,"1,054","10,018","30,145,223",,"4,392","53,905","161,683,808",,101,"23,240","68,762,535",, 150 ," 18,570 "," 55,033,092 ",," 1,164 "," 69,557 "," 229,339,771 ",,446,"19,694","75,242,912",,"293,655,863","132,115,148","493,821,121,590",," 226,539,274 "," 159,722,255 "," 615,641,226,847 ",," 66,208,083 "," 25,334,817 "," 115,335,184,734 ", 81 ," 10,556 "," 41,158,934 "
 111 , Bulgaria ,"3,924,601","2,167,518",0,,"1,049,093","740,292",0,,"6,342,110","1,878,910",0,,"21,500","62,572",0,,"1,314,720","1,738,937",0,,0,0,0,,276,"1,218",0,,0,0,0,,168,"1,081",0,,"75,956,654","5,405,712",0,,"4,736,757","4,579,305","228,444,806",,"2,830,964","727,754","37,442,429",,0,0,0,,"29,000,636","4,503,931","366,138,766",,"409,032","70,341","7,767,757",,"5,072,411","2,480,035","375,387,155",,"65,523,565","7,763,276","1,630,175,614",,"6,912,962","6,476,232","1,567,271,031",,"25,130,083","16,443,468","4,868,201,033",,"3,092","20,770","7,683,446",,0,0,0,,0,0,0,,79,"3,142","2,213,540",,"50,535","95,302","72,018,135",,"1,102,672","230,764","189,090,524",,"369,285","166,079","158,662,166",,"61,800","108,670","113,320,358",,"35,000","52,488","64,166,055",,"63,254","213,298","314,650,404",,"111,744","301,097","510,600,349",,"12,112,860","1,584,522","3,134,599,893",,"94,100","140,101","322,442,830",,"318,994","380,280","964,434,941",,"218,770","408,598","1,170,529,593",,"137,343","247,526","663,509,957",,"671,036","1,619,425","3,761,804,545",,"1,060,647","1,914,553","4,468,551,072",,"10,861,393","16,341,495","34,033,170,849",,"3,297,213","7,069,091","13,317,791,562",,"643,153","1,785,385","4,031,046,758",,"130,568","310,332","594,523,045",,"74,243","149,221","280,534,424",,"176,262","467,369","844,752,385",,"565,550","830,560","1,520,993,058",,"640,582","3,292,329","6,334,030,029",,"266,601","526,658","1,387,479,815",,"45,635,477","4,785,011","14,116,457,578",,"6,068,870","6,699,925","19,974,371,261",," 671,853 "," 542,210 "," 1,641,707,795 ",," 1,605,250 "," 1,027,747 "," 3,350,628,319 ",,"1,096,768","781,475","2,866,824,328",,"983,126","892,030","3,374,075,842",," 1,056,265 "," 823,468 "," 3,659,959,353 ",," 75,540,583 "," 25,646,887 "," 108,659,129,995 "," 76,725 "," 224,738 "," 861,035,413 "
 115 , Burundi ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,936,"24,972","1,543,769",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,103,"8,254","3,728,497",,118,"10,588","6,242,484",,417,"11,380","7,658,890",,50,"7,708","5,741,304",,182,"13,843","11,430,221",,"58,503","493,962","486,947,390",,"5,447","18,832","20,174,281",,0,0,0,,0,0,0,,0,0,0,,"6,118","73,467","153,172,818",,0,0,0,,"2,220","10,309","26,488,611",,720,"10,606","30,504,977",,182,"4,209","11,150,437",,0,0,0,,934,"25,182","58,820,621",,0,0,0,,503,"30,675","54,691,109",,0,0,0,,"2,852","59,690","115,698,903",,"9,430","109,725","199,801,274",,0,0,0,,197,"5,896","11,244,380",,878,"45,676","85,886,025",,0,0,0,,198,"5,144","15,629,941",,301,"7,686","23,040,553",, -   , -   , -   ,, 0 , 0 , 0 ,,"1,400","33,158","119,891,039",,"1,000","17,275","64,885,148",, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 119 , Bután ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,200,"57,600","38,045,952",,0,0,0,,0,0,0,,0,0,0,,"15,646","13,940","12,451,487",,0,0,0,,"17,846","65,053","67,252,631",,0,0,0,,0,0,0,,"20,000","10,000","21,366,300",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 127 , Cabo Verde ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,65,140,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"15,070","64,390","170,847,275",,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"150,411","151,856","287,232,875",,"317,472","460,483","838,424,439",,"69,258","140,906","251,582,529",,"119,391","164,941","315,239,595",,"160,879","308,401","594,927,934",,"92,114","172,414","485,905,878",,"260,444","346,431","1,072,232,286",,"358,197","569,767","1,677,098,323",," 192,373 "," 246,753 "," 708,081,222 ",," 192,804 "," 234,175 "," 758,973,174 ",,"304,311","365,597","1,348,496,944",,"293,502","276,727","1,046,207,387",," 710,477 "," 584,545 "," 2,406,130,604 ",," 363,568 "," 706,117 "," 3,000,826,746 "," 16,838 "," 80,687 "," 308,660,745 "
 129 , ZFP Zofrandina ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,106,"5,645,720","21,012,256,390",, 34 ," 1,772,521 "," 7,263,660,829 ",, -   , -   , -   , -   , -   , -   
 130 , ZFPE Colmotores ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"325,607","872,183","1,577,845,988",,0,0,0,,"36,693","103,330","199,043,693",,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 131 , ZFPE Tablemac MDF ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 132 , ZFPE Fundación Cardiovascular ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,744,"44,622","120,336,127",,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 133 , ZFPE Aceites cimarrones ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 134 , ZFPE Puerto Brisa ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,"179,876","263,143","477,756,269",,0,0,0,,"80,519","2,503,994","5,061,799,215",,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 135 , ZFPE Clínica Cardiovascular Corazón Joven ,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,, 0 , 0 , 0 ,, 0 , 0 , 0 ,,0,0,0,,0,0,0,, -   , -   , -   ,, -   , -   , -   , -   , -   , -   
 137 ," Caimán, Islas ","1,402,500","17,500",0,,"2,966,920","52,039",0,,"929,226","23,825",0,,"5,117,233","88,916",0,,"1,600,500","39,713",0,,"1,041,293","32,668",0,,"2,976,218","98,679",0,,"2,454,970","77,779",0,,67,572,0,,"1,275,030","52,020",0,,"11,157,966","527,645","25,008,992",,"3,499,594","183,126","9,997,622",,"2,455,740","458,365","28,161,504",,"1,729,894","307,814","25,518,602",,"11,502","230,875","23,865,348",,"64,627","917,436","150,220,416",,"22,092","302,630","58,469,153",,"15,033","248,833","60,827,640",,"63,702","253,200","76,989,387",,"26,236","160,494","65,354,090",,"7,847","164,346","84,125,713",,"13,502","137,593","87,031,923",,"5,653,565","332,446","224,850,057",,"22,974,503","4,337,397","3,472,049,287",,"11,749","311,297","257,053,378",,"3,731","113,463","101,689,671",,"3,396","113,654","118,615,460",,"2,870","122,976","145,610,717",,"88,333","218,113","306,404,458",,"67,647","213,406","380,149,989",,"3,797","148,823","312,526,313",,"105,378,434","3,335,366","7,706,082,238",,"80,110","124,800","333,817,441",,"70,332","110,779","320,695,577",,"2,360,189","56,740","145,759,829",,"137,859","265,944","610,256,464",,"10,306,955","254,617","601,342,990",,"12,751,559,162","644,500,785","1,132,605,022,625",,"8,757,387,527","709,205,992","1,426,494,087,062",,"17,600,454","322,538","717,315,404",,"4,479,568","1,656,929","3,073,922,187",,"84,629,220","5,540,258","10,281,407,936",,"217,830,041","20,768,929","37,616,763,334",,"224,515,705","24,054,486","46,031,242,562",,"11,863,129","530,636","1,076,208,973",,"8,938,339","298,778","874,612,512",,"14,599,555","764,543","2,355,619,875",,"13,545,740","606,423","1,800,917,572",," 15,919,342 "," 1,485,212 "," 4,407,586,313 ",," 18,038,978 "," 2,293,726 "," 7,583,519,336 ",,"14,380,531","2,882,038","10,762,294,584",,"37,561,494","7,758,851","29,348,081,392",," 28,808,359 "," 8,898,447 "," 37,816,312,062 ",," 14,767,502 "," 9,190,462 "," 40,272,004,498 "," 7,246,495 "," 3,777,527 "," 14,758,480,148 "
