Date,price_registred_,promotion_day,month_extracted_from_Date,quantity_sold,unitary_cost,ref_,stock
2025-02-25,33.0,No,February,416,8.56,2,696
2025-02-26,33.0,No,February,410,7.9,1,721
2025-02-27,34.0,No,February,357,7.27,1,693
2025-02-28,33.0,No,February,322,8.15,2,694
2025-03-01,33.0,No,March,434,7.82,c,703
2025-03-02,31.0,No,March,449,8.09,3,699
2025-03-03,33.0,No,March,320,7.6,2,702
2025-03-04,32.0,No,March,430,8.21,2,708
2025-03-05,31.0,No,March,379,8.08,3,693
2025-03-06,33.0,No,March,379,7.92,4,703
2025-03-07,33.0,No,March,385,7.42,c,696
2025-03-08,32.0,No,March,442,7.52,c,695
2025-03-09,32.0,No,March,370,8.05,4,696
2025-03-10,31.0,No,March,365,8.35,a,705
2025-03-11,32.0,No,March,413,8.92,4,708
2025-03-12,32.0,No,March,376,7.49,d,706
2025-03-13,31.0,No,March,407,7.11,d,689
2025-03-14,33.0,No,March,420,7.72,2,700
2025-03-15,27.900000000000002,Yes,March,383,8.58,3,715
2025-03-16,30.0,No,March,422,7.8,1,701
2025-03-17,33.0,No,March,448,8.08,a,702
2025-03-18,28.8,Yes,March,441,7.94,a,696
2025-03-19,32.0,No,March,443,8.51,4,707
2025-03-20,31.0,No,March,395,7.74,3,702
2025-03-21,30.0,No,March,425,8.39,2,697
2025-03-22,29.7,Yes,March,412,8.37,b,683
2025-03-23,31.0,No,March,405,8.31,3,684
2025-03-24,34.0,No,March,465,8.18,b,695
2025-03-25,29.7,Yes,March,276,8.61,d,714
2025-03-26,32.0,No,March,396,7.52,a,697
2025-03-27,31.0,No,March,401,8.65,c,709
2025-03-28,27.900000000000002,Yes,March,383,7.41,3,699
2025-03-29,31.0,No,March,353,7.95,1,707
2025-03-30,34.0,No,March,389,8.75,b,696
2025-03-31,32.0,No,March,394,8.0,c,710
2025-04-01,33.0,No,April,359,7.46,3,700
2025-04-02,31.0,No,April,342,8.09,1,698
2025-04-03,32.0,No,April,340,8.27,a,684
2025-04-04,33.0,No,April,396,8.37,b,714
2025-04-05,32.0,No,April,375,8.02,b,692
2025-04-06,33.0,No,April,441,8.56,d,687
2025-04-07,31.0,No,April,379,7.64,b,710
2025-04-08,27.900000000000002,Yes,April,387,7.89,2,710
2025-04-09,32.0,No,April,398,7.35,a,693
2025-04-10,32.0,No,April,420,7.41,d,700
2025-04-11,33.0,No,April,371,7.95,4,700
2025-04-12,30.0,No,April,435,8.43,3,693
2025-04-13,33.0,No,April,432,8.17,1,682
2025-04-14,35.0,No,April,347,8.54,3,697
2025-04-15,28.8,Yes,April,347,7.05,2,690
2025-04-16,32.0,No,April,382,8.18,3,702
2025-04-17,32.0,No,April,450,7.11,2,697
2025-04-18,30.0,No,April,422,7.96,b,701
2025-04-19,32.0,No,April,464,8.77,4,700
2025-04-20,30.0,No,April,373,7.87,d,696
2025-04-21,32.0,No,April,391,8.74,a,703
2025-04-22,29.7,Yes,April,406,8.52,a,693
2025-04-23,31.0,No,April,399,8.32,3,707
2025-04-24,33.0,No,April,347,7.57,c,698
2025-04-25,33.0,No,April,371,8.87,2,696
2025-04-26,32.0,No,April,347,7.47,2,679
2025-04-27,27.900000000000002,Yes,April,349,8.14,d,694
2025-04-28,28.8,Yes,April,381,8.24,3,703
2025-04-29,34.0,No,April,458,8.4,1,689
2025-04-30,30.0,No,April,369,8.51,a,703
2025-05-01,32.0,No,May,292,8.02,4,687
2025-05-02,31.0,No,May,393,7.74,2,709
2025-05-03,32.0,No,May,279,7.76,a,706
2025-05-04,33.0,No,May,375,8.69,c,692
2025-05-05,34.0,No,May,318,7.82,3,693
2025-05-06,32.0,No,May,419,8.5,2,693
2025-05-07,33.0,No,May,299,7.24,d,710
2025-05-08,32.0,No,May,346,9.57,1,687
2025-05-09,32.0,No,May,425,7.83,b,718
2025-05-10,31.0,No,May,502,7.53,c,687
2025-05-11,31.0,No,May,409,9.19,a,687
2025-05-12,31.0,No,May,400,7.16,b,702
2025-05-13,31.0,No,May,385,8.23,d,687
2025-05-14,32.0,No,May,378,7.19,c,688
2025-05-15,33.0,No,May,342,7.74,1,704
2025-05-16,32.0,No,May,379,8.15,4,702
2025-05-17,27.900000000000002,Yes,May,438,7.56,a,707
2025-05-18,34.0,No,May,382,7.66,a,707
2025-05-19,34.0,No,May,399,8.02,1,708
2025-05-20,32.0,No,May,440,8.01,a,707
2025-05-21,31.0,No,May,344,8.95,b,700
2025-05-22,32.0,No,May,359,7.46,d,707
2025-05-23,33.0,No,May,374,8.78,4,691
2025-05-24,28.8,Yes,May,396,7.45,a,707
2025-05-25,33.0,No,May,365,7.43,c,696
2025-05-26,32.0,No,May,402,8.26,2,709
2025-05-27,32.0,No,May,372,7.71,b,715
2025-05-28,34.0,No,May,414,6.94,4,688
2025-05-29,28.8,Yes,May,360,8.06,c,711
2025-05-30,28.8,Yes,May,435,9.04,3,712
2025-05-31,32.0,No,May,356,7.69,3,704
2025-06-01,32.0,No,June,380,7.95,d,704
2025-06-02,31.0,No,June,390,8.24,d,695
2025-06-03,30.0,No,June,325,7.81,a,703
2025-06-04,31.0,No,June,398,7.4,4,714
2025-06-05,32.0,No,June,399,8.24,3,704
2025-06-06,33.0,No,June,490,7.74,a,711
2025-06-07,31.0,No,June,398,7.45,2,703
2025-06-08,33.0,No,June,395,8.41,a,700
2025-06-09,28.8,Yes,June,509,9.11,b,703
2025-06-10,32.0,No,June,383,8.55,2,724
2025-06-11,32.0,No,June,411,8.04,c,677
2025-06-12,32.0,No,June,369,8.02,1,686
2025-06-13,33.0,No,June,357,8.02,2,713
2025-06-14,29.7,Yes,June,379,7.59,b,703
2025-06-15,31.0,No,June,407,8.78,1,693
2025-06-16,34.0,No,June,415,8.06,2,703
2025-06-17,31.0,No,June,388,7.76,1,696
2025-06-18,32.0,No,June,399,7.76,1,686
2025-06-19,32.0,No,June,464,8.36,4,704
2025-06-20,31.0,No,June,351,7.68,2,693
2025-06-21,32.0,No,June,413,7.58,a,714
2025-06-22,31.0,No,June,440,8.21,3,710
2025-06-23,32.0,No,June,355,7.39,3,700
2025-06-24,32.0,No,June,313,8.12,1,689
2025-06-25,33.0,No,June,386,7.44,2,692
2025-06-26,32.0,No,June,434,8.93,2,712
2025-06-27,31.0,No,June,396,8.73,c,702
2025-06-28,32.0,No,June,371,8.36,a,695
2025-06-29,32.0,No,June,379,7.72,c,696
2025-06-30,32.0,No,June,361,7.79,d,700
2025-07-01,33.0,No,July,473,8.36,4,697
2025-07-02,33.0,No,July,432,8.58,c,695
2025-07-03,32.0,No,July,377,7.69,1,704
2025-07-04,31.0,No,July,382,7.52,4,665
2025-07-05,29.0,No,July,479,7.85,d,699
2025-07-06,31.0,No,July,413,8.08,2,713
2025-07-07,31.0,No,July,443,7.62,2,717
2025-07-08,32.0,No,July,350,7.71,1,694
2025-07-09,32.0,No,July,422,7.54,b,708
2025-07-10,28.8,Yes,July,388,7.77,1,691
2025-07-11,32.0,No,July,418,8.13,d,704
2025-07-12,32.0,No,July,367,8.72,2,692
2025-07-13,32.0,No,July,451,8.11,1,692
2025-07-14,28.8,Yes,July,369,7.64,2,702
2025-07-15,29.0,No,July,392,7.4,d,688
2025-07-16,32.0,No,July,303,7.74,3,705
2025-07-17,32.0,No,July,408,7.38,4,696
2025-07-18,32.0,No,July,428,8.45,2,691
2025-07-19,32.0,No,July,381,8.5,b,703
2025-07-20,33.0,No,July,409,7.95,4,704
2025-07-21,27.900000000000002,Yes,July,457,7.33,1,695
2025-07-22,30.6,Yes,July,411,8.55,3,714
2025-07-23,33.0,No,July,393,8.44,d,701
2025-07-24,32.0,No,July,410,7.42,3,707
2025-07-25,32.0,No,July,396,8.26,d,704
2025-07-26,32.0,No,July,403,7.8,4,700
2025-07-27,31.0,No,July,422,8.35,d,695
2025-07-28,32.0,No,July,360,8.46,4,683
2025-07-29,32.0,No,July,406,6.98,2,713
2025-07-30,33.0,No,July,369,8.19,d,698
2025-07-31,33.0,No,July,399,8.46,1,684
2025-08-01,32.0,No,August,426,7.51,2,682
2025-08-02,31.0,No,August,335,8.35,a,703
2025-08-03,31.0,No,August,420,7.54,c,713
2025-08-04,34.0,No,August,357,7.81,d,716
2025-08-05,33.0,No,August,392,7.7,4,687
2025-08-06,32.0,No,August,373,8.18,2,695
2025-08-07,31.0,No,August,401,7.69,a,708
2025-08-08,32.0,No,August,404,8.89,1,689
2025-08-09,27.900000000000002,Yes,August,387,8.39,b,705
2025-08-10,27.900000000000002,Yes,August,401,8.72,d,693
2025-08-11,32.0,No,August,372,7.81,3,698
2025-08-12,32.0,No,August,368,8.4,a,697
2025-08-13,33.0,No,August,376,7.81,a,699
2025-08-14,31.0,No,August,331,9.02,4,690
2025-08-15,31.0,No,August,424,8.06,b,700
2025-08-16,31.0,No,August,355,7.47,a,706
2025-08-17,31.0,No,August,394,7.77,a,688
2025-08-18,32.0,No,August,403,9.12,3,690
2025-08-19,30.0,No,August,369,8.48,c,704
2025-08-20,29.7,Yes,August,430,8.23,1,719
2025-08-21,32.0,No,August,426,7.91,b,703
2025-08-22,32.0,No,August,396,8.35,3,697
2025-08-23,32.0,No,August,355,7.07,d,691
2025-08-24,32.0,No,August,415,7.25,4,696
2025-08-25,33.0,No,August,421,7.74,4,716
2025-08-26,32.0,No,August,352,7.9,c,702
2025-08-27,29.7,Yes,August,408,8.43,3,694
2025-08-28,32.0,No,August,460,7.54,d,701
2025-08-29,32.0,No,August,369,8.24,c,688
2025-08-30,32.0,No,August,383,7.57,4,710
2025-08-31,32.0,No,August,395,7.85,4,696
2025-09-01,31.0,No,September,464,8.86,2,703
2025-09-02,32.0,No,September,424,8.18,a,694
2025-09-03,32.0,No,September,367,7.69,b,692
2025-09-04,33.0,No,September,420,7.88,4,693
2025-09-05,30.0,No,September,361,8.36,c,695
2025-09-06,31.0,No,September,330,8.4,a,713
2025-09-07,32.0,No,September,361,8.43,c,684
2025-09-08,34.0,No,September,392,8.47,1,697
2025-09-09,33.0,No,September,405,8.25,b,695
2025-09-10,31.0,No,September,303,7.18,1,699
2025-09-11,27.0,Yes,September,422,8.31,d,698
2025-09-12,33.0,No,September,468,8.36,1,692
2025-09-13,28.8,Yes,September,428,7.58,a,707
2025-09-14,33.0,No,September,393,7.28,d,692
2025-09-15,32.0,No,September,413,6.99,d,706
2025-09-16,32.0,No,September,402,7.77,d,697
2025-09-17,35.0,No,September,415,8.3,b,703
2025-09-18,32.0,No,September,432,8.64,d,707
2025-09-19,32.0,No,September,428,8.06,2,679
2025-09-20,32.0,No,September,358,8.13,2,690
2025-09-21,31.0,No,September,407,7.49,2,685
2025-09-22,33.0,No,September,429,8.24,4,713
2025-09-23,32.0,No,September,390,8.31,1,705
2025-09-24,29.7,Yes,September,408,7.5,3,707
2025-09-25,32.0,No,September,389,8.32,2,710
2025-09-26,33.0,No,September,447,8.74,2,682
2025-09-27,28.8,Yes,September,413,8.15,d,700
2025-09-28,31.0,No,September,418,8.85,4,710
2025-09-29,31.0,No,September,396,7.67,2,705
2025-09-30,33.0,No,September,446,7.04,2,700
2025-10-01,27.900000000000002,Yes,October,360,8.23,b,707
2025-10-02,31.0,No,October,446,8.5,c,701
2025-10-03,31.0,No,October,384,7.85,b,705
2025-10-04,33.0,No,October,399,8.23,b,707
2025-10-05,31.0,No,October,472,7.84,1,695
2025-10-06,31.0,No,October,398,9.15,c,707
2025-10-07,27.900000000000002,Yes,October,393,8.77,a,687
2025-10-08,31.0,No,October,395,8.29,d,700
2025-10-09,31.0,No,October,442,8.56,2,695
2025-10-10,30.0,No,October,381,7.59,d,707
2025-10-11,32.0,No,October,443,8.2,3,686
2025-10-12,32.0,No,October,359,6.76,1,693
2025-10-13,31.0,No,October,367,7.43,a,702
2025-10-14,30.0,No,October,458,7.74,c,697
2025-10-15,33.0,No,October,420,6.53,b,725
2025-10-16,31.0,No,October,380,8.14,d,701
2025-10-17,32.0,No,October,421,7.18,c,715
2025-10-18,31.0,No,October,400,7.88,1,711
2025-10-19,33.0,No,October,440,8.31,b,692
2025-10-20,33.0,No,October,468,8.42,1,700
2025-10-21,31.0,No,October,430,7.16,b,692
2025-10-22,30.0,No,October,362,8.22,4,698
2025-10-23,33.0,No,October,431,8.61,b,715
2025-10-24,34.0,No,October,380,7.45,4,693
2025-10-25,32.0,No,October,394,7.3,d,704
2025-10-26,32.0,No,October,416,9.12,1,681
2025-10-27,33.0,No,October,432,8.32,c,707
2025-10-28,33.0,No,October,399,8.56,c,691
2025-10-29,31.0,No,October,371,7.49,d,702
2025-10-30,31.0,No,October,431,7.73,3,696
2025-10-31,33.0,No,October,424,7.59,3,695
2025-11-01,32.0,No,November,416,7.39,a,691
2025-11-02,33.0,No,November,393,8.55,b,686
2025-11-03,27.900000000000002,Yes,November,303,7.25,b,687
2025-11-04,33.0,No,November,322,7.71,c,713
2025-11-05,32.0,No,November,385,8.54,c,689
2025-11-06,32.0,No,November,449,8.05,a,678
2025-11-07,33.0,No,November,362,8.09,1,689
2025-11-08,33.0,No,November,422,7.2,4,710
2025-11-09,31.0,No,November,415,8.21,2,718
2025-11-10,33.0,No,November,418,7.21,4,709
2025-11-11,33.0,No,November,425,7.74,a,704
2025-11-12,32.0,No,November,449,8.31,1,705
2025-11-13,32.0,No,November,360,8.61,1,705
2025-11-14,31.0,No,November,347,7.79,d,705
2025-11-15,32.0,No,November,420,7.77,d,699
2025-11-16,33.0,No,November,425,8.37,1,696
2025-11-17,31.0,No,November,381,7.99,2,694
2025-11-18,31.0,No,November,368,8.52,1,700
2025-11-19,32.0,No,November,446,7.49,3,716
2025-11-20,31.0,No,November,345,8.8,4,701
2025-11-21,33.0,No,November,403,8.3,1,700
2025-11-22,32.0,No,November,410,8.26,a,702
2025-11-23,30.0,No,November,473,8.14,4,684
2025-11-24,28.8,Yes,November,395,8.4,d,713
2025-11-25,32.0,No,November,375,8.31,4,687
2025-11-26,32.0,No,November,355,7.21,a,707
2025-11-27,32.0,No,November,383,8.39,4,692
2025-11-28,34.0,No,November,387,7.33,d,696
2025-11-29,27.900000000000002,Yes,November,386,7.98,b,685
2025-11-30,28.8,Yes,November,360,8.48,2,697
2025-12-01,32.0,No,December,410,8.57,b,695
2025-12-02,32.0,No,December,428,7.49,c,698
2025-12-03,32.0,No,December,370,7.91,d,691
2025-12-04,33.0,No,December,338,8.08,d,690
2025-12-05,33.0,No,December,469,7.33,1,702
2025-12-06,30.0,No,December,359,7.8,c,689
2025-12-07,31.0,No,December,410,7.72,b,725
2025-12-08,32.0,No,December,419,8.75,4,705
2025-12-09,33.0,No,December,399,6.97,3,693
2025-12-10,32.0,No,December,339,8.2,b,691
2025-12-11,30.0,No,December,382,7.6,a,694
2025-12-12,28.8,Yes,December,407,7.81,b,687
2025-12-13,32.0,No,December,427,8.49,3,686
2025-12-14,32.0,No,December,413,8.03,3,689
2025-12-15,31.0,No,December,468,7.74,a,709
2025-12-16,34.0,No,December,415,8.2,4,706
2025-12-17,32.0,No,December,413,7.49,a,720
2025-12-18,32.0,No,December,473,7.61,4,713
2025-12-19,27.900000000000002,Yes,December,313,7.91,3,700
2025-12-20,31.0,No,December,397,8.17,a,681
2025-12-21,31.0,No,December,351,7.91,b,704
2025-12-22,32.0,No,December,430,7.37,4,710
2025-12-23,31.0,No,December,379,7.45,d,701
2025-12-24,34.0,No,December,374,8.18,1,704
2025-12-25,30.0,No,December,390,7.5,1,703
2025-12-26,31.0,No,December,393,8.23,a,697
2025-12-27,32.0,No,December,372,8.42,d,694
2025-12-28,33.0,No,December,443,7.42,c,702
2025-12-29,32.0,No,December,391,7.34,3,711
2025-12-30,33.0,No,December,364,7.72,b,705
2025-12-31,27.900000000000002,Yes,December,357,8.44,b,701
