product,category,month,quantity,sales,prices,cost
K208,health,december,600,329,20.87434893457254,16.427990140049516
I135,home,february,209,65,98.34569919395756,82.67046634529457
T108,health,april,596,296,18.5411079940655,15.675208147909359
C117,health,may,599,286,21.55902895112454,18.56102085849093
G81,health,may,600,357,20.887960188036423,17.92784975792291
L8,health,april,602,305,20.050039088694206,16.95333620493801
P1,health,january,595,384,19.743598732917146,15.530095500810333
W98,health,november,593,369,18.681868740829135,15.681681815850025
T1,health,september,599,400,20.219476480914494,17.71564672188903
B114,health,june,595,244,20.515283031390208,17.812878408185227
F84,health,may,604,260,19.085729517332393,16.719257119365334
F88,health,april,598,343,21.278424454009482,15.85389555285751
N146,health,january,603,365,18.793076648868663,15.516012844322587
Y132,health,november,601,268,17.664589614953314,13.60434847117267
X127,health,september,598,231,21.14369979998197,16.376183752952077
X111,health,october,603,395,19.556297358087683,16.782598900082046
A120,home,august,204,66,97.86136745615568,82.69548162696596
V82,health,april,596,402,19.07873160489244,14.996500021893441
E47,health,august,599,283,18.233440963210857,14.819924765233376
I109,home,may,207,62,99.38076111219664,76.16205453617049
A194,home,march,206,66,97.24224411776838,72.01136387121923
Q126,food,april,1971,1929,8.827047736962733,7.644171569372497
N95,health,november,595,228,20.8880390048318,17.532373966149404
L210,health,may,597,324,19.653766038610794,15.99884523336668
K17,health,june,602,417,18.805507358760448,14.058505363587376
Y50,health,july,598,271,19.194291814607496,15.334658026995251
H190,health,february,601,316,18.666224555795313,14.806158816406953
Y27,health,january,598,381,22.295824695547005,17.03437972127751
E30,health,february,603,280,20.18088535325281,15.375137646130474
R12,health,january,600,306,21.265226096801296,16.25184041345015
S181,health,april,596,358,18.605912746088748,15.323029374730504
O124,health,january,597,312,20.199138642556704,15.300010333241014
J201,food,august,1966,1943,8.295648132689436,6.415828515573364
N176,health,december,600,391,19.631488161873683,17.128043596487085
G13,health,july,604,285,21.134225904813917,16.288668859773875
G108,health,january,599,227,18.806975296793656,15.92837821931689
R186,health,may,599,330,18.500181300919557,15.239072966939688
L134,health,january,598,390,20.41734067328595,16.289810964426888
Q61,food,june,1971,1945,6.582905921970193,5.419969926957915
K65,health,june,603,252,20.706260158199015,15.709980471333857
C22,health,june,602,400,17.824323275327504,14.398244225402333
W113,health,april,598,322,20.78349109901757,18.20838933684916
Z188,health,december,600,416,22.858134319996246,18.28378537484595
C203,health,december,607,386,19.972911420425373,15.459100832385001
R187,health,april,605,262,20.037556341800826,17.429687685836733
T193,health,september,599,328,20.197504433102548,16.673209665416152
P41,health,september,595,380,20.468761303659342,16.704078101933185
T212,health,november,597,411,18.23404928158244,13.521792588774769
Z113,health,february,598,386,19.529552442063814,16.51805669829195
E178,health,november,598,416,21.36715650456411,18.739372415367402
R77,health,july,602,329,19.191261348289917,16.12576949471797
X74,health,may,599,341,20.55137388852414,17.534967192493742
F108,health,january,599,241,21.114012959352007,18.141627266718217
C113,health,april,595,301,20.3066149417056,17.86755039726223
M136,health,march,598,287,18.491956682895932,14.431231910290853
K41,health,december,597,402,19.634277197113445,15.764631857862355
C88,health,december,603,293,22.155352476627115,18.078671302744823
L60,health,july,596,395,17.772449660702783,13.530944310271828
E117,health,august,600,273,19.696635384747207,15.901815432432306
U161,health,october,597,338,19.392681121363083,15.10258031180864
R103,health,may,599,330,20.13282209940685,17.257261770721424
C84,health,november,601,247,20.823037178905953,16.420816060226247
Q108,food,october,1970,1909,8.769560064824258,6.589761845078455
K136,health,april,595,413,19.702744368789926,14.607850293222974
W46,health,december,597,340,20.893575462974503,17.97842208406485
Y57,health,september,601,387,20.54971415935169,17.677653227499114
O59,health,october,595,363,20.52178202765898,17.86980177390588
Z12,health,january,594,396,19.37968367532088,14.53779324708842
F177,health,may,597,292,18.90294638434651,15.03287454575344
R63,health,october,595,268,18.789952576117233,15.030969051273592
D118,health,october,598,240,19.167919069660964,16.494449209764195
C175,health,august,598,388,20.353855233452848,15.806780668147569
V12,health,august,598,327,20.837044332441163,16.300999307417204
B147,health,may,599,365,20.355815732642586,17.15144022049686
O50,health,june,598,239,19.396149394184686,14.842076052697431
V150,health,may,601,391,21.986567120925724,18.225819277042895
S32,health,may,601,340,21.670752185994694,18.28814915388197
L29,health,november,597,249,19.61059987597481,15.007276007957959
N205,health,august,600,323,19.094225453415767,14.723027716137157
W95,health,august,597,340,20.143236449573767,16.879494213826618
R93,health,may,600,293,21.39402850955979,18.211251819980017
C7,health,july,597,362,20.36604147497953,17.78911964385138
M62,health,july,599,339,20.61220357540105,16.1437042783164
I139,home,may,201,67,97.76671186549682,79.85670099576706
Y70,health,july,601,394,20.501897984722454,15.592796127920439
E73,health,april,601,240,21.69899889660175,17.38448544470533
C48,health,august,599,351,19.736364340374518,15.326409827329242
Q49,food,march,1967,1930,7.15763850575866,5.646174478533549
E15,health,august,604,257,20.27919812420459,17.287432031981027
W174,health,april,600,397,20.31209789134814,17.31509174979907
H171,health,november,604,395,18.44692223632165,15.470157062132275
P6,health,june,598,253,17.935444478538717,13.582682547463849
D79,health,august,597,395,18.878379421985976,14.720671420546708
B98,health,august,601,352,20.184736524941837,17.591026446291497
N173,health,september,596,376,20.609241782603533,16.556509839453753
P123,health,june,598,380,19.416257984249015,16.05837664520841
S157,health,november,600,259,21.514983231154037,15.976236252698257
D162,health,june,599,239,19.842506428241194,16.122489015733084
H198,health,february,601,350,20.022347598058087,16.748293355346533
N43,health,march,597,291,19.786639742392072,14.805223576772912
R116,health,january,597,276,20.147429472021333,15.234273989119647
U209,health,march,594,250,20.774921481447965,16.44483994740598
H41,health,july,598,391,20.732218781703565,18.083143497942626
I160,home,november,206,63,97.01173476532945,75.16776935926862
B32,health,february,599,388,21.67603015412638,16.1058187397546
H12,health,august,597,333,18.79547089683039,16.038156260299054
O174,health,march,600,237,20.087149715499674,17.252747891204844
N25,health,march,597,268,19.69816376912541,16.05670941120747
R160,health,august,603,386,18.846109154949662,16.302385926156205
Q16,food,june,1973,1905,6.917367353228785,5.292234066233472
L16,health,may,598,401,19.185104849378362,14.934714075457139
O187,health,june,601,289,20.080197967603656,14.916835357564397
K144,health,december,602,310,20.443394557341303,16.797939059116445
M166,health,september,601,355,21.619122305870597,18.68398973034889
V35,health,may,602,382,20.338122640490155,16.776839598217244
V149,health,september,599,374,19.32765212566469,14.5197056698916
K61,health,december,602,386,19.56921820820844,16.3804394657125
B121,health,april,602,326,20.15397591672602,16.821146894906708
Q160,food,february,1967,1907,7.102806912408366,5.421886385195877
G161,health,september,598,268,21.605548195051263,18.49559807127633
Z177,health,april,599,411,21.53488822273265,18.68656870993193
A163,home,december,207,63,97.60517048113351,77.58028600194307
N55,health,may,600,414,19.396493658995183,15.191857080085729
F110,health,february,591,317,17.187239935525355,14.101345344350895
E23,health,july,599,299,19.39618754534556,16.99401640194106
O170,health,october,601,345,18.924136523307286,15.924563172822799
H180,health,march,600,418,19.6096930960957,16.6801766763462
V139,health,february,593,389,20.43074266658512,17.317131931957483
M118,health,june,603,308,20.194911562118886,17.64993172253209
D130,health,march,604,237,19.967035192247703,17.057177414621073
R74,health,november,599,305,20.219540322197364,15.721986516579316
I113,home,november,205,66,97.86127044944591,75.58629820531795
E29,health,july,596,226,20.216720825797825,15.645572468310855
C194,health,february,602,389,16.445839491288755,12.660186287046228
W125,health,october,603,279,19.70377716127417,15.15529570923617
V193,health,june,600,298,19.878064206841692,17.31042127020418
G168,health,august,595,401,19.624612112172755,17.136853847208876
F187,health,july,598,298,19.760259111686764,14.871168226496842
U125,health,may,601,320,20.773641129587403,15.558842492118917
M165,health,july,602,314,19.34208413552509,16.63388761951506
X5,health,february,601,298,22.42077230913884,18.360905421428434
V121,health,december,599,243,20.757126623244297,15.97508494228779
F200,health,february,596,307,19.993062023994742,16.087504047951022
B108,health,april,598,321,19.772671466482677,14.8359194731062
S2,health,september,602,270,19.90482548497965,17.466690093079123
W160,health,december,599,385,18.993162223061624,14.427076880225966
C43,health,january,598,321,19.89527720681619,16.96902943861864
J192,food,december,1970,1905,7.30655186839976,6.386987058658168
Z6,health,april,600,247,20.637495777130553,17.326035312071657
V177,health,may,602,340,20.637658757058766,15.527715350933278
U23,health,december,598,318,19.69763469877747,16.20323288405156
J9,food,march,1970,1933,5.442309522225877,4.125762112755731
P129,health,april,597,415,19.26398711114321,16.593478458279492
N23,health,october,596,264,21.773412347093625,18.16328673368214
L182,health,december,600,368,20.98566414475094,18.297145819990437
O163,health,april,602,311,20.406581544934593,15.517654772215833
Z155,health,december,601,304,19.162576330763862,15.39743304425972
D175,health,april,602,284,20.004009670471156,16.32524903453959
U3,health,december,600,296,18.61876444577127,14.060282526661535
U102,health,september,601,251,19.39286943673432,16.188523501844028
M142,health,july,598,314,19.730276324146285,16.165034848181815
A25,home,august,207,63,97.60219607494827,76.98137879380317
C49,health,october,598,280,21.052262124161615,16.795672268266316
F151,health,june,600,315,18.439401494561004,15.700634963034338
O98,health,may,602,319,19.04802450133333,15.045993623074352
X51,health,june,599,354,18.48784323187556,16.19846846684879
L190,health,january,601,340,18.63891146604336,16.188749178069244
D7,health,june,602,410,20.136461486091314,15.121114431376594
X87,health,march,601,329,18.239515413638102,15.673915184238805
F181,health,march,606,348,20.8292556567214,17.37845310150513
I188,home,november,206,62,97.72850264536481,73.07597278261873
T161,health,january,599,293,20.075667165778576,17.54113946446562
X92,health,january,598,258,20.354834411796926,17.43774599059083
V148,health,july,599,230,19.52241682772325,16.722428930818644
A37,home,march,206,56,99.13572768732871,86.06867705209582
P2,health,may,609,340,19.786223000599602,17.193274133976242
S95,health,february,598,232,20.653477280762978,15.917038765373874
X163,health,march,602,289,19.780976378967022,17.23379518976437
B88,health,may,598,235,20.319961826167415,15.173123127281091
K182,health,march,596,357,20.307628937173757,17.533617440397247
P49,health,april,601,327,20.274966933401085,16.29985191132909
U4,health,december,598,397,18.92826136541699,16.209471863550423
C197,health,march,599,348,20.479463347602184,15.937646374453411
B145,health,september,603,364,19.649147311990443,16.616907154542428
F74,health,may,597,395,20.69353683353891,17.6445094566537
H51,health,november,593,395,17.632257211146467,13.247665533774578
G206,health,april,597,297,18.388372155739553,15.961438472494597
Q209,food,february,1974,1929,7.399790118348531,6.322492292932773
U147,health,august,604,307,22.04922034361575,18.154549344517157
R89,health,june,606,340,20.91856462149236,17.552979185949017
E191,health,june,600,408,19.249303972380023,15.176436904858894
P57,health,may,603,420,18.13874234308425,14.61762157842665
H141,health,july,604,320,20.81695484327778,15.834016948465889
H133,health,august,599,411,20.649774639683823,17.54394504670601
B42,health,december,604,252,20.12682859443187,16.467278020152918
Z17,health,may,599,232,20.032607217632545,15.198495007485095
J131,food,april,1974,1936,10.254487990482493,8.779249444340206
N76,health,august,603,392,19.993257042849862,16.86067649094739
D46,health,november,599,346,19.82483026982141,14.774052246144922
E54,health,june,599,341,19.866406457055575,16.9397557059817
E108,health,december,599,290,19.35810961162158,16.669930774846637
N148,health,september,599,347,21.089146184186845,17.118758828430572
X22,health,september,598,385,19.610870232840515,15.551481549730658
G42,health,january,596,288,20.69953697620905,15.559574359076606
J79,food,march,1967,1915,7.313063332794912,6.25967972236384
Y168,health,november,598,350,21.34088444834567,15.8031861671055
Y55,health,april,597,376,20.462197556687197,16.126015160167192
A7,home,december,209,65,96.6652767409576,75.96759081035948
X197,health,july,597,256,18.540863436440667,16.087568387712963
R193,health,january,600,329,21.549206060684593,17.301873697306025
Y208,health,june,601,312,19.330418116409113,16.709446455293378
U188,health,december,602,353,18.547337162231383,13.95689593558204
S74,health,december,606,355,19.263419540143264,16.536702431221794
Z104,health,october,602,247,21.391087815664807,17.663326465925522
E65,health,january,601,255,18.437765701156636,15.032470258816858
H99,health,july,598,243,19.04685527586443,14.910522401436133
T14,health,december,601,246,19.26651174032383,15.579897448744225
J125,food,may,1971,1923,5.623691139179485,4.376826739137762
A34,home,november,207,51,96.69723992763717,77.72664491336803
L175,health,april,599,377,18.330081227209977,15.537206886988676
D144,health,november,600,337,19.492693845549606,16.13154266795898
R110,health,august,597,364,19.609600285085907,16.37940539759151
F121,health,september,600,320,19.249208030376362,16.648839186719833
U75,health,april,598,400,18.180932377135594,13.588638097200407
A22,home,october,204,67,99.3786695415416,76.30811267566767
E26,health,february,601,324,18.538013287910623,15.597646197889826
D136,health,november,602,391,20.73514855341568,17.95015094462666
M7,health,october,597,356,21.05141559068388,17.7471954984879
V189,health,march,601,279,19.03462505470958,16.572237782229127
V103,health,march,598,366,17.883912697333162,13.614518851401868
Z168,health,may,599,286,20.76536605105357,17.566006682218077
W130,health,may,593,273,22.063380601385,18.497227447866337
B157,health,may,602,371,20.45726399388168,15.160006525875014
T153,health,june,600,369,20.17659886362769,15.052076794524334
V83,health,may,605,389,20.901736670571207,15.566103155632353
O165,health,may,598,389,20.84156033059672,16.962246421080533
D112,health,june,598,331,19.088112282862888,16.200297962097434
G68,health,april,598,343,20.672235905061502,15.30680223210953
B154,health,december,600,285,19.841585317771678,15.168599441193843
N129,health,november,597,378,21.448266155449907,18.719846957435696
L121,health,september,600,250,19.225223638158365,14.885182125849203
Z156,health,february,604,292,20.82567090855533,17.89912236605994
U25,health,march,602,236,20.376901779506152,16.13553656825308
D161,health,december,601,314,19.8609186799194,16.146560571685654
S70,health,september,603,256,21.293501849018067,17.217128211227994
K86,health,june,605,418,20.748078686154173,15.744208644847646
T152,health,july,594,293,18.894536131279686,14.950544022987382
K69,health,september,598,378,20.704240548461833,18.21870051029818
Y189,health,october,601,387,21.51248969464362,17.618249569502673
A111,home,may,205,53,97.85651084211692,78.78749999709986
S47,health,august,599,355,19.726478564576528,16.11416756026608
X154,health,december,597,292,19.263388137592123,14.96420964321011
N93,health,july,601,285,19.985035725757115,16.37356530239363
H181,health,february,600,372,20.7548207546582,17.474828116199976
H210,health,april,602,277,19.100564870463376,14.417025202666553
X30,health,february,605,289,18.519006683189037,14.425990507416568
B113,health,june,601,373,19.58667509791988,15.067032579999497
I163,home,april,214,60,96.48230252347537,81.4583767394558
I33,home,march,203,65,97.53064125300682,77.97147657660274
P149,health,november,600,290,19.788123515626502,15.007476431131442
J180,food,february,1972,1943,7.4940491746956885,5.9489491894095154
R83,health,february,601,347,19.840100102530368,16.527098785356486
B99,health,april,605,231,22.05559910252379,18.29833936860864
F143,health,december,594,250,19.4294257633071,14.900463707682903
O176,health,june,601,372,19.931361596559462,15.12003981204197
L32,health,september,602,271,19.886798324311062,17.327964591545737
L89,health,february,598,230,19.689108777152274,15.549480760422243
G163,health,march,595,366,20.156668143514235,16.21524298096453
X80,health,september,602,358,20.59535442691744,15.515517685143955
Z48,health,october,602,271,21.474108573890078,18.6273474524001
J122,food,july,1972,1930,5.27381825986609,4.395846628882374
J139,food,march,1971,1929,6.438622838813267,5.22427239588749
U204,health,september,598,407,19.507451432112532,15.613319424734378
C19,health,july,595,244,21.031635327097877,15.714946684493968
I52,home,july,208,55,97.60767063281932,75.15802245570411
H112,health,december,596,284,17.915306847612747,15.404496078298536
W140,health,june,596,372,20.096503510253235,16.621991240778616
H154,health,july,604,320,19.962941845304968,15.314421450717047
F49,health,may,599,298,20.197726722348445,15.481324258215729
B184,health,july,602,302,18.85582083092257,14.877573965477286
J40,food,february,1971,1922,8.890938149192953,7.345173115602281
N208,health,november,601,290,19.64375423783612,16.028088223852304
K134,health,march,601,359,19.792873455656967,16.107141200034878
K59,health,august,597,231,19.009990573209922,16.379964308021812
A128,home,april,204,63,96.97589779573781,83.45505302160797
Z3,health,november,597,295,18.654989344276338,16.012095783670652
J145,food,march,1970,1919,6.567358063040728,5.5057002087429305
N10,health,april,595,369,18.946659977367702,15.061515288746312
X140,health,september,602,235,22.262114075347743,17.313428617116305
V47,health,december,599,269,17.922658381574504,15.660764579760446
D68,health,march,595,323,18.758836397000028,14.000467983098726
E210,health,may,603,348,19.558444128697285,16.16649416571814
A146,home,july,202,54,98.74084040590816,84.76480287152134
X162,health,january,603,266,19.544867430481933,15.20723214745661
C160,health,june,599,347,20.743559732303275,18.19260906613636
W86,health,june,599,366,18.914515721780646,16.342696839501716
G175,health,june,598,313,20.065220247284177,15.40820166259201
W153,health,april,601,314,21.918445195711918,17.04911583769994
P110,health,january,601,305,18.935481164730575,16.390976791379853
O33,health,may,599,276,20.461524443484933,15.4544922419048
M14,health,march,599,416,20.227620271211585,15.502181252726364
G58,health,april,606,351,17.523311515413344,14.460182643077715
W126,health,july,601,296,19.352132398882254,14.718883724911397
I162,home,february,205,56,99.24426709583659,81.39581327202872
H4,health,may,597,287,18.66650414081433,15.371672328672007
X24,health,october,604,336,20.759855000207207,16.090926134234216
C105,health,april,603,341,19.472964760154213,16.64843695222493
W186,health,june,598,353,20.39605580088892,17.864132410411326
Q113,food,february,1970,1892,7.414612125881394,5.7752713632105985
U88,health,april,604,341,18.76943483873987,16.16365664471921
A85,home,october,208,64,98.86881083820772,77.21923895672835
K179,health,july,605,407,18.891740318641308,14.902745495500696
U164,health,december,603,273,18.563635547024194,15.778386327868551
W96,health,august,599,235,19.028888113505758,14.44723067428842
Q56,food,january,1971,1948,6.619300962750486,4.955559922219271
Q43,food,april,1972,1926,7.120343472085389,5.654468136891449
J18,food,january,1967,1894,6.150157894390316,4.6627769614302546
B80,health,february,598,289,20.819301243634627,15.638155509499992
L80,health,april,598,302,20.276610602447953,16.67592908014408
J162,food,december,1974,1940,6.235721963383947,4.7750444034143165
X204,health,may,606,281,20.97789220935434,16.407358709236117
D110,health,march,601,411,21.277175193411132,17.91692196587203
Y45,health,july,598,336,19.891446833509534,14.978645381037925
Q179,food,july,1971,1897,6.76351865053972,5.946184978272957
J211,food,december,1971,1926,6.551736148369384,5.348759394806297
H173,health,november,598,410,19.679342616178097,16.744344350270122
K74,health,january,600,403,20.26991734798566,15.672313133236738
F124,health,september,599,407,19.81473092520648,15.609310410450954
V40,health,march,598,351,20.268429631954543,15.583942086516496
S177,health,march,599,350,21.687499318234252,17.19820785843178
G36,health,may,600,359,19.417094491502954,16.36649679783672
I22,home,january,205,52,97.45993048917757,81.86826791942957
D26,health,january,601,279,18.55991815426716,14.207295982437923
Y183,health,september,600,276,19.990473486584257,16.127701394715334
C73,health,september,599,377,21.07449428071657,17.62563110724588
J25,food,july,1969,1900,5.0738226158883935,4.278962563781231
Q89,food,july,1971,1936,6.267557336278673,5.19608817530087
C147,health,august,598,279,20.935113171876882,18.03625040458771
C202,health,february,596,398,20.42115726292955,15.936317604661117
N80,health,march,603,287,20.358009991000344,16.119249439935892
M10,health,march,597,374,19.75325593543201,16.161910395145334
K60,health,june,598,372,20.530061682720586,17.662278765269324
Y201,health,may,598,227,20.801388940918645,16.02313431991403
R57,health,august,600,316,19.891364213546616,15.701420509289584
B107,health,february,603,263,19.417012249364035,14.740717629025223
Y129,health,february,602,230,17.312616635532752,14.597417998446666
L120,health,october,598,345,18.48161354398027,16.13123454042237
I127,home,february,208,54,99.86786489147198,84.17678141485756
Y67,health,may,599,286,19.24259661429009,14.57540140804566
E114,health,september,600,365,18.80675435162161,15.742591480289619
E36,health,october,599,370,19.49793144824205,15.611048582649238
M52,health,october,604,413,19.18033805595555,14.44079952247427
D96,health,september,598,401,20.136794495880807,17.718896771378454
V152,health,may,601,327,21.668671046071275,18.23153315505087
S79,health,april,595,291,20.169719055607057,17.39101153509483
O109,health,september,604,335,18.738039144635742,14.719624549953874
V110,health,january,602,333,21.672183086427186,18.06069392822569
N171,health,june,601,232,20.20794778665552,16.27869947615561
U163,health,june,602,235,18.80999896438032,14.245808534011116
O63,health,march,601,274,20.994736842148107,17.126451538586114
E187,health,november,598,405,21.319986413440876,17.662912182929205
C61,health,april,601,402,20.1776019997484,16.268292228753857
W146,health,may,598,349,18.196663335705146,13.784664277290595
B7,health,september,601,241,21.963685694868122,16.484616852659926
S207,health,november,596,408,20.34113477268918,16.94573936571016
Q128,food,september,1971,1896,8.287499727097599,7.104932713307685
M69,health,august,596,322,19.394017474371143,16.860638380111872
K29,health,august,603,348,19.56151368279271,15.538610529382023
I92,home,november,207,66,98.12149842021962,85.49956262804801
I206,home,june,205,70,99.22474184583947,84.81457926957141
M18,health,april,602,294,20.15728903098388,16.11304814878127
F170,health,april,602,300,18.61748280621295,14.835989148208652
H67,health,december,602,333,20.288188116461676,15.960454501568956
P86,health,may,597,274,21.792487613961843,16.337312023672578
C18,health,march,600,333,20.072386910709113,14.880898060730946
M127,health,february,598,293,20.142324076154132,15.597607725987906
K118,health,march,602,407,18.6112018829378,14.435712277413117
D125,health,december,598,286,18.456712003504876,15.543367012435798
X41,health,april,599,349,19.298538647305435,14.70610197277739
K7,health,august,604,304,19.640830588719403,16.43817767687986
R203,health,may,597,415,20.11446680851131,16.94134815930264
K63,health,march,599,398,20.182552671921595,16.23404619122
E80,health,december,602,290,21.762098416118622,16.462407027735146
W123,health,february,597,227,20.0645561822949,16.868901319504964
M101,health,june,606,287,21.170864957252,18.374418428944637
D54,health,january,596,320,19.956737731890595,15.791070547773876
R123,health,june,598,291,21.593793972788337,18.273177400066064
N153,health,may,600,354,17.94256277337808,15.141165696081321
S4,health,april,602,292,19.341395056653727,14.45896746956381
M41,health,january,598,290,21.081336735885166,15.764604072554924
K34,health,september,596,397,19.811244394217614,16.536970371384918
S204,health,february,600,283,21.02468257472676,18.004004896239334
Y212,health,october,604,343,20.423572713054998,17.74560662335901
O9,health,july,595,325,21.040464682084338,15.987235976573592
L15,health,april,600,277,20.67437450083173,16.987609000819255
Y63,health,march,604,258,20.741013827195125,16.16735960990589
U26,health,september,597,294,21.641700925866704,16.68960626372921
Q22,food,december,1971,1911,8.085121420571035,6.818784405608135
X173,health,september,597,295,21.09318737785005,16.8291333793526
L202,health,may,601,384,20.022460634664135,16.04353509188056
R24,health,april,599,329,19.35996476920144,16.615034942191095
N199,health,april,593,410,19.274483902900474,14.907191626186734
A87,home,march,210,58,98.82603905690866,80.44122672622221
W178,health,september,601,276,17.317693379550473,14.821857941922193
S179,health,july,601,236,18.562103992865286,14.078695670154973
Y83,health,may,604,396,18.94042094553333,15.596785401323178
O76,health,december,603,321,19.72761648343702,16.910643293439357
X52,health,june,600,284,17.105418159510833,14.488719826282221
E16,health,november,600,233,21.384593432848266,18.472599786354206
V185,health,march,599,347,20.660192759962552,15.382732210354753
S25,health,june,597,283,22.183040638304423,18.562854040290294
K116,health,may,600,353,21.16843591581506,16.269024942902526
S198,health,july,598,248,21.13341726426723,17.286768064190426
P71,health,february,601,327,22.475743634133956,19.069972755496895
U175,health,october,598,253,19.37194610445683,15.474829815429874
J1,food,november,1969,1928,5.346195760825666,4.4832583880191414
K177,health,september,600,369,19.744406863857986,16.93393858489442
X94,health,august,606,385,19.092508740768125,16.656316397524403
N106,health,march,602,381,19.717470102873108,16.095627856791626
M159,health,february,596,393,18.8447591107161,14.779077528256426
K6,health,october,593,388,20.6246680741994,16.38843676833189
P94,health,july,598,382,20.5642811345586,17.70962105792697
K119,health,february,602,276,19.9703851503749,15.449975205446476
T60,health,january,598,394,20.342739653721168,17.569149828117354
L22,health,august,600,321,19.8437442001579,14.845046975190021
O62,health,january,603,385,20.076604824433893,15.191465181235953
Y109,health,april,598,363,21.38690339614944,17.50701723701149
V104,health,august,601,249,21.471199208205334,18.836507722240032
U72,health,october,596,249,18.91069784174857,16.512645398977
P205,health,june,598,303,19.412108071154133,16.535333443189742
G85,health,august,605,275,18.128354295777537,15.068681161944545
A180,home,may,208,69,97.73757847997604,81.59897302097029
C15,health,february,595,390,20.45773619592539,15.52098973619852
Z74,health,october,597,253,19.85391870803683,15.99107567644368
G83,health,july,601,288,22.123935953753133,17.700989741669776
E166,health,february,599,313,19.553572287377506,14.748619734516833
C81,health,november,599,251,18.802640588962177,13.943774671318836
W49,health,september,602,251,20.625354627334662,15.309737970226765
Z140,health,january,600,319,20.164927211347976,17.003980514286308
A64,home,december,205,63,98.60460685538042,79.14438045674031
O39,health,november,599,259,20.334166723864808,16.44384302469478
G195,health,july,600,257,20.26814233658396,15.717902332758094
I112,home,july,205,65,95.66547122865315,78.03598626603387
K164,health,june,601,404,19.20127456973092,14.55089845419266
Q167,food,may,1975,1896,6.350642590251849,4.8448859361228855
S111,health,march,600,374,19.617239228271583,16.762345633142274
E157,health,march,601,230,19.506769197692964,14.509917334664749
L75,health,october,595,405,20.45410063785646,17.75910703137072
H30,health,june,602,295,20.66097075956122,16.267339075747973
E96,health,march,600,375,18.755194980573734,16.326438014733966
W154,health,august,598,327,20.755484847474147,15.544152707249276
D32,health,october,593,295,20.64434495253378,16.180583652233004
