DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3053,P3095,P3096,P3097,P3098,P3054,P3055,P469,CLASE_TE,COD_DEPTO,AREA,F_EXP
7277200,1,2,1,2,,,,1,1,2,1,44,"",29.5606474722524
7277201,1,1,1,2,,,,1,3,2,1,44,"",42.7798681357616
7277204,1,1,7,,,,,1,1,2,2,68,"",98.8725987417802
7277210,1,1,1,2,,,,1,1,2,2,68,"",94.485082738376
7277213,1,1,7,,,,,1,1,2,2,68,"",130.77288056247
7277214,1,1,7,,,,,1,1,2,2,68,"",130.329624590035
7277216,1,1,7,,,,,1,6,1,1,68,"",94.971798139
7277220,1,2,7,,,,,1,3,2,1,68,"",76.286757473224
7277222,1,1,1,1,,,,1,1,1,1,68,"",96.5499938790737
7277227,1,2,5,,,,,1,2,1,1,68,"",166.360553517176
7277227,1,3,7,,,,,1,4,1,1,68,"",166.360553517176
7277227,1,5,7,,,,,1,6,1,1,68,"",166.360553517176
7277233,1,1,7,,,,,1,1,2,1,68,"",68.7885544975009
7277236,1,1,7,,,,,1,1,1,2,68,"",128.288486854052
7277237,1,1,7,,,,,1,1,1,2,68,"",106.32888120759
7277243,1,1,7,,,,,1,1,1,2,68,"",103.933591012214
7277244,1,1,7,,,,,1,1,1,2,68,"",94.0803971268121
7277245,1,3,8,,,,,,,,2,68,"",84.2272032414106
7277253,1,1,7,,,,,1,4,2,1,68,"",86.4757046778097
7277256,1,1,5,,,,,1,1,1,1,68,"",81.5893238277654
7277260,1,1,6,,,,,,,,2,76,"",142.177335080883
7277271,1,1,3,,,1,,,,,2,63,"",18.818739697689
7277271,1,2,2,,1,,,1,1,1,2,63,"",18.818739697689
7277289,1,5,4,,,,1,,,,2,66,"",51.7892955659731
7277298,1,1,3,,,1,,,,,1,66,"",35.5375163531265
7277304,1,1,1,1,,,,1,1,2,1,66,"",25.1313017188733
7277315,1,1,7,,,,,1,4,1,2,66,"",18.886966103455
7277319,1,1,1,2,,,,1,6,2,2,66,"",18.886966103455
7277321,1,1,3,,,1,,,,,2,66,"",31.3415586311963
7277327,1,2,8,,,,,,,,2,66,"",31.3415586311963
7277341,1,1,7,,,,,1,1,2,2,66,"",12.7777817098327
7277344,1,1,7,,,,,1,4,2,2,66,"",20.0283190495802
7277364,1,1,7,,,,,1,4,2,2,05,"",106.220100518455
7277369,1,2,5,,,,,1,1,1,2,05,"",87.6400712362023
7277373,1,2,1,1,,,,1,4,1,1,05,05,241.761487661297
7277373,1,3,3,,,1,,,,,1,05,05,241.761487661297
7277378,1,1,2,,1,,,1,3,1,1,05,05,93.2353689014485
7277379,1,3,3,,,1,,,,,1,05,05,75.2069333774802
7277384,1,2,5,,,,,1,2,2,1,05,05,87.6821339504755
7277396,1,2,3,,,1,,,,,1,05,05,475.827169123566
7277398,1,1,2,,1,,,1,3,1,1,05,05,112.088200237416
7277399,1,2,5,,,,,1,1,1,1,05,05,241.485092259082
7277417,1,2,2,,3,,,1,3,2,1,05,05,96.3215430565451
7277419,1,1,2,,1,,,1,3,1,1,05,05,75.2737963175787
7277420,1,1,2,,1,,,1,1,1,1,05,05,72.0902576179031
7277426,1,1,1,1,,,,1,3,1,1,05,05,590.565486997354
7277433,1,1,5,,,,,1,1,2,1,05,05,81.9522159655717
7277441,1,1,2,,1,,,1,3,1,1,05,05,159.757947952969
7277450,1,3,2,,1,,,1,3,1,1,05,05,124.132182643596
7277451,1,1,5,,,,,1,1,2,1,05,05,196.862256591918
7277456,1,2,2,,1,,,1,4,1,1,05,05,102.607795543901
7277466,1,1,4,,,,2,1,,1,1,05,05,268.335174666735
7277473,1,1,4,,,,2,1,,1,1,05,05,84.4185316502854
7277474,1,1,1,1,,,,1,1,1,1,05,05,343.524745313351
7277480,1,1,5,,,,,1,2,1,1,05,05,88.2155469046612
7277481,1,1,5,,,,,1,1,1,1,05,05,100.565362837721
7277501,1,1,4,,,,1,,,,1,05,05,107.850911544622
7277504,1,1,3,,,2,,,,,1,05,05,76.3045026975999
7277504,1,2,1,1,,,,1,1,2,1,05,05,76.3045026975999
7277505,1,3,5,,,,,1,1,2,1,05,05,90.1140366371648
7277512,1,1,2,,1,,,1,3,1,1,05,05,57.1024830394321
7277514,1,1,1,2,,,,1,1,1,1,05,05,59.8861918408484
7277518,1,2,1,2,,,,1,1,2,1,05,05,57.0871852247156
7277520,1,1,2,,1,,,1,3,1,1,05,05,103.617782926001
7277526,1,1,1,1,,,,1,4,1,1,05,05,85.0854101890221
7277527,1,2,3,,,1,,,,,1,05,05,96.4871372877674
7277536,1,1,2,,1,,,1,3,1,1,05,05,85.0854101890221
7277537,1,1,1,2,,,,1,4,1,1,05,05,64.7805809847932
7277548,1,2,3,,,1,,,,,1,05,05,113.757140639123
7277553,1,1,1,2,,,,1,1,1,1,05,05,108.8659916782
7277561,1,2,1,1,,,,1,1,1,1,05,05,108.69158810901
7277562,1,1,1,2,,,,1,1,1,1,05,05,102.720334898529
7277563,1,3,2,,1,,,1,3,1,1,05,05,75.0538195939597
7277569,1,1,2,,1,,,1,3,1,1,05,05,76.3908069218334
7277570,1,1,1,2,,,,1,1,1,1,05,05,75.2225448370909
7277583,1,2,1,1,,,,1,4,1,1,05,05,84.8441857003181
7277583,1,3,8,,,,,,,,1,05,05,84.8441857003181
7277594,1,1,2,,1,,,1,3,1,1,05,05,70.5606227837383
7277595,1,1,1,2,,,,1,4,1,1,08,08,185.958911304555
7277598,1,1,2,,1,,,1,3,1,1,08,08,87.2038723403644
7277601,1,2,1,2,,,,1,3,2,1,08,08,89.4935570752067
7277614,1,3,3,,,1,,,,,1,08,08,75.8710813347404
7277619,1,1,1,2,,,,1,1,2,1,08,08,51.9991518614037
7277626,1,1,3,,,1,,,,,1,08,08,58.1147369603005
7277630,1,1,1,1,,,,1,1,1,1,08,08,60.6439885205838
7277633,1,1,3,,,1,,,,,1,08,08,129.952945419749
7277635,1,1,3,,,1,,,,,1,08,08,59.3418228061208
7277636,1,1,4,,,,2,1,,1,1,08,08,58.6311443932023
7277639,1,3,5,,,,,1,3,1,1,08,08,49.7158556248728
7277641,1,2,3,,,1,,,,,1,08,08,57.4900499162025
7277642,1,1,4,,,,1,,,,1,08,08,61.2360631643762
7277643,1,1,1,2,,,,1,1,1,1,08,08,52.5115490237823
7277644,1,4,4,,,,1,,,,1,08,08,48.0092657850657
7277646,1,1,3,,,1,,,,,1,08,08,58.3418953165797
7277648,1,2,1,2,,,,1,4,1,1,08,08,49.7158556248728
7277648,2,1,1,2,,,,1,4,1,1,08,08,49.7158556248728
7277648,3,2,1,2,,,,1,4,2,1,08,08,49.7158556248728
7277648,3,3,5,,,,,1,3,1,1,08,08,49.7158556248728
7277649,1,1,5,,,,,1,3,1,1,08,08,53.9429894452446
7277649,1,2,1,2,,,,1,1,2,1,08,08,53.9429894452446
7277649,1,3,5,,,,,1,1,1,1,08,08,53.9429894452446
7277652,1,1,5,,,,,1,3,1,1,08,08,72.3139718179968
7277655,1,1,3,,,1,,,,,1,08,08,289.255887271987
7277658,1,3,1,2,,,,1,4,2,1,08,08,49.7158556248728
7277662,1,2,3,,,1,,,,,1,08,08,79.0488186347785
7277663,1,2,3,,,1,,,,,1,08,08,289.255887271987
7277664,1,1,1,2,,,,1,1,1,1,08,08,84.4926478855932
7277664,1,2,3,,,1,,,,,1,08,08,84.4926478855932
7277674,1,1,3,,,1,,,,,1,08,08,75.2890114101457
7277675,1,1,1,2,,,,1,4,2,1,08,08,72.4058508664285
7277675,1,2,4,,,,2,1,,1,1,08,08,72.4058508664285
7277676,1,2,1,1,,,,1,1,1,1,08,08,49.7158556248728
7277677,1,1,4,,,,2,1,,1,1,08,08,68.2308031440916
7277681,1,1,5,,,,,1,1,1,1,08,08,96.2603376372956
7277682,1,2,5,,,,,1,3,1,1,08,08,88.5731479271997
7277684,1,1,4,,,,1,,,,1,08,08,81.8693845027881
7277685,1,2,1,1,,,,1,4,2,1,08,08,64.6999559500998
7277687,1,3,5,,,,,1,1,1,1,08,08,54.5821160918993
7277690,1,5,1,2,,,,1,4,2,1,08,08,65.9090732490301
7277690,1,6,1,1,,,,1,4,2,1,08,08,65.9090732490301
7277692,1,1,3,,,2,,,,,1,08,08,52.7403716801109
7277694,1,1,6,,,,,,,,1,08,08,50.333643606189
7277698,1,2,3,,,1,,,,,1,08,08,96.2603376372956
7277699,1,5,1,1,,,,1,4,2,1,08,08,56.9220038940068
7277701,1,1,2,,3,,,1,3,1,1,08,08,72.3832303165532
7277710,1,2,1,2,,,,1,4,1,1,08,08,62.2834273963695
7277710,1,3,3,,,1,,,,,1,08,08,62.2834273963695
7277713,1,4,3,,,1,,,,,1,08,08,58.0747602164125
7277719,1,1,1,1,,,,1,1,1,1,08,08,53.0310235253435
7277719,1,2,3,,,1,,,,,1,08,08,53.0310235253435
7277721,1,1,2,,2,,,1,3,1,1,08,08,58.8091635226217
7277721,1,2,1,1,,,,1,1,1,1,08,08,58.8091635226217
7277723,1,1,5,,,,,1,1,1,1,08,08,75.2068108155759
7277724,1,1,1,1,,,,1,4,1,1,08,08,79.5453689997965
7277724,1,2,5,,,,,1,3,1,1,08,08,79.5453689997965
7277725,1,1,3,,,1,,,,,1,08,08,79.5453689997965
7277727,1,9,5,,,,,1,1,1,1,08,08,43.3513674753673
7277728,1,2,3,,,1,,,,,1,08,08,79.5453689997965
7277729,1,1,1,2,,,,1,1,1,1,08,08,57.1712693049605
7277733,1,1,4,,,,2,1,,1,1,08,08,49.6196779245076
7277733,1,2,4,,,,2,1,,1,1,08,08,49.6196779245076
7277734,1,1,1,1,,,,1,3,1,1,08,08,298.700187779485
7277735,1,1,1,2,,,,1,1,1,1,08,08,281.895423795192
7277735,1,2,5,,,,,1,2,1,1,08,08,281.895423795192
7277741,1,1,5,,,,,1,3,2,1,08,08,62.8806388837119
7277741,1,3,1,1,,,,1,4,2,1,08,08,62.8806388837119
7277742,1,2,1,2,,,,1,4,1,1,08,08,58.818141772818
7277743,1,1,3,,,1,,,,,1,08,08,47.970936321711
7277744,1,1,1,2,,,,1,4,2,1,08,08,48.1863683681062
7277748,1,6,3,,,1,,,,,1,11,11,420.283514627882
7277751,1,2,3,,,1,,,,,1,11,11,364.055458596697
7277762,1,1,2,,1,,,1,3,1,1,11,11,209.85595975952
7277765,1,2,1,1,,,,1,3,2,1,11,11,602.573834891519
7277787,1,2,3,,,1,,,,,1,11,11,418.264146227826
7277798,1,1,4,,,,1,,,,1,11,11,346.496937917179
7277825,1,1,3,,,1,,,,,1,11,11,277.340779604684
7277856,1,1,2,,1,,,1,3,1,1,11,11,395.905293085644
7277857,1,1,4,,,,1,,,,1,11,11,381.183253362016
7277861,1,1,3,,,1,,,,,1,11,11,262.169335910668
7277869,1,1,1,1,,,,1,1,1,1,11,11,346.675974505855
7277872,1,1,1,2,,,,1,3,1,1,11,11,351.50140368672
7277873,1,1,4,,,,1,,,,1,11,11,356.746620283339
7277875,1,2,1,1,,,,1,1,2,1,11,11,356.746620283339
7277880,1,1,2,,1,,,1,3,1,1,11,11,333.378689676672
7277890,1,3,3,,,1,,,,,1,11,11,385.090043682538
7277892,1,1,5,,,,,1,1,1,1,11,11,325.316558177198
7277913,1,1,3,,,1,,,,,1,11,11,159.684910867601
7277917,1,1,4,,,,1,,,,1,11,11,423.536948180018
7277924,1,1,4,,,,1,,,,1,11,11,365.32726877204
7277925,1,1,1,2,,,,1,1,2,1,11,11,468.390508253158
7277931,1,1,2,,1,,,1,3,1,1,11,11,611.565634771439
7277931,1,2,2,,1,,,1,3,1,1,11,11,611.565634771439
7277939,1,1,3,,,1,,,,,1,11,11,481.075717636102
7277939,1,2,1,2,,,,1,1,2,1,11,11,481.075717636102
7277943,1,1,3,,,1,,,,,1,13,13,18.1160975500907
7277943,1,4,1,2,,,,1,4,2,1,13,13,18.1160975500907
7277944,1,2,3,,,1,,,,,1,13,13,25.6674672689142
7277947,1,1,1,2,,,,1,1,2,1,13,13,23.5568663228943
7277951,1,1,4,,,,2,1,,1,1,13,13,29.9897866124636
7277952,1,1,6,,,,,,,,1,13,13,25.5774174865526
7277960,1,1,5,,,,,1,1,1,1,13,13,23.3018817591995
7277960,1,3,3,,,2,,,,,1,13,13,23.3018817591995
7277963,1,1,4,,,,1,,,,1,13,13,39.3683310473364
7277968,1,4,1,1,,,,1,4,1,1,13,13,15.1796110772922
7277968,1,6,5,,,,,1,1,1,1,13,13,15.1796110772922
7277970,1,4,3,,,1,,,,,1,13,13,45.1006852568428
7277972,1,4,3,,,1,,,,,1,13,13,40.0088915918472
7277987,1,5,3,,,1,,,,,1,13,13,39.3162053823702
7277989,1,1,1,2,,,,1,1,2,1,13,13,49.5078550265242
7277990,1,2,5,,,,,1,3,1,1,13,13,50.9963854832637
7277999,1,2,1,2,,,,1,1,2,1,13,13,25.1712928346879
7278003,1,2,3,,,1,,,,,1,13,13,31.220818460149
7278003,1,5,3,,,1,,,,,1,13,13,31.220818460149
7278003,1,6,3,,,1,,,,,1,13,13,31.220818460149
7278003,1,7,5,,,,,1,1,1,1,13,13,31.220818460149
7278008,1,3,2,,1,,,1,1,1,1,13,13,11.0304658960459
7278008,1,6,3,,,1,,,,,1,13,13,11.0304658960459
7278010,1,2,5,,,,,1,1,1,1,13,13,21.1991182027156
7278014,1,3,1,2,,,,1,4,1,1,13,13,23.0536386368244
7278019,1,1,4,,,,2,1,,1,1,13,13,38.0866365431858
7278020,1,1,5,,,,,1,1,1,1,13,13,33.3687709064065
7278021,1,1,5,,,,,1,1,1,1,13,13,33.7084692064767
7278022,1,2,5,,,,,1,1,1,1,13,13,32.4251289706882
7278023,1,2,8,,,,,,,,1,13,13,44.0760376290403
7278024,1,2,1,2,,,,1,1,2,1,13,13,36.6067222560634
7278027,1,3,5,,,,,1,1,1,1,13,13,22.2349216778052
7278029,1,2,1,2,,,,1,1,1,1,13,13,25.723352633483
7278030,1,3,5,,,,,1,1,1,1,13,13,22.2278378451848
7278042,1,1,1,2,,,,1,1,1,1,13,13,32.3601304382176
7278042,1,2,5,,,,,1,1,1,1,13,13,32.3601304382176
7278042,1,3,5,,,,,1,1,1,1,13,13,32.3601304382176
7278044,1,3,5,,,,,1,2,1,1,13,13,38.0828544196369
7278045,1,1,2,,3,,,1,3,2,1,13,13,54.5218407149595
7278046,1,1,4,,,,2,1,,1,1,13,13,37.9477471763861
7278046,1,2,4,,,,2,1,,1,1,13,13,37.9477471763861
7278046,1,4,3,,,1,,,,,1,13,13,37.9477471763861
7278047,1,2,1,2,,,,1,1,2,1,13,13,24.6198386007898
7278053,1,1,4,,,,2,1,,1,1,13,13,24.7754986290191
7278054,1,1,4,,,,2,1,,1,1,13,13,40.7712939912284
7278061,1,1,2,,4,,,1,4,1,1,13,13,34.3124128421249
7278061,1,2,4,,,,2,1,,1,1,13,13,34.3124128421249
7278062,1,1,1,2,,,,1,1,1,1,13,13,21.4081667197476
7278067,1,2,3,,,1,,,,,1,13,13,43.2459270947029
7278068,1,1,3,,,2,,,,,1,13,13,42.4023593812097
7278069,1,1,4,,,,2,1,,1,1,13,13,29.3817012913158
7278069,1,3,1,2,,,,1,1,1,1,13,13,29.3817012913158
7278072,1,1,1,2,,,,1,1,1,1,13,13,22.3353991802257
7278072,1,2,3,,,1,,,,,1,13,13,22.3353991802257
7278073,1,2,2,,3,,,1,3,2,1,13,13,40.827994025816
7278079,1,1,3,,,1,,,,,1,13,13,32.1254657292074
7278086,1,1,1,2,,,,1,1,1,1,13,13,57.5350557816458
7278087,1,1,4,,,,2,1,,1,1,13,13,46.902812154913
7278087,1,3,5,,,,,1,3,1,1,13,13,46.902812154913
7278087,1,4,5,,,,,1,1,1,1,13,13,46.902812154913
7278089,1,1,5,,,,,1,1,1,1,13,13,46.9029591817897
7278096,1,3,5,,,,,1,1,1,1,13,13,51.9517252183065
7278109,1,1,4,,,,1,,,,1,15,15,8.84819195000023
7278110,1,2,7,,,,,1,1,2,1,15,15,6.2244409742516
7278112,1,1,5,,,,,1,1,1,1,15,15,9.48311559809411
7278115,1,1,3,,,1,,,,,1,15,15,14.1257723897986
7278117,1,1,2,,1,,,1,3,1,1,15,15,8.00669288535822
7278118,1,1,1,1,,,,1,3,1,1,15,15,6.82260409753855
7278119,1,1,1,1,,,,1,3,1,1,15,15,12.5376928649642
7278123,1,2,1,1,,,,1,3,2,1,15,15,6.15303851006739
7278131,1,1,3,,,2,,,,,1,15,15,6.92974526337214
7278135,1,1,1,1,,,,1,4,1,1,15,15,9.60920888988689
7278135,1,2,2,,1,,,1,3,1,1,15,15,9.60920888988689
7278136,1,1,1,1,,,,1,1,1,1,15,15,8.65884950402955
7278145,1,1,1,2,,,,1,2,2,1,15,15,6.04202612980883
7278148,1,1,1,1,,,,1,2,2,1,15,15,5.78354252527518
7278151,1,1,3,,,1,,,,,1,15,15,7.48816741485475
7278155,1,1,1,1,,,,1,1,2,1,15,15,6.11990053767827
7278164,1,1,3,,,1,,,,,1,15,15,6.49285023614071
7278179,1,2,3,,,1,,,,,1,15,15,10.5184249991978
7278180,1,1,5,,,,,1,1,1,1,15,15,8.89632542817579
7278187,1,1,2,,1,,,2,3,1,1,15,15,5.55353282663337
7278187,1,2,2,,1,,,1,3,1,1,15,15,5.55353282663337
7278209,1,1,1,1,,,,1,1,2,1,15,15,10.3913672508357
7278213,1,1,7,,,,,1,2,2,1,15,15,10.0071808686179
7278217,1,1,2,,1,,,1,1,1,1,15,15,11.5362047860867
7278217,1,2,2,,1,,,1,3,1,1,15,15,11.5362047860867
7278223,1,1,3,,,2,,,,,1,15,15,9.9872031639356
7278266,1,2,1,2,,,,1,4,2,1,17,17,6.87904384765758
7278269,1,1,2,,1,,,1,3,1,1,17,17,11.3500982791338
7278272,1,1,2,,1,,,1,3,1,1,17,17,20.0202970869945
7278275,1,2,3,,,1,,,,,1,17,17,21.0491815647991
7278279,1,2,4,,,,2,1,,1,1,17,17,13.9576700238187
7278294,1,1,1,1,,,,1,3,1,1,17,17,12.4554638546199
7278300,1,1,6,,,,,,,,1,17,17,16.9124192148294
7278307,1,1,3,,,1,,,,,1,17,17,19.3180558063778
7278309,1,3,3,,,1,,,,,1,17,17,10.1228858998184
7278311,1,3,2,,2,,,1,3,1,1,17,17,13.6349812535049
7278314,1,2,1,2,,,,1,2,2,1,17,17,12.6347161177356
7278319,1,2,4,,,,1,,,,1,17,17,12.9006848783897
7278320,1,1,1,1,,,,1,3,2,1,17,17,25.3650949171929
7278326,1,2,3,,,1,,,,,1,17,17,18.2020373114193
7278329,1,2,3,,,1,,,,,1,17,17,12.4459822919136
7278330,1,1,1,1,,,,1,1,2,1,17,17,15.7959177047003
7278332,1,1,1,1,,,,1,3,2,1,17,17,11.9197363388508
7278335,1,1,2,,1,,,1,3,1,1,17,17,6.42492005746947
7278336,1,1,1,1,,,,1,3,1,1,17,17,20.7128475300467
7278377,1,1,3,,,1,,,,,1,17,17,5.80252518282409
7278389,1,1,2,,2,,,1,3,1,1,17,17,15.113643870535
7278391,1,2,2,,3,,,1,1,2,1,17,17,16.7826792549621
7278395,1,2,2,,1,,,1,4,1,1,17,17,9.26545848633943
7278401,1,2,2,,1,,,1,3,1,1,17,17,6.37941554577977
7278403,1,1,1,1,,,,1,1,1,1,17,17,24.9924481613676
7278406,1,2,3,,,1,,,,,1,17,17,9.17224035194893
7278408,1,1,2,,1,,,1,3,1,1,17,17,10.3448156767435
7278418,1,1,2,,2,,,1,4,1,1,17,17,16.7492040285825
7278418,1,3,7,,,,,1,3,2,1,17,17,16.7492040285825
7278422,1,2,1,1,,,,1,1,2,1,17,17,15.5337478875566
7278430,1,1,1,1,,,,1,1,1,1,17,17,10.1893929329528
7278430,1,3,2,,1,,,1,3,2,1,17,17,10.1893929329528
7278442,1,3,3,,,1,,,,,1,17,17,19.120463432182
7278442,1,4,1,2,,,,1,6,2,1,17,17,19.120463432182
7278445,1,3,4,,,,1,,,,1,17,17,13.7038942052038
7278449,1,1,3,,,1,,,,,1,17,17,17.3727346618864
7278459,1,1,3,,,1,,,,,1,17,17,19.2367841975397
7278474,1,2,4,,,,2,1,,1,1,17,17,15.9122568505329
7278477,1,1,1,1,,,,1,3,2,1,17,17,10.5043445929719
7278480,1,2,2,,3,,,1,3,1,1,17,17,19.2367841975397
7278489,1,1,4,,,,2,1,,1,1,17,17,29.0748756264545
7278517,1,1,2,,1,,,1,4,1,1,18,18,4.61092978510376
7278518,1,1,1,2,,,,1,3,1,1,18,18,3.23775748309594
7278528,1,4,3,,,1,,,,,1,18,18,8.33468617815828
7278532,1,3,2,,1,,,1,3,1,1,18,18,4.65870550585085
7278533,1,2,5,,,,,1,1,1,1,18,18,5.38085165908566
7278542,1,1,1,2,,,,1,3,1,1,18,18,5.06759524950159
7278545,1,1,4,,,,1,,,,1,18,18,6.44010549185223
7278545,1,2,4,,,,1,,,,1,18,18,6.44010549185223
7278551,1,1,1,1,,,,1,3,1,1,18,18,6.41658249099968
7278556,1,1,2,,2,,,1,3,1,1,18,18,7.98245992394287
7278568,1,1,3,,,1,,,,,1,18,18,9.50386845424173
7278569,1,1,4,,,,2,1,,1,1,18,18,12.7712734696461
7278576,1,1,1,2,,,,1,1,2,1,18,18,6.0871301136107
7278581,1,1,1,2,,,,1,3,1,1,18,18,5.14396842984522
7278582,1,1,2,,1,,,1,3,1,1,18,18,7.29774003454343
7278583,1,1,1,2,,,,1,3,1,1,18,18,3.88972921392617
7278583,1,2,1,2,,,,1,3,1,1,18,18,3.88972921392617
7278594,1,1,1,2,,,,1,3,1,1,18,18,6.94608176980686
7278600,1,1,3,,,2,,,,,1,18,18,5.24665514688518
7278603,1,1,1,1,,,,1,3,1,1,18,18,7.25990476124536
7278604,1,2,3,,,1,,,,,1,18,18,6.62191155864385
7278607,1,1,5,,,,,1,2,1,1,18,18,7.09191489213478
7278613,1,1,4,,,,2,1,,2,1,18,18,13.6772644348314
7278623,1,1,1,1,,,,1,1,1,1,18,18,5.48989485362672
7278653,2,1,7,,,,,1,1,1,1,19,19,11.391266346495
7278657,1,3,2,,1,,,1,3,1,1,19,19,8.65463204207087
7278660,1,1,3,,,1,,,,,1,19,19,8.62141274941399
7278663,1,2,3,,,1,,,,,1,19,19,8.4278068019578
7278682,1,1,1,1,,,,1,4,1,1,19,19,7.88045276780918
7278695,1,1,2,,1,,,1,1,1,1,19,19,9.37247776241534
7278707,1,1,1,1,,,,1,1,1,1,19,19,15.7581030583147
7278719,1,2,5,,,,,1,3,1,1,19,19,16.1449083166709
7278728,1,2,1,2,,,,1,1,1,1,19,19,12.8410810150202
7278741,1,1,2,,1,,,1,3,1,1,19,19,8.71337911385097
7278768,1,2,8,,,,,,,,1,19,19,17.2275898916237
7278774,1,1,2,,1,,,1,3,1,1,19,19,14.4566585122324
7278792,1,1,4,,,,1,,,,1,19,19,14.522298523085
7278793,1,1,1,1,,,,1,1,1,1,19,19,12.0230242495849
7278798,1,1,2,,1,,,1,3,2,1,19,19,14.522298523085
7278803,1,3,1,2,,,,1,1,2,1,19,19,11.6825142632424
7278805,1,2,1,2,,,,1,1,1,1,19,19,6.27299344401233
7278813,1,3,1,2,,,,1,3,2,1,19,19,7.73276226319304
7278829,1,1,4,,,,1,,,,1,19,19,8.98070257515027
7278832,1,3,3,,,1,,,,,1,20,20,25.1732133062173
7278835,1,1,4,,,,1,,,,1,20,20,25.1224366100382
7278836,1,2,3,,,1,,,,,1,20,20,31.8888066316748
7278838,1,4,1,2,,,,1,1,2,1,20,20,16.2365461490298
7278841,1,1,2,,3,,,1,5,2,1,20,20,24.8315533148217
7278844,1,1,3,,,1,,,,,1,20,20,20.9635456059162
7278851,1,2,1,2,,,,1,4,2,1,20,20,27.3397616322989
7278859,1,1,1,2,,,,1,4,2,1,20,20,26.2691954519637
7278864,1,1,1,1,,,,1,1,1,1,20,20,21.17515522351
7278864,1,2,5,,,,,1,1,1,1,20,20,21.17515522351
7278865,1,2,1,2,,,,1,4,2,1,20,20,17.3413882812638
7278869,1,1,3,,,2,,,,,1,20,20,8.19533033922778
7278870,1,2,1,1,,,,1,3,1,1,20,20,24.3570346884085
7278872,1,1,3,,,1,,,,,1,20,20,15.2215374365242
7278874,1,1,4,,,,2,1,,1,1,20,20,23.2796381942569
7278884,1,1,2,,1,,,1,3,1,1,20,20,16.178280170504
7278889,1,1,6,,,,,,,,1,20,20,17.7443836336843
7278890,1,2,3,,,1,,,,,1,20,20,21.3494798334133
7278891,1,2,3,,,1,,,,,1,20,20,24.6717614169692
7278893,1,1,1,2,,,,1,1,2,1,20,20,14.3158479167
7278895,1,1,4,,,,2,1,,1,1,20,20,15.0069706280167
7278898,1,2,5,,,,,1,1,2,1,20,20,24.6273707362159
7278899,1,1,3,,,1,,,,,1,20,20,14.3863461210894
7278902,1,1,4,,,,1,,,,1,20,20,25.7586370550751
7278904,1,3,1,2,,,,1,4,2,1,20,20,23.6504220905557
7278904,1,5,5,,,,,1,3,1,1,20,20,23.6504220905557
7278906,1,1,2,,2,,,1,3,1,1,20,20,24.3791798677299
7278907,1,1,4,,,,2,2,,1,1,20,20,23.4808061223284
7278912,1,1,1,2,,,,1,3,1,1,20,20,13.2498326843651
7278913,1,1,1,2,,,,1,4,2,1,20,20,10.0594397559003
7278914,1,1,2,,1,,,1,3,1,1,20,20,17.4786550056669
7278916,1,1,5,,,,,1,1,2,1,20,20,12.0776551449078
7278918,1,2,6,,,,,,,,1,20,20,23.7709737165771
7278918,1,3,6,,,,,,,,1,20,20,23.7709737165771
7278921,1,1,3,,,1,,,,,1,20,20,22.5633416344336
7278922,1,2,5,,,,,1,3,2,1,20,20,13.8195635542762
7278930,1,1,3,,,2,,,,,1,20,20,26.7187394008191
