month,id-product
12,D25
12,D04
12,D33
12,D22
12,B31
12,D44
12,C45
12,D55
12,D02
12,C01
12,C33
12,B03
12,D05
12,D34
12,A22
12,B03
12,D01
12,D15
12,D34
12,D53
12,D11
12,D42
12,C00
12,C52
12,D40
12,B40
12,C24
12,B03
12,D14
12,B35
12,B02
12,B05
12,A00
12,B00
12,B44
12,D33
12,D54
12,A04
12,D05
12,D05
12,D00
12,D21
12,C30
12,C12
12,D35
12,D23
12,D33
12,D13
12,D43
12,D33
12,D50
12,E25
12,D31
12,C15
12,D34
12,C21
12,D01
12,B52
12,C43
12,D43
12,D03
12,A50
12,C20
12,D32
12,D45
12,A10
12,E35
12,D41
12,D31
12,D04
12,C41
12,C11
12,B34
12,B21
12,D23
12,C00
12,C51
12,D22
12,D53
12,D20
12,E50
12,D41
12,C01
12,C20
12,B52
12,D43
12,B33
12,C43
12,D50
12,B33
