,Sector,Ingresos de actividades ordinarias,Costo de ventas,Ganancia bruta,Otros ingresos,Gastos de ventas,Gastos de administración,Otros gastos,Costos financieros,Ingreso (gasto) por impuestos,Ganancia (pérdida),Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,Activos corrientes totales,Propiedades planta y equipo,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,Pasivos por impuestos corrientes corriente,Otros pasivos financieros corrientes,Pasivos corrientes totales,Total de pasivos no corrientes,Total pasivos,Capital emitido,Otras reservas,Ganancias acumuladas,Patrimonio total,Total de patrimonio y pasivos
676,C,11519536.0,10888151.0,631385.0,0.0,25336.0,242127.0,163139.0,175741.0,56740.0,90328.0,59031.0,3302476.0,571095.0,4140894.0,181011.0,321419.0,4462313.0,24398.0,39333.0,1698573.0,88743.0,383243.0,2209892.0,979324.0,3189216.0,1040268.0,1929.0,115546.0,1273097.0,4462313.0
708,C,8207753.0,5961783.0,2245970.0,48069.0,625475.0,783645.0,114665.0,57803.0,235109.0,477342.0,93592.0,2622001.0,3104316.0,6352016.0,7460196.0,7725394.0,14077410.0,332094.0,332094.0,667490.0,1380659.0,0.0,2549666.0,5546688.0,8096354.0,3137267.0,214636.0,2629153.0,5981056.0,14077410.0
732,C,15834022.0,12898611.0,2935411.0,563868.0,951828.0,788554.0,1363590.0,0.0,0.0,395307.0,411165.0,3033592.0,3481078.0,7658137.0,1381718.0,1394591.0,9052728.0,67846.0,67846.0,3569950.0,211306.0,0.0,3849102.0,2891003.0,6740105.0,1000000.0,248538.0,1064085.0,2312623.0,9052728.0
764,C,7862875.0,4001014.0,3861861.0,257166.0,894542.0,2302098.0,741.0,159915.0,262068.0,499663.0,952817.0,703613.0,799919.0,2680125.0,915778.0,4416425.0,7096550.0,0.0,0.0,707101.0,0.0,118605.0,825706.0,90432.0,916138.0,100000.0,50000.0,6030412.0,6180412.0,7096550.0
816,C,22511744.0,15258779.0,7252965.0,24026.0,557492.0,2250494.0,2075475.0,202726.0,1046604.0,1154701.0,965675.0,2185322.0,1693542.0,6697345.0,33265132.0,33705135.0,40402480.0,386291.0,386291.0,4408355.0,722371.0,1144561.0,6835800.0,4271971.0,11107771.0,19245600.0,2981835.0,7142254.0,29294709.0,40402480.0
984,C,8955875.0,5225538.0,3730337.0,296449.0,1104338.0,1350129.0,61455.0,684109.0,104425.0,816164.0,1411291.0,1979882.0,3783004.0,7174177.0,414482.0,15311685.0,22485862.0,31091.0,31091.0,3042892.0,683829.0,238011.0,3995823.0,4236122.0,8231945.0,6200000.0,252553.0,7801364.0,14253917.0,22485862.0
1004,C,20303519.0,12964987.0,7338532.0,69396.0,166834.0,3941115.0,375493.0,414359.0,1021004.0,1489123.0,199377.0,1893366.0,1244595.0,3375356.0,16711920.0,17325264.0,20700620.0,436366.0,436366.0,5824738.0,995167.0,1819788.0,9352930.0,2264978.0,11617908.0,2214000.0,1777988.0,4773159.0,9082712.0,20700620.0
1084,C,1380751.0,1144502.0,236249.0,426.0,99384.0,14325.0,6209.0,0.0,43401.0,73356.0,36220.0,99526.0,5396.0,229122.0,294621.0,294621.0,523743.0,0.0,0.0,278916.0,0.0,0.0,278916.0,0.0,278916.0,80000.0,40000.0,124827.0,244827.0,523743.0
1100,C,7896538.0,6584180.0,1312358.0,17881.0,400549.0,1037608.0,66293.0,71895.0,-292686.0,50512.0,197208.0,228924.0,293412.0,881010.0,3192535.0,3389740.0,4270750.0,257934.0,257934.0,428627.0,50013.0,50486.0,787060.0,701842.0,1488902.0,360000.0,312624.0,2109224.0,2781848.0,4270750.0
1148,C,7333982.0,5868725.0,1465257.0,0.0,0.0,651178.0,0.0,60329.0,270987.0,522729.0,376629.0,1581971.0,2581451.0,4553207.0,4447218.0,4447218.0,9000425.0,76720.0,76720.0,786175.0,228641.0,46502.0,1198154.0,0.0,1198154.0,600000.0,376173.0,3302858.0,7802271.0,9000425.0
1156,C,12872199.0,11330473.0,1541726.0,165578.0,2083019.0,1656382.0,24920.0,166598.0,193815.0,-2331180.0,117411.0,1704310.0,839907.0,3120340.0,6906985.0,8806679.0,11927019.0,428994.0,428994.0,2673887.0,249410.0,418163.0,3770454.0,7458846.0,11229300.0,1090000.0,730134.0,-5637416.0,697719.0,11927019.0
1160,C,8803874.0,6408607.0,2395267.0,25334.0,816956.0,390845.0,336286.0,204388.0,319786.0,353024.0,596751.0,2613142.0,332705.0,3542598.0,2910176.0,2959671.0,6502269.0,280476.0,280476.0,913679.0,170665.0,313417.0,1851713.0,249314.0,2101027.0,300000.0,258139.0,3401736.0,4401242.0,6502269.0
1172,C,12875737.0,9782299.0,3093438.0,11218.0,362767.0,1005949.0,220289.0,401526.0,478361.0,742243.0,214006.0,3696255.0,2511229.0,6449297.0,6533906.0,6578143.0,13027440.0,91152.0,91152.0,423961.0,270097.0,3011046.0,3796256.0,668068.0,4464324.0,1000000.0,500000.0,7063116.0,8563116.0,13027440.0
1200,C,33237990.0,31312604.0,1925386.0,557015.0,3601839.0,2811404.0,190506.0,1060802.0,10205.0,-5191092.0,717599.0,9207863.0,5844367.0,17031758.0,12369950.0,12592878.0,29624636.0,382221.0,382221.0,4048276.0,176529.0,11314990.0,16227425.0,6768372.0,22995797.0,900000.0,450000.0,5278839.0,6628839.0,29624636.0
1268,C,21867496.0,8175157.0,13692339.0,2033686.0,8520086.0,2659960.0,435622.0,3530360.0,420289.0,159708.0,347589.0,4648861.0,6650820.0,11647270.0,22433433.0,34718585.0,46365855.0,274291.0,274291.0,5230536.0,102229.0,6737506.0,12344562.0,1298492.0,13643054.0,8000000.0,4000000.0,20722801.0,32722801.0,46365855.0
1404,C,10961603.0,7997943.0,2963660.0,77093.0,585106.0,556388.0,864317.0,181260.0,281715.0,571967.0,1720670.0,1163489.0,3794761.0,6678920.0,7985888.0,7985888.0,14664808.0,81723.0,81723.0,126957.0,294320.0,5483028.0,6036205.0,1393222.0,7429427.0,1700000.0,59471.0,5475910.0,7235381.0,14664808.0
1432,C,11417304.0,5699910.0,5717394.0,86942.0,4217789.0,1285540.0,129215.0,84465.0,9999.0,78001.0,359662.0,519687.0,378311.0,1459148.0,1158576.0,1639875.0,3099023.0,220964.0,220964.0,1307813.0,233945.0,17918.0,1802900.0,827858.0,2630758.0,450000.0,78446.0,-297543.0,468265.0,3099023.0
1464,C,28703071.0,23456747.0,5246324.0,134771.0,3176776.0,1404467.0,1866.0,231986.0,200996.0,365004.0,2961296.0,1724809.0,1498748.0,6184853.0,3232595.0,3819666.0,10004519.0,216976.0,216976.0,2655905.0,251461.0,570894.0,3788421.0,1978693.0,5767114.0,1500000.0,233705.0,2503700.0,4237405.0,10004519.0
1492,C,7980483.0,3870488.0,4109995.0,13994.0,2267673.0,1246489.0,110311.0,52196.0,211282.0,341608.0,552587.0,1922085.0,1155556.0,3630228.0,98064.0,195344.0,3825572.0,177143.0,177143.0,595681.0,240160.0,0.0,1023768.0,448669.0,1472437.0,470400.0,573666.0,1164598.0,2353135.0,3825572.0
1592,C,1037659.0,1766031.0,-728372.0,161404.0,257549.0,708048.0,417702.0,0.0,0.0,-1950267.0,68197.0,9843549.0,112886.0,11224632.0,5761692.0,6385501.0,17610133.0,164505.0,164505.0,5592562.0,389577.0,1650760.0,7797404.0,13729780.0,21527184.0,11913733.0,36972.0,-15867756.0,-3917051.0,17610133.0
1608,C,20780232.0,17137732.0,3642500.0,78563.0,1379269.0,1044243.0,0.0,587971.0,271349.0,438231.0,290304.0,2491604.0,1195010.0,5659743.0,9734968.0,12003715.0,17663458.0,202488.0,202488.0,1364120.0,1265150.0,3096615.0,5967763.0,975062.0,6942825.0,1530000.0,1226567.0,900547.0,10720633.0,17663458.0
1612,C,9638824.0,6769987.0,2868837.0,55476.0,1416492.0,1019226.0,9991.0,63280.0,157457.0,393536.0,1012077.0,1427912.0,232062.0,2753243.0,1605684.0,1760570.0,4513813.0,134253.0,134253.0,1773215.0,53575.0,117998.0,2079041.0,91791.0,2170832.0,334000.0,11080.0,1691597.0,2342981.0,4513813.0
1684,C,5850301.0,4057114.0,1793187.0,159481.0,942133.0,668029.0,13988.0,347944.0,75669.0,-81636.0,23430.0,540068.0,4528809.0,5285912.0,2827390.0,4777321.0,10063233.0,89886.0,89886.0,495714.0,142975.0,1818780.0,2564026.0,1140247.0,3704273.0,200001.0,2994600.0,3164359.0,6358960.0,10063233.0
1736,C,14086109.0,8337416.0,5748693.0,10846.0,1199496.0,2640759.0,233.0,826503.0,470302.0,692940.0,53617.0,4918023.0,1760889.0,6733113.0,2264205.0,3219946.0,9953059.0,377294.0,377294.0,1403366.0,385364.0,1201709.0,3367733.0,2688335.0,6056068.0,420000.0,517400.0,1408986.0,3896991.0,9953059.0
1744,C,7199596.0,4050414.0,3149182.0,202766.0,1338204.0,500903.0,368774.0,993300.0,43498.0,135583.0,89775.0,3656513.0,2971188.0,7161564.0,5480230.0,6924248.0,14085812.0,88861.0,88861.0,414257.0,411842.0,1451059.0,2366019.0,6821377.0,9187396.0,3394000.0,677813.0,-292181.0,4898416.0,14085812.0
1776,C,16027169.0,12654696.0,3372473.0,0.0,1083108.0,942290.0,31650.0,434082.0,332391.0,917472.0,5081661.0,6514759.0,6424713.0,18579505.0,6592431.0,7537284.0,26116789.0,36816.0,36816.0,8316504.0,562618.0,911993.0,9948746.0,2009286.0,11958032.0,200000.0,26696.0,7121824.0,14158757.0,26116789.0
1832,C,35341538.0,22599837.0,12741701.0,146589.0,8493240.0,2344966.0,44475.0,1989857.0,585663.0,449635.0,136400.0,10455506.0,5324518.0,15916424.0,9355384.0,9704248.0,25620672.0,486805.0,486805.0,6619823.0,414752.0,3997216.0,11939549.0,6167461.0,18107010.0,399700.0,767659.0,6346303.0,7513662.0,25620672.0
1932,C,22858055.0,17800133.0,5057922.0,310222.0,1583115.0,1729210.0,398315.0,695026.0,409235.0,553369.0,540869.0,5505919.0,8200926.0,15565557.0,5718333.0,5806776.0,21372333.0,347768.0,369916.0,4070235.0,263333.0,1241638.0,6035187.0,2012061.0,8047248.0,1500000.0,7872787.0,3952298.0,13325085.0,21372333.0
1940,C,36171819.0,27474015.0,8697804.0,238771.0,3594034.0,2812952.0,742117.0,1539279.0,108433.0,225619.0,228108.0,2726480.0,652812.0,4454719.0,23929837.0,24062904.0,28517623.0,530197.0,530197.0,4675236.0,405160.0,337660.0,6442913.0,12289107.0,18732020.0,3011975.0,1535532.0,4550596.0,9785603.0,28517623.0
2096,C,18758692.0,6780401.0,11978291.0,94413.0,2964343.0,2780199.0,228596.0,105092.0,2350287.0,3765888.0,1817658.0,3320023.0,3188857.0,12852814.0,9014698.0,9042909.0,21895723.0,137114.0,137114.0,1368660.0,2229598.0,20990.0,7906781.0,1714.0,7908495.0,1500000.0,3411069.0,8983523.0,13987228.0,21895723.0
2140,C,43060744.0,26156396.0,16904348.0,554938.0,11578087.0,2815139.0,111574.0,2256524.0,503258.0,1184866.0,1885491.0,13331081.0,16301276.0,32758464.0,8976442.0,10742570.0,43501034.0,717691.0,717691.0,7083293.0,1842266.0,7171316.0,21754031.0,2924022.0,24678053.0,1400000.0,744218.0,16678763.0,18822981.0,43501034.0
2144,C,6280587.0,4622418.0,1658169.0,21099.0,599359.0,571761.0,269293.0,0.0,87152.0,151703.0,36489.0,1026345.0,425829.0,1488663.0,4386644.0,4386644.0,5875307.0,102012.0,102012.0,1078891.0,231449.0,337672.0,1750246.0,1693517.0,3443763.0,700000.0,107676.0,1623868.0,2431544.0,5875307.0
2184,C,9906366.0,4352281.0,5554085.0,127219.0,3496667.0,1522271.0,0.0,274840.0,172318.0,216958.0,558174.0,567720.0,563458.0,1689352.0,2106337.0,2992422.0,4681774.0,188451.0,188451.0,624106.0,208347.0,227692.0,1248596.0,731905.0,1980501.0,100000.0,1372736.0,682974.0,2701273.0,4681774.0
2204,C,67186877.0,43889803.0,23297074.0,142437.0,10690619.0,3478845.0,129.0,1828407.0,2987900.0,4453611.0,509206.0,23318625.0,23619698.0,53326952.0,419264.0,1105671.0,54432623.0,336744.0,506031.0,24764082.0,2703721.0,15112224.0,43086058.0,0.0,43086058.0,900000.0,1061777.0,9384788.0,11346565.0,54432623.0
2264,C,9775605.0,3911315.0,5864290.0,70421.0,2476144.0,1444637.0,164883.0,135292.0,500733.0,1227158.0,171085.0,3392165.0,1921848.0,5492816.0,1041151.0,1097022.0,6589838.0,124064.0,124064.0,564546.0,543129.0,159167.0,1390906.0,1303125.0,2694031.0,500000.0,158078.0,2010571.0,3895807.0,6589838.0
2308,C,8293825.0,3421256.0,4872569.0,163685.0,2779883.0,1070674.0,18496.0,601367.0,156718.0,410346.0,622267.0,1362792.0,939626.0,3126065.0,1336725.0,1542881.0,4668946.0,97080.0,97080.0,978359.0,352763.0,204280.0,1632482.0,2389631.0,4022113.0,548000.0,122467.0,-23634.0,646833.0,4668946.0
2356,C,6103253.0,3896878.0,2206375.0,128810.0,691025.0,677508.0,135355.0,378506.0,202469.0,268172.0,224945.0,1744843.0,409551.0,2428167.0,1761089.0,1948259.0,4376426.0,194182.0,194182.0,577186.0,68334.0,940516.0,1908794.0,785519.0,2694313.0,710000.0,231745.0,740368.0,1682113.0,4376426.0
2392,C,182094834.0,164109362.0,17985472.0,2248366.0,0.0,10558086.0,3518816.0,435877.0,3225475.0,2638488.0,3575561.0,10518459.0,2375819.0,28488372.0,8557879.0,11110423.0,39598795.0,10036713.0,16836873.0,8714690.0,6371037.0,1331858.0,33254458.0,848008.0,34102466.0,12130.0,383969.0,5081718.0,5496329.0,39598795.0
2432,C,22610737.0,17639758.0,4970979.0,167499.0,1836479.0,1428578.0,36211.0,584694.0,419023.0,883986.0,273813.0,5760654.0,3443887.0,9726429.0,4802365.0,4826164.0,14552593.0,220974.0,220974.0,1660388.0,582303.0,1046212.0,3533016.0,2362900.0,5895916.0,150000.0,225000.0,8281677.0,8656677.0,14552593.0
2512,C,110444017.0,68395089.0,42048928.0,2067203.0,8802736.0,29434702.0,194972.0,7650227.0,777146.0,-2639548.0,3564053.0,49992071.0,9352479.0,66521394.0,6720279.0,18823271.0,85344665.0,273244.0,625384.0,8702395.0,4723463.0,33122449.0,47273394.0,24140503.0,71413897.0,100000.0,50000.0,13780768.0,13930768.0,85344665.0
2516,C,8479620.0,5265510.0,3214110.0,198531.0,750020.0,1609933.0,7259.0,219548.0,292472.0,565895.0,1157564.0,1886061.0,830326.0,3920293.0,965711.0,3734434.0,7654727.0,221240.0,221240.0,771473.0,262299.0,133126.0,1411263.0,1564127.0,2975390.0,270000.0,135000.0,4274337.0,4679337.0,7654727.0
2568,C,6806002.0,5478309.0,1327693.0,44252.0,324973.0,933807.0,75660.0,234734.0,126747.0,-276166.0,52017.0,1317470.0,1877593.0,3532740.0,1728139.0,1785310.0,5318050.0,214512.0,214512.0,1983903.0,271018.0,396022.0,2865455.0,452140.0,3317595.0,580000.0,66522.0,1353933.0,2000455.0,5318050.0
2684,C,10368794.0,6067542.0,4301252.0,456842.0,1079696.0,2134120.0,435655.0,670302.0,77342.0,360979.0,2538.0,1774079.0,4529354.0,6415528.0,6409957.0,6510540.0,12926068.0,137860.0,137860.0,1344900.0,0.0,2760923.0,4373158.0,3086137.0,7459295.0,400000.0,236556.0,3786217.0,5466773.0,12926068.0
2724,C,86276190.0,79187354.0,7088836.0,5558447.0,1318629.0,2918818.0,3967916.0,1267988.0,2656734.0,537003.0,109416.0,3748522.0,4050059.0,9566738.0,33656006.0,34233309.0,43800047.0,204758.0,204758.0,14749412.0,4120062.0,804282.0,20533863.0,13133154.0,33667017.0,756000.0,0.0,9373030.0,10133030.0,43800047.0
2728,C,48446788.0,32615043.0,15831745.0,577526.0,7566953.0,3528926.0,451882.0,4181623.0,596760.0,99583.0,1187980.0,7417070.0,7958200.0,17438065.0,16458269.0,18532986.0,35971051.0,174662.0,174662.0,8238991.0,1435354.0,3214129.0,13063136.0,15648876.0,28712012.0,2862000.0,512246.0,3884793.0,7259039.0,35971051.0
2780,C,7481629.0,4628818.0,2852811.0,86622.0,983731.0,1206400.0,47532.0,451147.0,152254.0,107022.0,589151.0,1536162.0,4883612.0,7008925.0,1555429.0,1774476.0,8783401.0,101589.0,117198.0,873672.0,226174.0,1328162.0,2545206.0,2659791.0,5204997.0,2084155.0,444367.0,1049882.0,3578404.0,8783401.0
2868,C,5622518.0,3825712.0,1796806.0,29172.0,832956.0,739966.0,226168.0,224333.0,44695.0,-38118.0,958991.0,984719.0,1488631.0,3561474.0,3715805.0,3728135.0,7289609.0,28002.0,28002.0,856513.0,37020.0,203542.0,1126562.0,553727.0,1680289.0,836072.0,523530.0,3266166.0,5609320.0,7289609.0
2940,C,13495803.0,11124802.0,2371001.0,83048.0,897570.0,1174770.0,72247.0,80385.0,148921.0,220756.0,585157.0,3371680.0,2698435.0,7461342.0,2054761.0,2092274.0,9553616.0,0.0,0.0,2481081.0,326203.0,284999.0,3180259.0,0.0,3180259.0,200000.0,141614.0,6031743.0,6373357.0,9553616.0
2948,C,6655823.0,3356014.0,3299809.0,545.0,2022957.0,533565.0,69475.0,195996.0,170614.0,309408.0,630260.0,1138913.0,970857.0,2751846.0,538726.0,655026.0,3406872.0,262777.0,262777.0,861225.0,387985.0,297925.0,1852903.0,683862.0,2536765.0,142000.0,100685.0,570368.0,870107.0,3406872.0
3256,C,4816658.0,3920118.0,896540.0,78632.0,0.0,1499687.0,165335.0,0.0,0.0,-689850.0,14780.0,2533021.0,2126512.0,5652860.0,3412338.0,4369865.0,10022725.0,470801.0,1467010.0,1046761.0,1201886.0,600362.0,4316019.0,389531.0,4705550.0,5096429.0,205203.0,15543.0,5317175.0,10022725.0
3264,C,6505379.0,4327331.0,2178048.0,18853.0,1251159.0,644340.0,1861.0,211510.0,52460.0,35571.0,773306.0,772607.0,1741033.0,3322825.0,1090642.0,1112247.0,4435072.0,0.0,0.0,670486.0,89928.0,2226492.0,3124845.0,352834.0,3477679.0,602000.0,136925.0,218468.0,957393.0,4435072.0
3332,C,19835490.0,8819322.0,11016168.0,1663607.0,9642806.0,1554880.0,14316.0,713817.0,-284398.0,1038875.0,121061.0,345565.0,287399.0,1253240.0,6613278.0,6972440.0,8225680.0,135930.0,135930.0,1156044.0,355108.0,705455.0,2374392.0,3256037.0,5630429.0,1154000.0,594303.0,846948.0,2595251.0,8225680.0
3356,C,5162365.0,5035210.0,127155.0,150060.0,0.0,974517.0,17133.0,0.0,84494.0,-798929.0,33119.0,7546693.0,1156923.0,9200788.0,1828145.0,1876700.0,11077488.0,0.0,0.0,3573774.0,895664.0,91500.0,4560938.0,0.0,4560938.0,200000.0,100000.0,5457570.0,6516550.0,11077488.0
3360,C,8167705.0,5374283.0,2793422.0,77081.0,1004229.0,811608.0,78104.0,60962.0,559058.0,413011.0,1542285.0,1350384.0,1219047.0,4111716.0,1382372.0,1558558.0,5670274.0,179689.0,179689.0,418900.0,145267.0,42524.0,817661.0,1043330.0,1860991.0,500000.0,371180.0,2505103.0,3809283.0,5670274.0
3704,C,20146762.0,15069306.0,5077456.0,129821.0,2047530.0,1175739.0,142776.0,722476.0,419317.0,713972.0,1283833.0,8540870.0,6537090.0,16361793.0,4222389.0,4706525.0,21068318.0,0.0,0.0,8205957.0,0.0,3822644.0,12028601.0,5624340.0,17652941.0,180000.0,171554.0,3063823.0,3415377.0,21068318.0
3708,C,16600903.0,14743670.0,1857233.0,157283.0,1272928.0,1037556.0,415486.0,306690.0,40000.0,-1058144.0,98454.0,7494574.0,2675522.0,10268550.0,3723883.0,5301333.0,15569883.0,189868.0,189868.0,4837820.0,115794.0,481134.0,5688064.0,5450673.0,11138737.0,1169299.0,1142931.0,2118916.0,4431146.0,15569883.0
3748,C,11017920.0,6542683.0,4475237.0,118101.0,2818246.0,711874.0,253071.0,431468.0,174270.0,246178.0,241611.0,2046021.0,1750176.0,4498008.0,695442.0,1288276.0,5786284.0,210830.0,210830.0,1218750.0,294188.0,14269.0,1746128.0,160190.0,1906318.0,336600.0,155114.0,2328574.0,3879966.0,5786284.0
3764,C,8201029.0,6745640.0,1455389.0,41180.0,519710.0,590222.0,104419.0,52969.0,95008.0,135065.0,7789.0,2248212.0,824803.0,3211857.0,5346573.0,5396892.0,8608749.0,78303.0,78303.0,598670.0,30208.0,11241.0,1002621.0,924717.0,1927338.0,600000.0,291045.0,5790366.0,6681411.0,8608749.0
3772,C,11243729.0,8617559.0,2626170.0,57490.0,1119564.0,839075.0,120037.0,153286.0,242166.0,214590.0,22758.0,2040128.0,2137570.0,4756260.0,213377.0,252228.0,5008488.0,113328.0,113328.0,1492777.0,274863.0,88736.0,2045932.0,798622.0,2844554.0,1000000.0,477677.0,686257.0,2163934.0,5008488.0
3816,C,7081446.0,3926250.0,3155196.0,215560.0,2667718.0,1372262.0,158501.0,366205.0,89057.0,-1192275.0,256120.0,914248.0,3289085.0,4467316.0,1806424.0,1896959.0,6364275.0,6644.0,6644.0,871893.0,16330.0,230093.0,1293601.0,1451194.0,2744795.0,330000.0,449728.0,271113.0,3619480.0,6364275.0
3936,C,73903058.0,69662130.0,4240928.0,5300015.0,1930837.0,7637114.0,330342.0,1775890.0,-38533.0,-2002654.0,818195.0,2055824.0,1605453.0,7626276.0,17617694.0,59740946.0,67367222.0,316751.0,316751.0,5857292.0,3010732.0,2975366.0,12160141.0,35294053.0,47454194.0,786960.0,415246.0,2493744.0,19913028.0,67367222.0
3984,C,4473078.0,3587470.0,885608.0,0.0,1025309.0,513041.0,0.0,264168.0,0.0,-887831.0,101620.0,1980913.0,846000.0,4945281.0,1953416.0,4102533.0,9047814.0,204157.0,204157.0,598434.0,273305.0,749425.0,1825321.0,4724158.0,6549479.0,1200000.0,291861.0,-45656.0,2498335.0,9047814.0
4040,C,145747357.0,101764852.0,43982505.0,759288.0,35467441.0,4372723.0,37163.0,3773941.0,1240440.0,1386118.0,566017.0,18299632.0,51912401.0,72204820.0,9906196.0,14151365.0,86356185.0,270658.0,301812.0,15658760.0,3655683.0,28478483.0,48136546.0,9060412.0,57196958.0,15617125.0,703678.0,5076959.0,29159227.0,86356185.0
4048,C,17855543.0,11890270.0,5965273.0,1092364.0,2493378.0,1352273.0,1234347.0,900212.0,577729.0,1080704.0,427140.0,5928777.0,1183389.0,10341485.0,5821888.0,6392095.0,16733580.0,211511.0,211511.0,4028192.0,76951.0,2160622.0,6701687.0,964726.0,7666413.0,670000.0,335000.0,8062167.0,9067167.0,16733580.0
4144,C,32084975.0,25978331.0,6106644.0,2031969.0,1271694.0,2517282.0,0.0,1725394.0,1006117.0,1618126.0,1124679.0,8501651.0,8543625.0,18169955.0,16363901.0,17339094.0,35509049.0,0.0,0.0,5430983.0,307039.0,3798593.0,10660368.0,4470024.0,15130392.0,3500000.0,394358.0,16484299.0,20378657.0,35509049.0
4184,C,11509571.0,7769997.0,3739574.0,149086.0,1063554.0,1271933.0,117612.0,437335.0,376320.0,672595.0,270739.0,3096848.0,4282125.0,7649712.0,5864220.0,6812206.0,14461918.0,255582.0,255582.0,2055510.0,731019.0,1605265.0,4647376.0,2935729.0,7583105.0,500000.0,445270.0,5933543.0,6878813.0,14461918.0
4296,C,4349135.0,2884292.0,1464843.0,163099.0,386785.0,432310.0,27554.0,245367.0,70762.0,465311.0,363944.0,3080303.0,437990.0,4131899.0,1746200.0,1746200.0,5878099.0,98899.0,98899.0,973341.0,159340.0,446858.0,1712822.0,1173569.0,2886391.0,90000.0,26546.0,2165162.0,2991708.0,5878099.0
