,value,region,incomeLevel,TotalPop2020,TotalRuralPop2020
159,Malta,MEA,HIC,515332.0,27086.0
160,Myanmar,EAS,LMC,53423198.0,36786680.0
162,Montenegro,ECS,UMC,621306.0,201999.0
163,Mongolia,EAS,LMC,3294335.0,1032543.0
164,Northern Mariana Islands,EAS,HIC,49587.0,4067.0
165,Mozambique,SSF,LIC,31178239.0,19619219.0
166,Mauritania,SSF,LMC,4498604.0,2009661.0
167,Mauritius,SSF,UMC,1266014.0,749987.0
168,Malawi,SSF,LIC,19377061.0,16000221.0
169,Malaysia,EAS,UMC,33199993.0,7582878.0
171,Namibia,SSF,UMC,2489098.0,1193946.0
172,New Caledonia,EAS,HIC,271080.0,77209.0
173,Niger,SSF,LIC,24333639.0,20287928.0
174,Nigeria,SSF,LMC,208327405.0,100084652.0
175,Nicaragua,LCN,LMC,6755895.0,2769106.0
176,Netherlands,ECS,HIC,17441500.0,1354158.0
177,Norway,ECS,HIC,5379475.0,915909.0
178,Nepal,SAS,LMC,29348627.0,23309854.0
179,Nauru,EAS,HIC,12315.0,0.0
180,New Zealand,EAS,HIC,5090200.0,677048.0
182,Oman,MEA,HIC,4543399.0,623536.0
184,Pakistan,SAS,LMC,227196741.0,142759072.0
185,Panama,LCN,HIC,4294396.0,1356428.0
186,Peru,LCN,UMC,33304756.0,7228131.0
187,Philippines,EAS,LMC,112190977.0,59003479.0
188,Palau,EAS,UMC,17972.0,3417.0
189,Papua New Guinea,EAS,LMC,9749640.0,8448551.0
190,Poland,ECS,HIC,37899070.0,15143331.0
192,Puerto Rico,LCN,HIC,3281557.0,210643.0
193,"Korea, Dem. People's Rep.",EAS,LIC,25867467.0,9731082.0
194,Portugal,ECS,HIC,10297081.0,3469087.0
195,Paraguay,LCN,UMC,6618695.0,2502992.0
196,West Bank and Gaza,MEA,UMC,4803269.0,1118249.0
199,French Polynesia,EAS,HIC,301920.0,114805.0
200,Qatar,MEA,HIC,2760385.0,21117.0
201,Romania,ECS,HIC,19265250.0,8824640.0
202,Russian Federation,ECS,UMC,144073139.0,36372705.0
203,Rwanda,SSF,LIC,13146362.0,10854688.0
205,Saudi Arabia,MEA,HIC,35997107.0,5656225.0
206,Sudan,SSF,LIC,44440486.0,28773881.0
207,Senegal,SSF,LMC,16436120.0,8526730.0
208,Singapore,EAS,HIC,5685807.0,0.0
209,Solomon Islands,EAS,LMC,691191.0,520674.0
210,Sierra Leone,SSF,LIC,8233970.0,4699703.0
211,El Salvador,LCN,UMC,6292731.0,1671098.0
212,San Marino,ECS,HIC,34007.0,851.0
213,Somalia,SSF,LIC,16537016.0,8906671.0
214,Serbia,ECS,UMC,6899126.0,3004845.0
216,South Sudan,SSF,LIC,10606227.0,8463875.0
219,Sao Tome and Principe,SSF,LMC,218641.0,56073.0
220,Suriname,LCN,UMC,607065.0,205498.0
221,Slovak Republic,ECS,HIC,5458827.0,2524162.0
222,Slovenia,ECS,HIC,2102419.0,943608.0
223,Sweden,ECS,HIC,10353442.0,1244794.0
224,Eswatini,SSF,LMC,1180655.0,895279.0
225,Sint Maarten (Dutch part),LCN,HIC,42310.0,0.0
226,Seychelles,SSF,HIC,98462.0,41801.0
227,Syrian Arab Republic,MEA,LIC,20772595.0,9248998.0
228,Turks and Caicos Islands,LCN,HIC,44276.0,2831.0
229,Chad,SSF,LIC,16644701.0,12729867.0
232,Togo,SSF,LIC,8442580.0,4829156.0
233,Thailand,EAS,UMC,71475664.0,34715730.0
234,Tajikistan,ECS,LMC,9543207.0,6918252.0
235,Turkmenistan,ECS,UMC,6250438.0,2967958.0
237,Timor-Leste,EAS,LMC,1299995.0,892837.0
239,Tonga,EAS,UMC,105254.0,80941.0
242,Trinidad and Tobago,LCN,HIC,1518147.0,710280.0
243,Tunisia,MEA,LMC,12161723.0,3701056.0
244,Turkiye,ECS,UMC,83384680.0,19924769.0
245,Tuvalu,EAS,UMC,11069.0,3983.0
246,Tanzania,SSF,LMC,61704518.0,39967867.0
247,Uganda,SSF,LIC,44404611.0,33323884.0
248,Ukraine,ECS,LMC,44132049.0,13412612.0
250,Uruguay,LCN,HIC,3429086.0,153795.0
251,United States,NAC,HIC,331511512.0,57470836.0
252,Uzbekistan,ECS,LMC,34232050.0,16973620.0
253,St. Vincent and the Grenadines,LCN,UMC,104632.0,49144.0
254,"Venezuela, RB",LCN,INX,28490453.0,3339366.0
255,British Virgin Islands,LCN,HIC,30910.0,15914.0
256,Virgin Islands (U.S.),LCN,HIC,106290.0,4316.0
257,Viet Nam,EAS,LMC,96648685.0,60560066.0
258,Vanuatu,EAS,LMC,311685.0,232127.0
260,Samoa,EAS,LMC,214929.0,176480.0
261,Kosovo,ECS,UMC,1790133.0,
262,"Yemen, Rep.",MEA,LIC,32284046.0,20045810.0
263,South Africa,SSF,UMC,58801927.0,19196477.0
264,Zambia,SSF,LMC,18927715.0,10480465.0
265,Zimbabwe,SSF,LMC,15669666.0,10617452.0
