Punto de Entrada,Nombre Formulario,NIT,Fecha de Corte,El Máximo Órgano Social aprobó distribuir utilidades del ejercicio inmediatamente anterior,Valor de las utilidades decretadas en miles de pesos (ejercicio inmediatamente anterior),Razón social de la sociedad,Objeto social principal,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),Corte de cuentas según estatutos,Fecha de constitución (Aaaa-Mm-Dd),Fecha de vencimiento (Aaaa-Mm-Dd),Estado actual,Tipo societario,La sociedad es,Dirección de notificación judicial registrada en Cámara de Comercio,Departamento de la dirección de notificación judicial,Ciudad de la dirección de notificación judicial,Dirección del domicilio,Departamento de la dirección del domicilio,Ciudad de la dirección del domicilio,Teléfono del domicilio,Celular corporativo,E-mail de la sociedad,Matricula mercantil número,Domicilio casa matriz sucursal de sociedad extranjera,País del domicilio casa matriz sucursal de sociedad extranjera,La compañía está obligada a tener Revisor fiscal?,El Revisor fiscal pertenece a una firma?,A que firma pertenece el Revisor Fiscal?,Los estados finacieros estan acompañados del dictamen del Revisor fiscal?,Concepto del Revisor fiscal en su informe,Estos estados financieros presentan información reexpresada?,La información reexpresada corresponde a:,Reexpresión según normatividad que aplique,"La Entidad posee inversiones en subsidiarias, asociadas y/o negocios conjuntos?"
Plenas-Individuales,Carátula,800004599,2020-12-31,NO,,COMERCIALIZADORA MARDEN LTDA,COMERCIO AL POR MAYOR DE OTROS PRODUCTOS N.C.P,G4669 - Comercio al por mayor de otros productos n.c.p.,01. ANUAL,1987-04-28,2037-04-28,ACTIVA,03. SOCIEDAD LIMITADA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CARRERA 28 29 60,VALLE,PALMIRA-VALLE,CARRERA 28 29 60,VALLE,PALMIRA-VALLE,2868733,3104291698,victoria.casas@marden.co,15539-3,,,SI,NO,,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800004708,2020-12-31,NO,,AGROPECUARIA VIENA S.A,EXPLOTACION Y APROVECHAMIENTOS DE NEGOCIOS AGROPECUARIOS EN GENERAL,A0122 - Cultivo de plátano y banano,01. ANUAL,1987-04-02,2027-04-02,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,cra 43 A 19 17 Ed  Block Empresarial of 1006,ANTIOQUIA,MEDELLIN-ANTIOQUIA,cra 43 A 19 17 Ed  Block Empresarial of 1006,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3197060,3007771694,tramites@gruposantamaria.com.co,21-150665-04,,,SI,SI,Maso Consultores Asociados y Cia S.A.S,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800005260,2020-12-31,NO,,INDUSTRIAS INVERSIONES Y SERVICIOS DELRIO S.A.S.,"VENDER, DISTRIBUIR Y EN GENERAL COMERCIALIZAR PRODUCTOS QUIMICOS.",G4690 - Comercio al por mayor no especializado,01. ANUAL,1987-04-07,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 11 94 47 P8,BOGOTA D.C.,BOGOTA D.C.,CR 11 94 47 P8,BOGOTA D.C.,BOGOTA D.C.,7454049,3212343804,yalmanza@delrio.com.co,290770,,,SI,NO,,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800007193,2020-12-31,SI,4200000.0,SAPUGA S.A.,"EXPLOTACION AGRICOLA, GANADERA Y FORESTAL",A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,01. ANUAL,1987-04-09,2037-04-09,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 16 93A 16,BOGOTA D.C.,BOGOTA D.C.,CR 16 93A 16,BOGOTA D.C.,BOGOTA D.C.,6358157,3144300757,ricardo.reyes@sapuga.com,293058,,,SI,SI,BAKER TILLY COLOMBIA LTDA,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800007202,2020-12-31,NO,,ALTALENE,FABRICACION TRANSFORMACION Y PRODUCCION DE MATERIAS PRIMAS  PROPIAS  O DE TERCEROS,C2229 - Fabricación de artículos de plástico n.c.p.,01. ANUAL,1987-05-28,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,AV CALLE  57 R SUR  N 73 I 75,BOGOTA D.C.,BOGOTA D.C.,AV CALLE  57 R SUR  N 73 I 75,BOGOTA D.C.,BOGOTA D.C.,7190545,3164287465,abaez@altalene.net,294302,,,SI,SI,BDO AUDIT,SI,03. LIMPIO,NO,,,
Plenas-Individuales,Carátula,800008151,2020-12-31,NO,,ELECTRICOS IMPORTADOS S.A. EIMPSA,LA EXPLOTACION DE LA INDUSTRIA ELECTRICA EN OTAS SUS FASES TALES COMO IMPORTAR EXPORTAR FABRICAR COMPRAR Y VENDER AL POR MAYOR O AL DETAL TODO LO RELACIONADO CON EQUIPOS Y MSTERIALES ELECTRICOS ELECTRONICOS Y ARTICULOS COMPLEMENTARIOS DE LA INDUSTRIA,G4690 - Comercio al por mayor no especializado,01. ANUAL,1987-05-29,2087-05-29,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CRA 63 17 70,BOGOTA D.C.,BOGOTA D.C.,CRA 63 17 70,BOGOTA D.C.,BOGOTA D.C.,3275222,3103332205,contador@eimpsa.com.co,296025,,,SI,SI,AUREN CONSULTORES SAS,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800010961,2020-12-31,NO,,NORCARBON S A S EN REORGANIZACION,"EXPLORACION, EXPLOTACION DE CARBON",B0510 - Extracción de hulla (carbón de piedra),01. ANUAL,1987-06-19,2050-06-19,ACUERDO DE REORGANIZACION,07. EMPRESA UNIPERSONAL,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 53 76 239 OF 402,ATLANTICO,BARRANQUILLA-ATLANTICO,CR 53 76 239 OF 402,ATLANTICO,BARRANQUILLA-ATLANTICO,3565574,3103609583,notificaciones@norcarbon.com.co,551917,,,SI,SI,CONSULTORIA & AUDITOIA OUTSOURCING SAS,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800011002,2020-12-31,SI,6694936.0,TECNAS S.A.,ELABORACIÓN Y COMERCIALIZACIÓN DE PRODUCTOS ALIMENTICIOS,C1089 - Elaboración de otros productos alimenticios n.c.p.,01. ANUAL,1987-05-29,2087-05-29,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CRA 50 G 12 SUR 29,ANTIOQUIA,ITAGUI-ANTIOQUIA,CRA 50 G 12 SUR 29,ANTIOQUIA,ITAGUI-ANTIOQUIA,2854290,3116056415,auxconta@tecnas.com.co,122456,,,SI,NO,,SI,03. LIMPIO,NO,,,
Plenas-Individuales,Carátula,800011955,2020-12-31,NO,,DIGITAL ESTEREO SAS,EXPLOTACION Y PRESTACION DE SERVICIOS DE TELECOMUNICACIONES,J6010 - Actividades de programación y transmisión en el servicio de radiodifusión sonora,01. ANUAL,1987-02-19,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CL 37 13A 19,BOGOTA D.C.,BOGOTA D.C.,CL 37 13A 19,BOGOTA D.C.,BOGOTA D.C.,3147070,313147070,contabilidad@rcnradio.com,293191,,,SI,NO,,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800011987,2020-12-31,NO,,TENARIS TUBOCARIBE LTDA,"Actividad Industrial y Comercial en las industrias metalurgicas, metalmecanica y de insumos de la construccion de toda clase de bienes inmuebles, incluyendo la fabricacion de tubos de acero, uniones curvas y nicles",C2410 - Industrias básicas de hierro y de acero,01. ANUAL,1987-06-26,2105-08-01,ACTIVA,03. SOCIEDAD LIMITADA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,Parque Industrial Carlos Velez Pombo Kilometro 1 Via Turbaco,BOLIVAR,TURBACO-BOLIVAR,Parque Industrial Carlos Velez Pombo Kilometro 1 Via Turbaco,BOLIVAR,TURBACO-BOLIVAR,6535400,356535400,silvia.diaz@tenaris.com,09-206457-03,,,SI,SI,PWC CONTADORES Y AUDITORES SAS,SI,03. LIMPIO,NO,,,
Plenas-Individuales,Carátula,800012080,2020-12-31,NO,,MUNDIAL DE FILTROS Y ACEITES LTDA,COMERCIO DE PARTES Y ACESORIOS PARA AUTOMOTORES,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",01. ANUAL,1987-07-23,2024-12-31,ACTIVA,03. SOCIEDAD LIMITADA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 1 30 57,VALLE,CALI-VALLE,CR 1 30 57,VALLE,CALI-VALLE,4441025,3168760903,mundialdefiltros@yahoo.com,198803-03,,,SI,SI,FRANCO ASESORES SAS,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800013349,2020-12-31,SI,3341543.0,RENOVADORA DE LLANTAS S.A,REENCAUCHE DE LLANTAS USADAS,C2212 - Reencauche de llantas usadas,01. ANUAL,1987-08-21,2050-08-21,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CL 17A 69F 56,BOGOTA D.C.,BOGOTA D.C.,CL17A 69F 56,BOGOTA D.C.,BOGOTA D.C.,7422779,3188484494,contabilidad@renoboy.com,831744,,,SI,SI,TAC CONSULTORES,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800014246,2020-12-31,NO,,ESTYMA ESTUDIOS Y MANEJOS S.A.,CONSTRUCCIÓN DE CARRETERAS Y VIAS DE FERROCARRIL,F4210 - Construcción de carreteras y vías de ferrocarril,01. ANUAL,1986-09-19,2050-09-19,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 35A 15B35 OF 410,ANTIOQUIA,MEDELLIN-ANTIOQUIA,CR 35A 15B35 OF 410,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4440568,3113706092,oficina.central@estyma.com,21-433487-04,,,SI,SI,AUREN CONSULTORES MEDELLIN S.A.S,SI,02. CON SALVEDAD,NO,,,NO
Plenas-Individuales,Carátula,800015615,2020-12-31,SI,1915472.0,MARPICO SA,"IMPORTACION, DISTRIBUCION Y VENTA DE MERCANCIAS  EXTRANJERAS DE CONSUMO MASIVO POPULAR EN LAS LINEAS DE FERRETERIA VINOS Y LICORES Y PROMOCIONALES",G4632 - Comercio al por mayor de bebidas y tabaco,01. ANUAL,1987-09-09,3000-09-09,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CL 100 #8A-49 TO B OF 702,BOGOTA D.C.,BOGOTA D.C.,CL 100 #8A-49 TO B OF 702,BOGOTA D.C.,BOGOTA D.C.,6235566,3153405169,GERENCIA@MARPICO.COM.CO,2630358,,,SI,SI,NEXIA MONTES Y ASOCIADOS SAS,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800016390,2020-12-31,NO,,TAHAMI & CULTIFLORES S.A.  C.I.,EFECTUAR ACTIVIDADES DE COMERCIO Y PRINCIPALMENTE ORIENTAR SUS ACTIVIDADES HACIA LA PROMOCION Y COMERCIALIZACION DE PRODUCTOS COLOMBIANOS EN LOS MERCADOS EXTERNOS,A0125 - Cultivo de flor de corte,01. ANUAL,1987-09-30,2028-05-30,ACUERDO DE REORGANIZACION,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,VDA TRES PUERTAS KM 8.5 FINCA SIETE CUEROS,ANTIOQUIA,RIONEGRO-ANTIOQUIA,VDA TRES PUERTAS KM 8.5 FINCA SIETE CUEROS,ANTIOQUIA,RIONEGRO-ANTIOQUIA,5606790,3117475316,notificaciones@tahamicultiflores.com,6,,,SI,NO,,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800018359,2020-12-31,NO,,BEL STAR S.A.,"La produccion, transformacion y comercializacion de bienes de consumo de uso personal y familia, tales como cosmeticos, tratamientos y equipos de belleza, joyeria, modas confecciones y todo lo relacionado con la dotacion, realce, adorno y cuidado  personal, familiar y del hogar","C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",01. ANUAL,1987-10-22,2050-12-31,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,Km22 Carretera Central del Norte Vereda Canavita,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,Km22 Carretera Central del Norte Vereda Canavita,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,5930404,3214434305,notificacionesjud@belcorp.biz,308113,,,SI,SI,ERNST & YOUNG AUDIT S.A.S.,SI,03. LIMPIO,NO,,,
Plenas-Individuales,Carátula,800019437,2020-12-31,SI,12589756.0,CORRUGADOS DEL DARIEN S.A.S.,"FABRICACION DE PAPEL Y CARTON ONDULADO (CORRUGADO); FABRICACION DE ENVASES, EMPAQUES Y DE EMBALAJES DE PAPEL Y CARTON","C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",01. ANUAL,1987-11-06,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CL 26 SUR 48 - 12,ANTIOQUIA,ENVIGADO-ANTIOQUIA,KM 2 VIA A TURBO,ANTIOQUIA,APARTADO-ANTIOQUIA,8293232,3227088724,info@cordarien.com.co,11766,,,SI,SI,PWC CONTADORES Y AUDITORES LTDA,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800019615,2020-12-31,NO,,SYMRISE LTDA, Fabricacion de otros productos quimicos n.c.pFabricación de otros productos quimicos ncp,C2029 - Fabricación de otros productos químicos n.c.p.,01. ANUAL,1987-11-09,2050-12-31,ACTIVA,03. SOCIEDAD LIMITADA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 58 9 54,BOGOTA D.C.,BOGOTA D.C.,CR 58 9-54,BOGOTA D.C.,BOGOTA D.C.,4252270,3153932675,mallerly.castro@symrise.com,310630,,,SI,SI,ERNST & YOUNG AUDIT SAS,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800020023,2020-12-31,NO,,HOTEL SANTA CLARA S A EN ACUERDO DE REESTRUCTURACION,ALOMIENTO EN HOTELES,I5511 - Alojamiento en hoteles,02. SEMESTRAL,1987-10-16,2050-12-31,ACTIVA,01. SOCIEDAD ANÓNIMA,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CR 8 39 29,BOLIVAR,CARTAGENA-BOLIVAR,CRA 8 39 29,BOLIVAR,CARTAGENA-BOLIVAR,6504700,3114912310,H1871-GL1@SOFITEL.COM,904996404,,,SI,SI,DELOITTE & TOUCHE,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800020220,2020-12-31,NO,,AGROINDUSTRIAL MOLINO SONORA AP SAS,ELABORACION DE PRODUCTOS DE MOLINERIA,C1051 - Elaboración de productos de molinería,01. ANUAL,1987-12-01,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,CARRERA 63 N. 14-75,BOGOTA D.C.,BOGOTA D.C.,CARRERA 63 N. 14-75,BOGOTA D.C.,BOGOTA D.C.,4146029,3134341958,ximena.bocanegra@arrozsonora.com.co,311680,,,SI,NO,,SI,03. LIMPIO,NO,,,NO
Plenas-Individuales,Carátula,800020706,2020-12-31,NO,,NALSANI S.A.S,"FABRICACIÓN PARA LA VENTA NACIONAL Y PARA LA EXPORTACIÓN DE BOLSOS, MALETAS MALETINES Y EN GENERAL TODO LO QUE SEA POSIBLE ELABORAR EN CUERO , LONA, PLASTICO Y OTROS MATERIALES SIMILARES","C1513 - Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",01. ANUAL,1987-11-23,,ACTIVA,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,07. ACTIVIDAD ECONÓMICA DIFERENTE A LAS ANTERIORES,KR 43 A 20 C 55,BOGOTA D.C.,BOGOTA D.C.,KR 43 A 20 C 55,BOGOTA D.C.,BOGOTA D.C.,3444660,313444660,impuestos@totto.com,312154,,,SI,SI,Crowe CO SAS,SI,03. LIMPIO,NO,,,NO
