client,state,date
A27,inactive,2026-12-01
A28,active,2026-01-01
A28,active,2026-02-01
A28,inactive,2026-03-01
A28,active,2026-04-01
A28,inactive,2026-05-01
A28,active,2026-06-01
A28,inactive,2026-07-01
A28,inactive,2026-08-01
A29,active,2026-01-01
A29,active,2026-02-01
A29,active,2026-03-01
A29,active,2026-04-01
A29,active,2026-05-01
A29,active,2026-06-01
A29,active,2026-07-01
A29,active,2026-08-01
A29,inactive,2026-09-01
A29,inactive,2026-10-01
A29,inactive,2026-11-01
A30,active,2026-01-01
A30,active,2026-02-01
A30,inactive,2026-03-01
A30,inactive,2026-04-01
A30,active,2026-05-01
A30,active,2026-06-01
A31,active,2026-01-01
A31,active,2026-02-01
A31,active,2026-03-01
A31,active,2026-04-01
A31,active,2026-05-01
A31,active,2026-06-01
A31,active,2026-07-01
A31,inactive,2026-08-01
A32,active,2026-01-01
A32,active,2026-02-01
A32,active,2026-03-01
A32,inactive,2026-04-01
A32,active,2026-05-01
A32,inactive,2026-06-01
A32,active,2026-07-01
A32,inactive,2026-08-01
A32,inactive,2026-09-01
A32,inactive,2026-10-01
A32,active,2026-11-01
A32,inactive,2026-12-01
A33,active,2026-01-01
A33,active,2026-02-01
A33,active,2026-03-01
A33,active,2026-04-01
A33,active,2026-05-01
A33,active,2026-06-01
A33,active,2026-07-01
A33,inactive,2026-08-01
A33,inactive,2026-09-01
A33,inactive,2026-10-01
A34,active,2026-01-01
A34,active,2026-02-01
A34,active,2026-03-01
A34,inactive,2026-04-01
A34,active,2026-05-01
A34,inactive,2026-06-01
A34,inactive,2026-07-01
A34,inactive,2026-08-01
A34,default,2026-09-01
A35,active,2026-01-01
A35,active,2026-02-01
A35,active,2026-03-01
A35,active,2026-04-01
A35,active,2026-05-01
A35,active,2026-06-01
A35,active,2026-07-01
A35,active,2026-08-01
A35,inactive,2026-09-01
A36,active,2026-01-01
A36,active,2026-02-01
A36,active,2026-03-01
A36,active,2026-04-01
A36,inactive,2026-05-01
A36,inactive,2026-06-01
A36,active,2026-07-01
A36,active,2026-08-01
A36,inactive,2026-09-01
A36,default,2026-10-01
A36,default,2026-11-01
A36,default,2026-12-01
A37,active,2026-01-01
A37,active,2026-02-01
A37,active,2026-03-01
A37,active,2026-04-01
A37,active,2026-05-01
A37,active,2026-06-01
A37,active,2026-07-01
A37,active,2026-08-01
A37,inactive,2026-09-01
A37,inactive,2026-10-01
A37,inactive,2026-11-01
A38,active,2026-01-01
A38,active,2026-02-01
A38,active,2026-03-01
A38,inactive,2026-04-01
A38,inactive,2026-05-01
A38,active,2026-06-01
A39,active,2026-01-01
A39,inactive,2026-02-01
A39,active,2026-03-01
A39,inactive,2026-04-01
A39,active,2026-05-01
A39,active,2026-06-01
A39,active,2026-07-01
A39,inactive,2026-08-01
A40,active,2026-01-01
A40,active,2026-02-01
A40,inactive,2026-03-01
A40,active,2026-04-01
A40,inactive,2026-05-01
A40,inactive,2026-06-01
A41,active,2026-01-01
A41,active,2026-02-01
A41,active,2026-03-01
A41,active,2026-04-01
A41,active,2026-05-01
A41,inactive,2026-06-01
A41,active,2026-07-01
A41,active,2026-08-01
A41,active,2026-09-01
A41,inactive,2026-10-01
A41,active,2026-11-01
A41,inactive,2026-12-01
A42,active,2026-01-01
A42,inactive,2026-02-01
A42,active,2026-03-01
A42,inactive,2026-04-01
A42,active,2026-05-01
A42,inactive,2026-06-01
A42,active,2026-07-01
A43,active,2026-01-01
A43,inactive,2026-02-01
A43,active,2026-03-01
A43,inactive,2026-04-01
A43,inactive,2026-05-01
A43,inactive,2026-06-01
A43,active,2026-07-01
A43,inactive,2026-08-01
A43,inactive,2026-09-01
A43,inactive,2026-10-01
A44,active,2026-01-01
A44,active,2026-02-01
A44,active,2026-03-01
A44,active,2026-04-01
A44,active,2026-05-01
A44,active,2026-06-01
A44,active,2026-07-01
A44,active,2026-08-01
A44,active,2026-09-01
A44,active,2026-10-01
A44,inactive,2026-11-01
A45,active,2026-01-01
A45,active,2026-02-01
A45,active,2026-03-01
A45,active,2026-04-01
A45,active,2026-05-01
A45,active,2026-06-01
A45,active,2026-07-01
A45,inactive,2026-08-01
A45,inactive,2026-09-01
A46,inactive,2026-01-01
A46,inactive,2026-02-01
A46,active,2026-03-01
A46,inactive,2026-04-01
A46,inactive,2026-05-01
A47,active,2026-01-01
A47,active,2026-02-01
A47,active,2026-03-01
A47,active,2026-04-01
A47,active,2026-05-01
A47,active,2026-06-01
A47,inactive,2026-07-01
A47,active,2026-08-01
A47,inactive,2026-09-01
A48,active,2026-01-01
A48,active,2026-02-01
A48,active,2026-03-01
A48,active,2026-04-01
A48,active,2026-05-01
A48,active,2026-06-01
A48,active,2026-07-01
A48,active,2026-08-01
A48,active,2026-09-01
A48,inactive,2026-10-01
A48,active,2026-11-01
A48,inactive,2026-12-01
A49,active,2026-01-01
A49,active,2026-02-01
A49,active,2026-03-01
A49,active,2026-04-01
A49,active,2026-05-01
A49,active,2026-06-01
A49,inactive,2026-07-01
A49,inactive,2026-08-01
A49,active,2026-09-01
A50,active,2026-01-01
A50,active,2026-02-01
A50,active,2026-03-01
A50,active,2026-04-01
A50,active,2026-05-01
A50,active,2026-06-01
A50,active,2026-07-01
A51,active,2026-01-01
A51,active,2026-02-01
A51,active,2026-03-01
A51,active,2026-04-01
A51,active,2026-05-01
A51,active,2026-06-01
A51,active,2026-07-01
A51,active,2026-08-01
A51,inactive,2026-09-01
A52,active,2026-01-01
A52,active,2026-02-01
A52,active,2026-03-01
A52,inactive,2026-04-01
A52,inactive,2026-05-01
A52,inactive,2026-06-01
A52,active,2026-07-01
A52,inactive,2026-08-01
A53,active,2026-01-01
A53,active,2026-02-01
A53,active,2026-03-01
A53,active,2026-04-01
A53,active,2026-05-01
A53,active,2026-06-01
A53,active,2026-07-01
A53,active,2026-08-01
A53,inactive,2026-09-01
A53,active,2026-10-01
A53,active,2026-11-01
A54,active,2026-01-01
A54,active,2026-02-01
A54,active,2026-03-01
A54,active,2026-04-01
A54,active,2026-05-01
A54,inactive,2026-06-01
A54,active,2026-07-01
A54,inactive,2026-08-01
A54,default,2026-09-01
A54,default,2026-10-01
A54,default,2026-11-01
A54,default,2026-12-01
A55,active,2026-01-01
A55,active,2026-02-01
A55,active,2026-03-01
A55,inactive,2026-04-01
A55,default,2026-05-01
A55,default,2026-06-01
A56,active,2026-01-01
A56,active,2026-02-01
A56,active,2026-03-01
A56,active,2026-04-01
A56,inactive,2026-05-01
A57,active,2026-01-01
A57,active,2026-02-01
A57,active,2026-03-01
A57,inactive,2026-04-01
A57,inactive,2026-05-01
A57,default,2026-06-01
A57,default,2026-07-01
A58,active,2026-01-01
A58,active,2026-02-01
A58,active,2026-03-01
A58,inactive,2026-04-01
A58,inactive,2026-05-01
A58,active,2026-06-01
A58,inactive,2026-07-01
A58,active,2026-08-01
A58,active,2026-09-01
A58,inactive,2026-10-01
A58,inactive,2026-11-01
A58,inactive,2026-12-01
A59,active,2026-01-01
A59,active,2026-02-01
A59,active,2026-03-01
A59,active,2026-04-01
A59,active,2026-05-01
A59,active,2026-06-01
A59,active,2026-07-01
A59,active,2026-08-01
A59,inactive,2026-09-01
A59,inactive,2026-10-01
A60,active,2026-01-01
A60,inactive,2026-02-01
A60,inactive,2026-03-01
A60,inactive,2026-04-01
A60,default,2026-05-01
A60,default,2026-06-01
A61,active,2026-01-01
A61,active,2026-02-01
A61,active,2026-03-01
A61,inactive,2026-04-01
A61,active,2026-05-01
A61,active,2026-06-01
A61,active,2026-07-01
A61,inactive,2026-08-01
A61,inactive,2026-09-01
A62,active,2026-01-01
A62,active,2026-02-01
A62,inactive,2026-03-01
A62,inactive,2026-04-01
A62,inactive,2026-05-01
A62,inactive,2026-06-01
A62,inactive,2026-07-01
A62,active,2026-08-01
A62,inactive,2026-09-01
A62,active,2026-10-01
A62,inactive,2026-11-01
A62,inactive,2026-12-01
A63,active,2026-01-01
A63,active,2026-02-01
A63,active,2026-03-01
A63,active,2026-04-01
A63,active,2026-05-01
A63,inactive,2026-06-01
A64,active,2026-01-01
A64,active,2026-02-01
A64,active,2026-03-01
A64,active,2026-04-01
A64,active,2026-05-01
A64,active,2026-06-01
A64,active,2026-07-01
A64,active,2026-08-01
A64,active,2026-09-01
A64,active,2026-10-01
A64,inactive,2026-11-01
A65,active,2026-01-01
A65,active,2026-02-01
A65,active,2026-03-01
A65,active,2026-04-01
A65,active,2026-05-01
A65,active,2026-06-01
A65,inactive,2026-07-01
A65,inactive,2026-08-01
A65,active,2026-09-01
A65,inactive,2026-10-01
A65,inactive,2026-11-01
A65,active,2026-12-01
A66,active,2026-01-01
A66,active,2026-02-01
A66,inactive,2026-03-01
A66,active,2026-04-01
A66,active,2026-05-01
A66,inactive,2026-06-01
A66,active,2026-07-01
A66,inactive,2026-08-01
A66,inactive,2026-09-01
A66,inactive,2026-10-01
A66,active,2026-11-01
A67,active,2026-01-01
A67,active,2026-02-01
A67,active,2026-03-01
A67,active,2026-04-01
A67,active,2026-05-01
A67,active,2026-06-01
A67,active,2026-07-01
A67,active,2026-08-01
A67,active,2026-09-01
A67,active,2026-10-01
A67,active,2026-11-01
A67,active,2026-12-01
A68,active,2026-01-01
A68,active,2026-02-01
A68,active,2026-03-01
A68,active,2026-04-01
A68,active,2026-05-01
A69,active,2026-01-01
A69,active,2026-02-01
A69,active,2026-03-01
A69,inactive,2026-04-01
A69,inactive,2026-05-01
A69,active,2026-06-01
A69,inactive,2026-07-01
A69,inactive,2026-08-01
A69,active,2026-09-01
A70,active,2026-01-01
A70,active,2026-02-01
A70,active,2026-03-01
A70,active,2026-04-01
A70,active,2026-05-01
A70,active,2026-06-01
A70,inactive,2026-07-01
A71,active,2026-01-01
A71,active,2026-02-01
A71,inactive,2026-03-01
A71,active,2026-04-01
A71,inactive,2026-05-01
A71,active,2026-06-01
A71,inactive,2026-07-01
A71,active,2026-08-01
A72,active,2026-01-01
A72,active,2026-02-01
A72,active,2026-03-01
A72,active,2026-04-01
A72,inactive,2026-05-01
A73,active,2026-01-01
A73,active,2026-02-01
A73,active,2026-03-01
A73,active,2026-04-01
A73,active,2026-05-01
A73,active,2026-06-01
A73,active,2026-07-01
A73,active,2026-08-01
A73,active,2026-09-01
A73,active,2026-10-01
A73,inactive,2026-11-01
A73,active,2026-12-01
A74,active,2026-01-01
A74,active,2026-02-01
A74,inactive,2026-03-01
A74,active,2026-04-01
A74,inactive,2026-05-01
A74,inactive,2026-06-01
A74,inactive,2026-07-01
A74,active,2026-08-01
A74,inactive,2026-09-01
A74,active,2026-10-01
A74,inactive,2026-11-01
A74,default,2026-12-01
A75,active,2026-01-01
A75,active,2026-02-01
A75,active,2026-03-01
A75,active,2026-04-01
A75,active,2026-05-01
A75,inactive,2026-06-01
A75,inactive,2026-07-01
A75,active,2026-08-01
A75,inactive,2026-09-01
A75,default,2026-10-01
A75,default,2026-11-01
A75,default,2026-12-01
A76,active,2026-01-01
A76,active,2026-02-01
A76,active,2026-03-01
A76,inactive,2026-04-01
A76,active,2026-05-01
A76,active,2026-06-01
A76,inactive,2026-07-01
A76,active,2026-08-01
A76,inactive,2026-09-01
A76,inactive,2026-10-01
A77,active,2026-01-01
A77,active,2026-02-01
A77,active,2026-03-01
A77,active,2026-04-01
A77,active,2026-05-01
A77,active,2026-06-01
A77,active,2026-07-01
A77,active,2026-08-01
A77,inactive,2026-09-01
A77,default,2026-10-01
A77,default,2026-11-01
A78,active,2026-01-01
A78,active,2026-02-01
A78,active,2026-03-01
A78,active,2026-04-01
A78,active,2026-05-01
A78,active,2026-06-01
A78,inactive,2026-07-01
A78,active,2026-08-01
A78,inactive,2026-09-01
A79,active,2026-01-01
A79,active,2026-02-01
A79,active,2026-03-01
A79,active,2026-04-01
A79,active,2026-05-01
A79,active,2026-06-01
A79,active,2026-07-01
A79,active,2026-08-01
A79,active,2026-09-01
A79,inactive,2026-10-01
A79,inactive,2026-11-01
A79,inactive,2026-12-01
A80,active,2026-01-01
A80,active,2026-02-01
A80,inactive,2026-03-01
A80,inactive,2026-04-01
A80,active,2026-05-01
A81,active,2026-01-01
A81,active,2026-02-01
A81,active,2026-03-01
A81,active,2026-04-01
A81,active,2026-05-01
A81,active,2026-06-01
A81,active,2026-07-01
A81,active,2026-08-01
A81,active,2026-09-01
A81,inactive,2026-10-01
A81,inactive,2026-11-01
A81,inactive,2026-12-01
A82,active,2026-01-01
A82,inactive,2026-02-01
A82,active,2026-03-01
A82,inactive,2026-04-01
A82,active,2026-05-01
A82,inactive,2026-06-01
A82,active,2026-07-01
A82,inactive,2026-08-01
A82,inactive,2026-09-01
A82,active,2026-10-01
A82,active,2026-11-01
A82,inactive,2026-12-01
A83,active,2026-01-01
A83,active,2026-02-01
A83,inactive,2026-03-01
A83,active,2026-04-01
A83,active,2026-05-01
A83,inactive,2026-06-01
A83,inactive,2026-07-01
A83,active,2026-08-01
A84,active,2026-01-01
A84,active,2026-02-01
A84,active,2026-03-01
A84,active,2026-04-01
A84,inactive,2026-05-01
A84,inactive,2026-06-01
A84,active,2026-07-01
A84,active,2026-08-01
A84,inactive,2026-09-01
A84,default,2026-10-01
A84,default,2026-11-01
A84,default,2026-12-01
A85,active,2026-01-01
A85,active,2026-02-01
A85,active,2026-03-01
A85,active,2026-04-01
A85,active,2026-05-01
A85,inactive,2026-06-01
A85,inactive,2026-07-01
A86,active,2026-01-01
A86,active,2026-02-01
A86,active,2026-03-01
A86,active,2026-04-01
A86,active,2026-05-01
A86,inactive,2026-06-01
A86,active,2026-07-01
A86,inactive,2026-08-01
A86,inactive,2026-09-01
A86,inactive,2026-10-01
A86,inactive,2026-11-01
A86,active,2026-12-01
A87,active,2026-01-01
A87,active,2026-02-01
A87,active,2026-03-01
A87,active,2026-04-01
A87,active,2026-05-01
A87,active,2026-06-01
A87,active,2026-07-01
A87,active,2026-08-01
A87,active,2026-09-01
A87,active,2026-10-01
A87,inactive,2026-11-01
A87,inactive,2026-12-01
A88,active,2026-01-01
A88,active,2026-02-01
A88,active,2026-03-01
A88,inactive,2026-04-01
A88,active,2026-05-01
A88,inactive,2026-06-01
A88,inactive,2026-07-01
A88,inactive,2026-08-01
A88,active,2026-09-01
A88,inactive,2026-10-01
A89,active,2026-01-01
A89,active,2026-02-01
A89,active,2026-03-01
A89,inactive,2026-04-01
A89,active,2026-05-01
A89,inactive,2026-06-01
A89,inactive,2026-07-01
A89,inactive,2026-08-01
A89,inactive,2026-09-01
A89,inactive,2026-10-01
A89,inactive,2026-11-01
A90,active,2026-01-01
A90,active,2026-02-01
A90,inactive,2026-03-01
A90,active,2026-04-01
A90,inactive,2026-05-01
A90,active,2026-06-01
A91,active,2026-01-01
A91,active,2026-02-01
A91,active,2026-03-01
A91,active,2026-04-01
A91,inactive,2026-05-01
A91,inactive,2026-06-01
A91,inactive,2026-07-01
A91,inactive,2026-08-01
A91,inactive,2026-09-01
A91,default,2026-10-01
A91,default,2026-11-01
A91,default,2026-12-01
A92,active,2026-01-01
A92,active,2026-02-01
A92,active,2026-03-01
A92,active,2026-04-01
A92,active,2026-05-01
A92,active,2026-06-01
A92,active,2026-07-01
A92,active,2026-08-01
A92,active,2026-09-01
A92,inactive,2026-10-01
A92,inactive,2026-11-01
A92,inactive,2026-12-01
A93,active,2026-01-01
A93,active,2026-02-01
A93,active,2026-03-01
A93,active,2026-04-01
A93,inactive,2026-05-01
A94,active,2026-01-01
A94,active,2026-02-01
A94,active,2026-03-01
A94,inactive,2026-04-01
A94,active,2026-05-01
A95,active,2026-01-01
A95,active,2026-02-01
A95,active,2026-03-01
A95,active,2026-04-01
A95,active,2026-05-01
A95,active,2026-06-01
A96,active,2026-01-01
A96,active,2026-02-01
A96,active,2026-03-01
A96,active,2026-04-01
A96,active,2026-05-01
A96,active,2026-06-01
A96,active,2026-07-01
A96,active,2026-08-01
A96,active,2026-09-01
A96,active,2026-10-01
A96,inactive,2026-11-01
A97,active,2026-01-01
A97,active,2026-02-01
A97,active,2026-03-01
A97,active,2026-04-01
A97,active,2026-05-01
A97,active,2026-06-01
A97,active,2026-07-01
A97,active,2026-08-01
A97,active,2026-09-01
A98,active,2026-01-01
A98,active,2026-02-01
A98,active,2026-03-01
A98,active,2026-04-01
A98,active,2026-05-01
A98,active,2026-06-01
A98,active,2026-07-01
A98,active,2026-08-01
A98,inactive,2026-09-01
A98,active,2026-10-01
A99,active,2026-01-01
A99,active,2026-02-01
A99,inactive,2026-03-01
A99,inactive,2026-04-01
A99,inactive,2026-05-01
A99,default,2026-06-01
A99,default,2026-07-01
A99,default,2026-08-01
A99,default,2026-09-01
A99,default,2026-10-01
A99,default,2026-11-01
B1,active,2026-01-01
B1,active,2026-02-01
B1,active,2026-03-01
B1,active,2026-04-01
B1,active,2026-05-01
B1,active,2026-06-01
B1,active,2026-07-01
B1,active,2026-08-01
B1,active,2026-09-01
B1,active,2026-10-01
B1,active,2026-11-01
B2,active,2026-01-01
B2,active,2026-02-01
B2,active,2026-03-01
B2,active,2026-04-01
B2,active,2026-05-01
B2,active,2026-06-01
B2,active,2026-07-01
B2,active,2026-08-01
B3,active,2026-01-01
B3,inactive,2026-02-01
B3,inactive,2026-03-01
B3,inactive,2026-04-01
B3,active,2026-05-01
B4,active,2026-01-01
B4,active,2026-02-01
B4,active,2026-03-01
B4,active,2026-04-01
B4,active,2026-05-01
B4,active,2026-06-01
B4,active,2026-07-01
B4,active,2026-08-01
B4,active,2026-09-01
B4,inactive,2026-10-01
B4,active,2026-11-01
B4,inactive,2026-12-01
B5,active,2026-01-01
B5,active,2026-02-01
B5,active,2026-03-01
B5,active,2026-04-01
B5,active,2026-05-01
B6,active,2026-01-01
B6,active,2026-02-01
B6,active,2026-03-01
B6,active,2026-04-01
B6,active,2026-05-01
B6,inactive,2026-06-01
B6,inactive,2026-07-01
B6,inactive,2026-08-01
B6,inactive,2026-09-01
B6,active,2026-10-01
B7,active,2026-01-01
B7,active,2026-02-01
B7,active,2026-03-01
B7,active,2026-04-01
B7,active,2026-05-01
B7,active,2026-06-01
B7,active,2026-07-01
B7,active,2026-08-01
B7,active,2026-09-01
B7,active,2026-10-01
B7,active,2026-11-01
B7,inactive,2026-12-01
B8,active,2026-01-01
B8,active,2026-02-01
B8,active,2026-03-01
B8,inactive,2026-04-01
B8,inactive,2026-05-01
B8,active,2026-06-01
B8,inactive,2026-07-01
B8,inactive,2026-08-01
B8,inactive,2026-09-01
B8,inactive,2026-10-01
B8,active,2026-11-01
B9,active,2026-01-01
B9,active,2026-02-01
B9,active,2026-03-01
B9,active,2026-04-01
B9,active,2026-05-01
B9,active,2026-06-01
B9,active,2026-07-01
B9,active,2026-08-01
B9,active,2026-09-01
B9,inactive,2026-10-01
B9,active,2026-11-01
B9,active,2026-12-01
B10,active,2026-01-01
B10,active,2026-02-01
B10,inactive,2026-03-01
B10,active,2026-04-01
B10,inactive,2026-05-01
B10,inactive,2026-06-01
B10,inactive,2026-07-01
B10,inactive,2026-08-01
B10,inactive,2026-09-01
B10,active,2026-10-01
B11,active,2026-01-01
B11,active,2026-02-01
B11,active,2026-03-01
B11,active,2026-04-01
B11,active,2026-05-01
B11,active,2026-06-01
B11,inactive,2026-07-01
B11,active,2026-08-01
B12,active,2026-01-01
B12,inactive,2026-02-01
B12,active,2026-03-01
B12,active,2026-04-01
B12,inactive,2026-05-01
B12,inactive,2026-06-01
B12,inactive,2026-07-01
B12,inactive,2026-08-01
B12,inactive,2026-09-01
B12,default,2026-10-01
B12,default,2026-11-01
B12,default,2026-12-01
B13,active,2026-01-01
B13,active,2026-02-01
B13,active,2026-03-01
B13,active,2026-04-01
B13,active,2026-05-01
B13,active,2026-06-01
B13,active,2026-07-01
B13,active,2026-08-01
B13,active,2026-09-01
B13,active,2026-10-01
B13,active,2026-11-01
B13,inactive,2026-12-01
B14,inactive,2026-01-01
B14,active,2026-02-01
B14,inactive,2026-03-01
B14,active,2026-04-01
B14,inactive,2026-05-01
B14,inactive,2026-06-01
B14,active,2026-07-01
B14,active,2026-08-01
B14,inactive,2026-09-01
B15,active,2026-01-01
B15,active,2026-02-01
B15,inactive,2026-03-01
B15,active,2026-04-01
B15,inactive,2026-05-01
B15,inactive,2026-06-01
B15,inactive,2026-07-01
B15,active,2026-08-01
B15,inactive,2026-09-01
B15,inactive,2026-10-01
B15,inactive,2026-11-01
B16,active,2026-01-01
B16,active,2026-02-01
B16,active,2026-03-01
B16,active,2026-04-01
B16,active,2026-05-01
B16,inactive,2026-06-01
B16,inactive,2026-07-01
B16,inactive,2026-08-01
B16,active,2026-09-01
B17,active,2026-01-01
B17,active,2026-02-01
B17,active,2026-03-01
B17,active,2026-04-01
B17,active,2026-05-01
B17,inactive,2026-06-01
B18,active,2026-01-01
B18,active,2026-02-01
B18,active,2026-03-01
B18,active,2026-04-01
B18,active,2026-05-01
B18,active,2026-06-01
B18,active,2026-07-01
B18,inactive,2026-08-01
B18,active,2026-09-01
B18,inactive,2026-10-01
B18,active,2026-11-01
B18,inactive,2026-12-01
B19,active,2026-01-01
B19,active,2026-02-01
B19,active,2026-03-01
B19,active,2026-04-01
B19,active,2026-05-01
B19,active,2026-06-01
B19,active,2026-07-01
B19,active,2026-08-01
B19,active,2026-09-01
B19,active,2026-10-01
B19,inactive,2026-11-01
B20,active,2026-01-01
B20,active,2026-02-01
B20,active,2026-03-01
B20,active,2026-04-01
B20,active,2026-05-01
B20,active,2026-06-01
