Código,País,Enero - Diciembre 1980,,Enero - Diciembre 1981,,Enero - Diciembre 1982,,Enero - Diciembre 1983,,Enero - Diciembre 1984,,Enero - Diciembre 1985,,Enero - Diciembre 1986,,Enero - Diciembre 1987,,Enero - Diciembre 1988,,Enero - Diciembre 1989,,Enero - Diciembre 1990,,Enero - Diciembre 1991,,Enero - Diciembre 1992,,Enero - Diciembre 1993,,Enero - Diciembre 1994,,Enero - Diciembre 1995,,Enero - Diciembre 1996,,Enero - Diciembre 1997,,Enero - Diciembre 1998,,Enero - Diciembre 1999,,Enero - Diciembre 2000,,,,,Enero - Diciembre 2001,,,,,Enero - Diciembre 2002,,,,,Enero - Diciembre 2003,,,,,Enero - Diciembre 2004,,,,,Enero - Diciembre 2005,,,,,Enero - Diciembre 2006,,,,,Enero - Diciembre 2007,,,,,Enero - Diciembre 2008,,,,,Enero - Diciembre 2009,,,,,Enero - Diciembre 2010,,,,,Enero - Diciembre 2011,,,,,Enero - Diciembre 2012,,,,,Enero - Diciembre 2013,,,,,Enero - Diciembre 2014,,,,,Enero - Diciembre 2015,,,,,Enero - Diciembre 2016,,,,,Enero - Diciembre 2017,,,,,Enero - Diciembre 2018,,,,,Enero-diciembre2019,,,,,Enero-diciembre2020,,,,,Enero-diciembre2021,,,,Enero - diciembre 2022,,,,Enero - diciembre 2023,,,,Enero - mayo 2024,,,
26,Armenia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"4,584",,"52,859",,"97,070",,"89,012",,634,,"18,613",,"17,744",,"24,885","54,110,821","22,014","14,886",,"51,230","118,264,496","48,479","9,576",,"5,559","13,227,197","4,692",461,,0,"38,703,573","11,842","3,135",,"23,225","62,036,435","22,461","4,009",,"28,785","66,532,464","23,942","3,775",,"104,865","239,456,569","98,905","23,805",,"275,463","551,299,586","265,841","45,282",,"24,706","48,563,911","24,165",140,,"228,871","444,952,432","218,538","72,593",,"2,197,179","4,166,436,868","2,125,969","640,726",,"1,367,392","2,538,342,253","1,320,167","350,398",,"1,379,300","2,473,084,870","1,334,934","393,351",,"72,595","129,163,497","69,767","19,411",,"24,956","50,482,893","21,763",227,,"20,855","52,917,413","18,274","2,094",,"29,092","95,501,328","28,350",120,,"36,976","109,450,145","34,930",911,,"116,170","334,709,715","107,975","17,230",,"57,238","188,468,616","49,108","9,528",,"27,988","100,904,304","26,987",679,,"65,471","242,463,366","62,854","2,149","432,143","1,799,988,084","418,912","8,694","35,144","153,338,408","33,557",803,"42,024","164,021,978","41,603",93
27,Aruba,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"6,207",,"17,153",,"57,222,103",,"10,590,585",,"7,224,723",,"5,486,376",,"6,112,370",,"9,395,363",,"1,415,194",,"1,814,858",,"14,712,861","31,264,712,336","13,753,268","89,843,615",,"19,750,511","46,376,626,256","17,383,319","137,090,929",,"1,364,592","3,191,653,665","955,230","46,897,088",,"4,997,910","11,353,401,514","3,351,833","47,979,745",,"2,038,473","5,361,343,051","1,673,388","25,272,963",,"17,222,510","40,528,436,674","16,028,459","62,299,716",,"71,598,373","168,317,248,862","68,556,201","161,062,220",,"106,865,502","223,968,549,237","103,050,767","209,101,625",,"184,099,727","329,443,693,494","180,041,101","193,839,286",,"14,490,307","31,810,744,794","13,806,931","35,502,670",,"35,302,782","68,753,655,106","34,745,922","49,564,255",,"182,478,690","336,774,889,769","180,213,925","189,092,218",,"98,928,476","177,156,353,827","97,527,249","99,022,954",,"87,307,278","167,266,834,190","85,659,845","84,231,962",,"1,619,477","3,151,590,117","1,581,270","921,462",,"21,228,007","54,242,561,788","19,686,403","40,256,529",,"17,789,054","52,924,889,111","17,001,607","36,971,075",,"3,032,905","8,911,777,130","3,027,610","1,114,169",,"21,356","62,059,377","18,205","6,042",,"189,528","643,924,150","179,013","45,266",,"23,155","80,993,298","15,278","66,024",,"82,238","307,010,330","64,197","66,715","15,961","64,942,996","10,956","5,219","6,673","26,537,597","2,470",923,"28,869","112,851,988","19,611","11,435"
29,Bosnia y Herzegovina,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"164,895",,"560,943",,"55,610",,"114,015",,"119,088",,"159,788",,"64,956","130,391,988","61,211","35,288",,"531,856","1,211,241,535","512,653","66,815",,"126,445","304,090,835","115,911","17,601",,544,"337,637,528","107,126","17,002",,"564,593","1,427,039,168","460,478","41,041",,"527,718","1,232,266,498","470,806","62,449",,"92,621","222,800,532","83,665","6,380",,"36,990","76,418,286","33,907","19,397",,"100,806","184,090,987","91,543","8,020",,"8,572,638","19,893,628,885","8,562,991","1,276,310",,"240,897","448,594,349","233,722","10,280",,"692,390","1,283,452,182","663,720","27,324",,"977,355","1,764,473,113","916,767","599,342",,"881,511","1,640,354,305","830,155","21,294",,"845,169","1,670,164,632","824,799","13,731",,"1,213,271","3,159,695,437","1,183,400","45,726",,"1,037,550","3,175,037,145","1,002,094","23,405",,"615,076","1,812,893,863","576,905","73,811",,"1,829,502","5,385,739,944","1,705,593","920,216",,"1,955,153","6,432,960,927","1,804,360","984,941",,"1,716,376","6,268,964,189","1,580,897","526,147",,"2,422,013","9,097,970,242","2,095,859","288,684","2,139,558","8,955,459,568","1,840,199","762,876","5,568,909","24,032,879,161","4,122,193","199,260","546,764","2,124,600,546","521,293","21,249"
31,Burkina Faso,"5,151",,0,,0,,0,,0,,0,,0,,0,,"20,800",,0,,0,,"16,162",,0,,"224,514",,"45,480",,"52,802",,0,,"14,832,436",,"28,828,263",,"13,089,762",,"15,350,316","32,328,796,451","13,969,566","12,079,434",,"15,335,203","35,145,129,442","13,842,188","11,633,731",,"18,636,883","48,599,549,642","16,337,669","18,956,193",,"14,420,915","41,992,704,762","13,487,844","11,630,288",,"3,747,510","10,053,212,409","3,535,499","2,216,755",,"4,416","10,264,430","3,711","12,369",,"194,673","483,505,192","179,612","141,166",,0,0,0,0,,0,0,0,0,,326,"683,727",315,6,,"7,821","15,406,262","7,294",22,,0,0,0,0,,"842,838","1,531,412,088","803,095","503,634",,"1,583,423","3,023,617,636","1,515,685","803,630",,"1,840,218","3,449,167,383","1,758,146","934,706",,"3,045,454","9,004,017,793","2,875,377","2,133,900",,48,"142,971",47,2,,460.86,1334526,417.6,2.9,,"4,709","14,740,436","3,226",394,,"13,136","42,576,565","11,431","1,905",,0,0,0,0,,0,0,0,0,"10,225","44,187,214","8,665",808,"2,027","9,359,977","1,912",299,0,0,0,0
37,Andorra,0,,0,,"70,402",,"37,321",,"99,188",,"14,865",,"1,697",,"69,971",,"3,011",,0,,"12,081",,0,,0,,"109,116",,"63,044",,0,,"17,238",,"1,191",,"17,033",,"235,570",,"7,491","14,624,604","7,113",196,,"16,749","39,835,989","16,400","2,367",,"2,410","5,476,381","2,347",58,,0,0,0,0,,"17,901","46,581,033","16,552","3,654",,"1,522","3,599,936","1,465",8,,"55,736","129,442,457","52,692","22,000",,"89,507","192,059,324","85,078","1,889",,"231,404","446,774,508","226,359","10,493",,0,0,0,0,,"13,680","26,383,466","13,538",291,,"185,935","333,862,475","183,240","3,262",,"12,678","22,448,740","10,500",431,,"205,373","383,226,614","197,481","12,384",,"158,826","306,907,184","152,539",566,,"520,776","1,456,943,016","500,408","4,554",,"551,695","1,680,093,141","528,130","4,346",,"754,887","2,238,345,099","725,103","4,894",,"608,840","1,835,282,916","588,226","2,589",,"480,226","1,580,289,736","457,585","57,624",,"172,344","644,749,201","167,186",568,,"69,390","259,602,678","64,573",555,"323,916","1,267,608,534","317,183","1,057","19,141","78,754,156","18,840",333,0,0,0,0
40,Angola,0,,"6,898",,0,,0,,0,,0,,0,,0,,0,,0,,"17,026",,0,,"32,023",,0,,0,,0,,"2,832,039",,0,,"1,002",,0,,0,0,0,0,,"5,345","12,560,483","5,269",30,,"12,669","28,771,072","11,147","2,193",,"22,470","65,482,336","22,548","1,460",,"53,973","137,595,391","34,680","1,779",,110,"255,204",97,2,,"33,528,085","80,398,734,507","32,930,085","66,087,558",,"12,010","23,506,053","11,692",62,,"24,426","53,125,759","5,700","2,898",,"165,684","382,870,230","151,402","14,741",,"37,043","69,704,484","30,666","8,328",,"57,621","104,929,086","54,138","5,168",,"65,777","116,370,236","60,164","1,551",,63,"117,963",60,2,,"366,712","830,785,591","340,591","53,703",,"187,968","483,815,916","148,492","20,339",,"40,027","120,775,121","24,700","12,079",,"63,700","183,663,430","54,033",959,,"24,820","75,121,997","8,433","1,842",,"5,818","19,988,961","1,500","2,646",,938,"3,526,372",879,106,,"419,665","1,534,361,945","406,000","35,481",0,0,0,0,"2,884","12,233,966","2,762",101,120,"465,519",117,1
41,Anguila,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"206,836",,"1,745",,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,"13,262","30,134,845","12,400","20,000",,0,"5,140,974","1,708",167,,"9,187","24,309,843","9,001",731,,"3,053","7,060,693","2,119","5,433",,"10,223","24,461,319","9,918",615,,"46,101","97,652,387","45,193","3,401",,"75,594","135,436,030","74,501","2,846",,"76,387","174,855,849","74,719","4,539",,"110,932","212,991,623","108,181","6,609",,0,0,0,0,,"13,986","25,765,419","12,534",163,,0,0,0,0,,43,"83,844",41,0,,"1,314","3,213,093",830,258,,0,0,0,0,,92.55,275149,91.09,5.46,,"12,633","38,244,746","11,847",85,,"20,537","67,424,041","17,515",322,,0,0,0,0,,"4,156","15,972,859","3,702",144,0,0,0,0,"224,231","914,287,226","222,800",4,0,0,0,0
43,Antigua y Barbuda,"90,297",,"72,045",,0,,0,,0,,0,,0,,0,,0,,0,,"84,597",,"6,777,271",,"13,642,121",,"6,520,069",,"11,423,766",,"11,161,052",,"145,977",,"39,564",,"377,366",,"66,298",,"126,431","272,802,840","121,690","22,807",,"49,187","114,207,380","46,926","6,588",,"328,570","775,334,807","309,502","153,269",,"189,076",0,0,0,,"4,838","13,265,220","4,461",162,,"681,735","1,567,669,864","618,614","1,358,706",,"21,365","49,263,633","19,018",806,,"234,718","488,651,736","210,861","127,808",,"3,311,937","6,614,108,882","3,288,528","5,384,128",,"59,999","120,266,528","56,279","100,818",,"124,831","241,901,418","117,739","48,490",,"7,952","14,687,555","7,292",395,,"51,021","92,066,757","47,741","10,570",,"218,476","401,868,453","195,377","246,437",,"137,336","266,593,347","133,173",569,,"8,250","19,896,248","7,963",205,,"1,019","3,273,306",883,22,,"75,939","228,318,044","75,029","2,017",,105,"316,776",103,2,,"3,094","10,452,287","2,027",202,,"7,695","27,102,281","6,907",271,,"580,628","2,319,699,319","570,279","10,160","6,512,478","25,972,608,927","6,393,215","115,851","2,362","10,017,819","2,285",74,0,0,0,0
47,Antillas Holandesas,"166,775,186",,"133,523,396",,"131,030,881",,"153,021,558",,"88,549,102",,"28,151,266",,"18,320,288",,"11,813,462",,"6,484,715",,"17,960,020",,"94,680,696",,"96,909,237",,"64,258,095",,"4,975,471",,"9,497,946",,"15,809,582",,"3,595,677",,"4,925,066",,"4,897,118",,"1,764,539",,"1,618,585","3,297,516,647","1,324,369","22,684,266",,"2,963,074","6,748,808,426","2,498,389","33,452,763",,"3,583,020","9,091,758,817","3,173,056","22,555,978",,"18,652,480","7,345,899,911","2,197,870","22,313,185",,"7,742,598","20,296,242,426","6,879,851","36,070,180",,"2,766,778","6,406,321,832","2,102,695","24,330,883",,"7,428,150","17,411,724,464","6,284,508","32,242,603",,"11,539,350","23,838,703,801","10,096,967","39,662,090",,"21,719,582","41,447,419,765","19,394,285","61,778,305",,"6,708,372","14,812,941,393","5,567,442","38,541,192",,"2,894,871","5,539,513,770","2,131,529","27,643,330",,"27,397,002","51,129,222,718","26,521,405","45,778,980",,"44,769,793","79,589,260,263","44,081,705","49,892,725",,"13,714,866","25,579,804,045","13,408,929","12,480,585",,"4,325,930","8,516,193,395","3,907,872","10,211,054",,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Arabia Saudita,"3,727",,"202,898",,0,,0,,0,,0,,"218,338",,"10,873,358",,"12,832,984",,"404,373",,"377,913",,0,,793,,"7,163,551",,"9,378,915",,"1,076,010",,"129,238",,"270,422",,"141,093",,"51,037",,"1,109,223","2,412,666,453","1,019,255","1,200,782",,"616,613","1,401,014,799","575,709","1,043,769",,"1,054,591","2,574,163,800","633,992","13,135,375",,"3,351,689","9,650,984,930","1,762,316","19,109,086",,"1,302,284","3,336,155,310","1,160,016","1,162,767",,"4,791,308","11,099,380,494","4,220,054","4,028,906",,"3,149,520","7,457,048,697","2,779,085","2,366,970",,"1,986,710","4,153,443,862","1,751,992","851,190",,"7,723,889","15,894,068,839","6,802,731","4,832,927",,"9,322,738","20,520,169,497","7,751,692","6,690,537",,"19,827,398","37,437,202,081","17,977,692","14,328,258",,"39,511,656","72,651,036,723","36,310,869","23,666,506",,"56,256,393","101,287,296,332","51,236,757","31,176,835",,"62,215,923","116,316,748,149","57,191,564","36,454,901",,"63,298,057","126,265,867,855","58,771,233","30,873,737",,"53,691,445","141,122,972,158","49,133,499","38,897,929",,"35,149,405","108,368,418,755","32,648,166","28,213,808",,"36,853,816","108,870,023,924","34,335,958","28,676,038",,"44,454,573","130,507,260,292","41,851,343","33,721,861",,"32,991,905","107,914,124,397","30,469,923","30,227,450",,"20,180,696","74,279,936,780","18,482,651","19,333,395",,"110,377,073","414,714,674,458","98,267,572","65,268,152","64,131,619","269,386,319,710","54,230,891","40,108,377","51,765,251","228,293,607,729","42,250,511","214,167,628","19,206,895","74,657,955,254","16,817,916","61,705,383"
