V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;VENTASNOP;GASTOS;GASTOSNOP;GASTOPNOP
987688;465;464-465;14;2007;0;2414657;506690,5;0;511;204947;9123;95190;37376;6345;5983;10209;623;27052;1500;4845;0;0;102986,5;517569;234925;3537190,214;1907966,5;15;0;15;0;0;0;15;0;0;8;7;0;0;0;0;0;0;8;7;517569;131980;649549;89026,76;0;0;738575,76;1692316;1672042;1117116;1682179;1117116;1117116;0;1748929;858908;3597143
987689;466;466-469;14;2011;0;729458;616232,5;0;0;110302;0;72000;0;18900;25250;2908;7800;302550;0;58500;0;0;18022,5;0;0;3456935;113225,5;0;5;0;0;0;0;5;1;4;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;6516;556683;2727477;281599,5;2727477;2727477;0;3361732;16646;3378378
987690;4711-472;471-472;11;1998;0;313998;41082;0;5310;5550;0;0;4310;0;4200;4219;1414;0;2100;3254;0;0;10725;111703;42317;6305959;272916;8;1;8;0;0;0;9;1;0;2;6;0;0;0;0;0;0;3;6;111703;24800;136503;15184,6;0;0;151687,6;161854;32002;5991961;96928;5991961;5991961;0;6076052;34137;6276864
987694;466;466-469;14;2007;0;7982946;2360085,5;180;0;38908;199160;47258;78817;9299;6516;21440;2115;642339;1013985;47056;0;0;253012,5;903620;391083;41199277,28;5622860,5;49;0;49;0;0;3;52;0;0;21;28;0;0;0;0;1;2;22;30;873167;230706;1103873;139551,16;0;0;1243424,16;1688306;3116533;33225574;2402419,5;33225574;33225574;0;36001953;400826;37958317
987697;466;466-469;4;1991;0;2576196;439990;0;0;28484;0;84864;31052;3216;19123;14748;7637;112052;7772;82201;0;0;48841;617932;271567;7330226,767;2136206;44;0;0;44;0;1;45;0;0;0;0;15;29;0;0;1;0;16;29;0;146303;0;111377,68;0;612399;723776,68;1057400;1554387;4737532;1305893,5;4737532;4737532;0;5319888;147936;6428765
987698;4711-472;471-472;11;2003;0;435712;66572,5;0;888;7869;0;2193;0;1400;20707;2822;2959;0;59;14629;0;0;13046,5;171737;88337;5986581;369139,5;14;0;14;0;0;0;14;0;0;4;10;0;0;0;0;0;0;4;10;171737;40610;212347;43587,48;0;0;255934,48;334352;458051;5550869;396201,5;5550869;5550869;0;5655698;40003;5974640
987700;4711-472;471-472;14;2008;0;2640020;459403;0;0;79253;0;6000;628;6430;172725;10269;4986;22399;1429;52094;0;0;103190;831151;366866;20724167,26;2180617;40;0;0;40;0;2;42;0;0;0;0;29;11;0;0;2;0;31;11;0;186930;0;153986,72;0;817151;971137,72;634246;794141;18066054;714193,5;18066054;18066054;0;18833327;203035;20264129
987704;464;464-465;14;2012;0;937885;869104,5;0;30031;103526;115661;207638;16650;46956;3876;19557;1189;236999;2212;42656;0;0;42153,5;740923;232926;4469582,669;68780,5;30;0;29;1;0;1;31;0;0;10;19;1;0;0;0;1;0;12;19;602435;124022;703523;95409,68;0;136674;935606,68;2068745;;3534385;1034372,5;3534385;3534385;0;4472751;702577;6186544
987707;4711-472;471-472;11;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
987712;4711-472;471-472;14;1999;0;2523949;360309;307;39146;13500;0;23600;3359;13809;117721;3615;2427;45249;10979;60284;0;0;26313;340254;136102;11003587;2163640;23;0;4;19;0;0;23;0;0;2;2;9;10;0;0;0;0;11;12;79204;71454;95837;57026,4;0;261050;413913,4;205482;471691;8479638;338586,5;8479638;8479638;0;9006251;37898;9535469
987713;4773;476 - 477;14;1989;0;291068;140560,5;8666;24154;37760;0;0;7573;3339;20266;8290;5979;5612;9814;1805;0;0;7302,5;338063;132922;1706359;150507,5;18;0;18;0;0;1;19;0;0;12;6;0;0;0;0;1;0;13;6;329063;64050;393113;61567,36;0;0;454680,36;35875;29939;1415291;32907;1415291;1415291;0;1592273;2559;2091001
987715;4711-472;471-472;11;2004;0;406597;53323;386;18331;17640;0;0;246;0;5800;352;3718;104;0;807;0;0;5939;132093;53742;9188307;353274;9;0;3;6;0;0;9;0;0;3;0;3;3;0;0;0;0;6;3;53143;31083;65630;19652,36;0;78950;164232,36;1305999;1619630;8781710;1462814,5;8781710;8781710;0;8882806;1217;9082153
987718;4711-472;471-472;11;1999;0;1648298;479160,5;0;6548;9600;0;0;0;12651;2159;7865;1625;0;0;218550;0;0;220162,5;395896;131084;13210251;1169137,5;25;0;0;25;0;1;26;0;0;0;0;2;23;0;0;1;0;3;23;0;62275;0;60451;0;382696;443147;328460;325469;11561953;326964,5;11561953;11561953;0;12302536;0;12863262
987720;473;473;3;2002;0;785861;427298;0;300;62207;0;204000;0;69604;26672;5743;4378;20765;0;24239;0;0;9390;318939;134081;7442738;358563;11;0;11;0;0;0;11;0;0;3;8;0;0;0;0;0;0;3;8;318939;74459;393398;52430,48;0;0;445828,48;122515;138595;6656877;130555;6656877;6656877;0;7108606;21387;7597859
987721;4711-472;471-472;11;2006;0;661695;141141,5;0;42957;13365;0;27538;2035;1165;35191;0;575;0;2710;12767;0;0;2838,5;153933;62397;10145794;520553,5;13;0;13;0;0;0;13;0;0;6;7;0;0;0;0;0;0;6;7;153933;36373;190306;22581,12;0;0;212887,12;128255;146285;9484099;137270;9484099;9484099;0;9651719;5677;9891262
987725;462;462-463;14;2010;0;3302190;615451,5;0;0;81139;0;203872;24088;13323;51357;21439;4365;2108;8069;147644;0;0;58047,5;1366032;502643;29104637;2686738,5;100;0;0;100;0;2;102;0;0;0;0;22;78;0;0;2;0;24;78;0;251818;0;221397,56;0;1351050;1572447,56;1083635;2151447;25802447;1617541;25802447;25802447;0;26560762;90927;28675659
987726;4773;476 - 477;11;2012;0;425100;183421,5;0;2446;2497;0;138480;1484;1561;11636;6468;4688;4782;3067;2882;0;0;3430,5;205610;84847;2531948;241678,5;11;1;11;0;0;0;12;1;0;7;4;0;0;0;0;0;0;8;4;205610;51179;256789;28915,84;0;0;285704,84;551167;587118;2106848;569142,5;2106848;2106848;0;2302507;8554;2627283
987727;4773;476 - 477;11;1999;0;771652;124053;0;0;18000;0;50706;18240;1618;5445;4093;2529;0;7001;13264;0;0;3157;153231;65962;2739635;647599;12;0;11;1;0;0;12;0;0;6;5;1;0;0;0;0;0;7;5;139567;42544;176185;20047,92;0;13664;209896,92;98455;207459;1967983;152957;1967983;1967983;0;2130451;4968;2356460
987733;464;464-465;11;2006;0;319809;166212,5;0;0;3528;0;139200;3120;2873;3120;3940;2917;587;0;1532;0;0;5395,5;174945;61320;1293370;153596,5;13;1;13;0;0;1;15;0;1;5;8;0;0;0;0;1;0;6;9;168000;31373;199373;26189,96;0;0;225562,96;1942255;417132;973561;1179693,5;973561;973561;0;1149444;5225;1415667
987735;466;466-469;14;2009;0;87508;40495;0;0;0;0;15126;0;0;6753;1035;1000;0;862;15469;0;0;250;103160;46854;852185;47013;7;2;7;0;0;0;9;2;0;2;5;0;0;0;0;0;0;4;5;103160;26107;129267;18347,96;0;0;147614,96;67800;26132;764677;46966;764677;764677;0;808188;550;969649
987736;473;473;11;1986;0;1117784;477463,5;0;0;5545;0;248728;28366;0;22382;3974;16783;0;18097;72368;0;0;61220,5;305079;133476;12077857;640320,5;14;0;14;0;0;0;14;0;0;3;11;0;0;0;0;0;0;3;11;305079;77258;382337;49308,16;0;0;431645,16;211642;255019;10960073;233330,5;10960073;10960073;0;11545948;5808;11993453
987742;4711-472;471-472;11;2010;0;594805;64964,5;0;0;0;0;0;10906;0;35334;1638;2413;6704;1164;3366;0;0;3439,5;190624;78641;9285451;529840,5;14;0;14;0;0;0;14;0;0;5;9;0;0;0;0;0;0;5;9;190624;43497;234121;30874;0;0;264995;490576;581223;8690646;535899,5;8690646;8690646;0;8792697;9511;9095046
987749;466;466-469;14;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
987755;465;464-465;14;2010;0;349422;134649;0;54;53610;0;45775;1266;541;4485;5098;2834;1022;2661;6570;0;0;10733;192739;75753;1656872;214773;13;1;4;9;0;0;14;1;0;2;2;5;4;0;0;0;0;8;6;91397;35151;108948;36092,32;0;101342;246382,32;380576;454794;1307450;417685;1307450;1307450;0;1464792;10934;1757458
987756;466;466-469;14;2003;0;3472548;782527,5;0;5685;45417;0;313587;31334;8654;14415;17845;6007;114372;17489;70994;0;0;67262,5;738657;310154;28454990;2690020,5;43;0;15;28;0;1;44;0;0;5;10;8;20;0;0;1;0;14;30;342265;167912;421118;125730,96;0;383792;930640,96;2211344;2743214;24982442;2477279;24982442;24982442;0;25988481;183192;27341759
987757;466;466-469;14;1990;0;451225;116958;0;0;12000;1862;16427;0;6;3029;1080;1429;57866;60;3620;0;0;19579;134748;70147;3370157;334267;6;0;2;4;0;0;6;0;0;1;1;2;2;0;0;0;0;3;3;85000;37333;112384;29774,88;0;49748;191906,88;1735525;1866903;2918932;1801214;2918932;2918932;0;3065210;362814;3639919
987759;4711-472;471-472;14;1987;0;499259;74881;0;3121;7100;0;12000;0;597;45486;1224;5353;0;0;0;0;0;0;119781;46930;5015559,425;424378;10;0;10;0;0;0;10;0;0;7;3;0;0;0;0;0;0;7;3;119781;27148;146929;17099,04;0;0;164028,04;220024;364893;4498268;292458,5;4498268;4498268;0;4633831;0;4811791
987761;4711-472;471-472;3;1987;0;461469;47394;0;6744;0;0;0;1558;0;27306;3677;1808;4871;0;0;0;0;1430;78023;28364;2337892;414075;6;0;6;0;0;0;6;0;0;2;4;0;0;0;0;0;0;2;4;78023;15373;93396;11250,52;0;0;104646,52;350000;215000;1876423;282500;1876423;1876423;0;1940283;37829;2093166
987762;464;464-465;2;2008;0;875055;139843,5;0;0;32379;0;49680;770;919;2263;5379;930;2479;0;10429;0;0;34615,5;241660;99002;5411717,193;735211,5;14;0;14;0;0;0;14;0;0;2;12;0;0;0;0;0;0;2;12;241660;60571;302231;32719;0;0;334950;323036;378562;4481634;350799;4481634;4481634;0;4721637;19297;5100640
987763;462;462-463;11;2009;0;354492;102023,5;209;19312;22000;0;11093;0;0;18991;2104;4170;680;1125;11077;0;0;11262,5;76333;31732;2900854;252468,5;5;1;5;0;0;0;6;0;1;3;2;0;0;0;0;0;0;3;3;76333;18314;94647;11614,8;0;0;106261,8;0;326601;2546362;163300,5;2546362;2546362;0;2673881;1905;2792795
987767;473;473;5;2002;37220;1487622;470162,5;0;0;22369;12462;0;3116;2231;42303;6967;3982;351748;2957;5236;0;0;16791,5;245956;90107;9082883;1017459,5;14;0;14;0;0;0;14;0;0;4;10;0;0;0;0;0;0;4;10;245956;44549;290505;40016,24;0;0;330521,24;163396;147599;7558041,239;155497,5;7558041;7595261;0;8111993;190738;8657998
987770;464;464-465;11;1985;0;1008867;295652;0;3546;92047;0;60000;2890;0;4277;20695;2368;16297;4770;54807;9954;0;15549;214803;81677;5979617;713215;12;0;12;0;1;0;13;0;0;6;6;0;0;1;0;0;0;7;6;214803;47785;262588;29126,4;8452;0;291714,4;1012509;1223947;4970750;1118228;4970750;4970750;0;5312313;64214;5698418
987771;4752;474 - 475;14;1984;0;635803;109399;0;1244;0;0;9500;0;4265;7105;4125;2819;40145;17815;19534;0;0;2847;140744;59329;1770320;526404;10;0;5;5;0;0;10;0;0;3;2;2;3;0;0;0;0;5;5;70372;31704;86224;23763,24;0;70372;180359,24;447350;380696;1134517;414023;1134517;1134517;0;1265342;12690;1490635
987772;4773;476 - 477;14;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988657;462;462-463;14;1990;0;4289043;893527;1300;0;55280;81140;130180;6720;6920;7180;18360;14110;310420;118400;138900;0;0;105;204430;92150;17970628;3395516;14;2;0;14;2;1;19;1;1;0;0;3;11;1;1;1;0;6;13;0;42920;0;44122,8;4512;195120;239242,8;25782;72978;13681585;49380;13681585;13681585;0;14740005;0;15074317
988659;473;473;11;1980;0;1155992;484826;1082;0;31436;849;85787;62874;96433;48892;8602;8010;13566;0;53558;0;44737;29000;326890;153414;8239595;671166;22;1;0;22;0;0;23;0;1;0;0;3;19;0;0;0;0;3;20;0;71996;0;73604,88;0;326890;400494,88;180000;210005;7083603;195002,5;7083603;7083603;0;7657396;280285;8446128
988662;4773;476 - 477;14;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988663;466;466-469;14;1995;0;868465;150105;46;7878;9000;0;65058;0;2517;21106;13291;5488;3263;7600;13646;0;0;1212;299703;140616;8949839;718360;20;4;20;0;0;0;24;2;2;8;12;0;0;0;0;0;0;10;14;299703;65888;365591;68014,16;0;0;433605,16;985276;336590;8081374;660933;8081374;8081374;0;8304591;24031;8796113
988664;4771-4751;476 - 477;11;2004;0;4187217;956527;0;760;22983;0;200638;71127;86451;408232;6372;5464;33955;32624;18409;1275;0;68237;1483417;540181;17990257,15;3230690;112;1;0;112;0;3;116;0;1;0;0;77;35;0;0;2;1;79;37;0;288217;0;219248,24;0;1453688;1672936,24;26720343;29235681;13838005;27978012;13838005;13838005;0;15111616;368463;17677101
988666;462;462-463;11;1992;0;1506776;557199,5;0;6324;15738;0;120537;52213;7452;37384;26215;4726;87314;12300;60942;0;0;126054,5;450257;204049;16576962;949576,5;29;1;0;29;0;1;31;1;0;0;0;7;22;0;0;1;0;9;22;0;95912;0;98048,04;0;434357;532405,04;1285979;1294261;15070186;1290120;15070186;15070186;0;15884567;128417;16723719
988669;462;462-463;11;2004;0;1264168;37361;330;0;0;0;7765;0;0;11550;6625;2135;8956;0;0;0;0;0;108000;52154;12231413;1226807;9;0;3;6;0;0;9;0;0;1;2;0;6;0;0;0;0;1;8;36000;23760;43920;25489,84;0;72000;141409,84;940732;1881660;10967245;1411196;10967245;10967245;0;11027806;0;11203145
988670;473;473;11;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
988675;4771-4751;476 - 477;11;2004;0;1000735;140120;0;0;15000;0;51000;1263;8792;49392;3158;3952;0;0;7563;0;0;0;507459;227000;5120573;860615;40;1;40;0;0;2;43;0;1;21;19;0;0;0;0;1;1;22;21;487459;106451;593910;109507,48;0;0;703417,48;5260167;5458365;4119838;5359266;4119838;4119838;0;4318958;143652;5253229
988676;462;462-463;11;2005;0;10269910;3554828,5;0;37126;81960;0;366349;112834;4180;143052;56925;10193;118451;21308;311145;0;0;220150,5;1278409;511887;96179814;6715081,5;47;1;47;0;67;2;117;0;1;12;35;0;0;20;47;1;1;33;84;1249409;220762;1470171;264645,96;2071155;0;1734816,96;14339806;16765935;85909904;15552870,5;85909904;85909904;0;88492829;764166;93264382
988677;4771-4751;476 - 477;11;2007;0;2145574;1045758,5;0;0;0;0;589777;0;4554;357271;12421;10123;4454;12000;52337;1659;0;1162,5;689333;313900;4414667;1099815,5;55;0;0;55;0;0;55;0;0;0;0;34;21;0;0;0;0;34;21;0;188918;0;109350,72;0;689333;798683,72;7261381;8636844;2269093;7949112,5;2269093;2269093;0;3366671;98350;4546212
988680;466;466-469;14;1987;0;4918755;2343572;0;0;141745;0;207761;25452;178;12668;16948;2039;1034452;144968;403911;0;0;119737;757263;311744;21681282,99;2575183;31;0;30;1;11;1;43;0;0;23;7;0;1;7;4;1;0;31;12;720247;183974;897789;110426,8;233713;26283;1034498,8;4415322;5353864;16753265;4884593;16753265;16753265;0;19360657;730813;21786583
988681;466;466-469;4;1988;0;879633;323509;0;0;43200;0;131600;42741;1351;5137;12030;3996;53330;0;6827;0;0;23297;179230;82608;4668781,335;556124;8;0;8;0;0;0;8;0;0;1;7;0;0;0;0;0;0;1;7;179230;46524;225754;32052;0;0;257806;270786;629975;3805564;450380,5;3805564;3805564;0;4213957;145932;4650351
988683;464;464-465;14;1992;0;2598456;851416,5;0;21139;107396;0;196327;2615;2546;100150;4267;5787;40433;8587;59855;0;0;59526,5;715377;252635;12823100;1747039,5;35;0;35;0;11;2;48;0;0;22;13;0;0;7;4;2;0;31;17;695874;133044;828918;103957,48;242788;0;932875,48;1673028;2505292;10224644;2089160;10224644;10224644;0;10969116;98451;12332881
988684;4771-4751;476 - 477;5;1992;0;32573823;10438118;20;954223;417721;0;3889255;308708;578356;1761504;64068;52240;68303;410618;902021;0;0;439187;4864066;1709230;73010701;22135705;212;0;212;0;28;9;249;0;0;91;121;0;0;15;13;5;4;111;138;4758766;883798;5642564;708577,92;591894;0;6351141,92;5177148;14188441;40436878;9682794,5;40436878;40436878;0;52319173;4162160;63953962
988688;453;453-454;14;1994;506372;2784307;441134,5;0;0;88150;0;79340;23707;13850;43387;25452;11257;16380;12258;100582;0;9866;16905,5;1080733;439837;7513863,718;2343172,5;55;0;32;23;0;3;58;0;0;11;21;9;14;0;0;0;3;20;38;757887;190456;896883;218765,8;0;286846;1402494,8;1868949;2787351;4260611,217;2328150;4260611;4766983;0;5357919;455511;7451302
988689;4759-4761;476 - 477;14;1995;0;505567;257026;308;1797;5226;0;141165;3593;5100;19295;1718;3329;223;3625;57246;0;0;14401;133329;25672;732706;248541;10;0;10;0;0;1;11;0;0;9;1;0;0;0;0;0;1;9;2;123329;11008;134337;12042,08;0;0;146379,08;149632;329896;227139;239764;227139;227139;0;508446;33166;720613
988691;4771-4751;476 - 477;14;1996;0;8306550;4519962,5;0;182241;7333;0;2757153;20408;17858;413989;9840;6549;50624;137073;70155;241840;0;217189,5;969083;302705;27117820,07;3786587,5;45;0;3;42;17;2;64;0;0;2;1;30;12;16;1;2;0;50;14;302613;141653;322414;140768,24;387710;639570;1102752,24;1535728;386588;18852034;961158;18852034;18852034;0;23482373;310694;25569782
988694;4772;476 - 477;14;1996;0;2640275;1245673;0;150628;0;0;367922;56652;40362;353412;33999;11146;2140;90314;21553;1505;0;116040;740719;367056;9190781;1394602;51;0;19;32;0;2;53;0;0;16;3;22;10;0;0;2;0;40;13;326258;152518;394662;196458,96;0;397903;989023,96;35004;19423;6550506;27213,5;6550506;6550506;0;8042223;172217;9415537
988695;454;453-454;14;1997;0;6093217;2295510,5;0;19152;27943;1005784;794;6267;120328;72463;34054;10488;54174;0;931497;0;0;12566,5;739935;297779;16404728;3797706,5;33;0;20;13;0;1;34;0;0;3;17;8;5;0;0;1;0;12;22;492860;170268;595628;111675,88;0;232750;940053,88;9005067;15132394;10311511;12068730,5;10311511;10311511;0;12781478;11966;13920919
988696;466;466-469;4;1997;0;2629497;512417;0;0;9864;0;129084;6358;4731;35802;35511;4542;214912;3940;5003;0;0;62670;605787;308888;17251218;2117080;28;0;28;0;0;1;29;0;0;10;18;0;0;0;0;0;1;10;19;593787;130633;724420;148328,04;0;0;872748,04;699407;1199316;14621721;949361,5;14621721;14621721;0;15289856;259469;16502983
988700;466;466-469;14;1999;0;24504550;5235998;1716;50394;250045;70790;1457000;141599;31110;310317;73832;39797;1137000;31982;522437;0;0;268431;2829433;1039507;80655756;19268552;94;0;0;94;34;3;131;0;0;0;0;34;60;17;17;1;2;52;79;0;592979;0;389761,36;849548;2785433;3175194,36;13254719;20991413;56151206;17123066;56151206;56151206;0;61859805;6773968;73709828
988701;4752;474 - 475;14;2008;0;1127276;234528;20217;0;15959;0;82800;4965;16435;31643;9332;8773;4619;0;7985;0;0;31800;328288;135420;6119601;892748;16;0;0;16;0;0;16;0;0;0;0;4;12;0;0;0;0;4;12;0;75500;0;52181,92;0;328288;380469,92;603470;623176;4992325;613323;4992325;4992325;0;5305757;68141;5885411
988708;465;464-465;14;2001;0;27038571;6881550,5;2403;0;347072;1811275;2031729;282479;149424;371690;293520;17114;116951;317219;369486;0;0;771188,5;15660247;7118662;64287161,07;20157020,5;274;0;274;0;0;12;286;0;0;190;84;0;0;0;0;8;4;198;88;15555072;2856746;18411818;3792866,72;0;0;22204684,72;10076403;13634184;37253984;11855293,5;37253984;37253984;0;46110386;9123191;78149253
988709;4771-4751;476 - 477;14;2001;0;419162;136298,5;0;0;3300;9329;19963;0;0;55844;12692;1404;19825;2000;6668;0;0;5273,5;120437;57713;1330649;282863,5;10;0;0;10;0;0;10;0;0;0;0;10;0;0;0;0;0;10;0;0;28323;0;26536,8;0;120437;146973,8;10104;17395;911487;13749,5;911487;911487;0;1063299;77689;1343141
988711;4752;474 - 475;14;2002;0;4925699;424857;321;7466;94297;0;102361;8566;6536;48021;12489;10434;8612;22420;52978;0;0;50356;1166240;460600;19335499;4500842;84;0;84;0;0;1;85;0;0;40;44;0;0;0;0;1;0;41;44;1157240;249061;1406301;186153,64;0;0;1592454,64;6518758;14543715;14409800;10531236,5;14409800;14409800;0;15036669;1136737;17983961
