,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,COLE_COD_DANE_ESTABLECIMIENTO,COLE_CODIGO_ICFES,COLE_NOMBRE_ESTABLECIMIENTO,COLE_JORNADA,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_MATEMATICAS,DESEMP_MATEMATICAS,PERCENTIL_MATEMATICAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_C_NATURALES,DESEMP_C_NATURALES,PERCENTIL_C_NATURALES,PUNT_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,PUNT_GLOBAL,PERCENTIL_GLOBAL,PERCENTIL_ESPECIAL_GLOBAL,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION
10,TI,COLOMBIA,F,16/06/2004,20224,SB11202240493316,ESTUDIANTE,COLOMBIA,No,PUTUMAYO,86.0,PUERTO ASÍS,86568.0,No sabe,Técnica o tecnológica completa,Estrato 1,5 a 6,Cuatro,No,No,No,No,Si,No,No,No,0 A 10 LIBROS,Más de 2 horas,Entre 30 y 60 minutos,0,No,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,No aplica,"Trabaja en el hogar, no trabaja o estudia",Igual,186568003906.0,784876.0,IE SANTA TERESA,UNICA,MIXTO,OFICIAL,A,S,ACADÉMICO,186568061230.0,SAN FERNANDO,N,RURAL,86568.0,PUERTO ASÍS,86.0,PUTUMAYO,N,86568,PUERTO ASÍS,PUTUMAYO,86,51,3,49,47.0,47.0,A-,49,2,51,57,3,63,52,2,64,259,58.0,,36.8395954911518,1.0,2.0,PUBLICAR
11,TI,COLOMBIA,F,13/06/2005,20224,SB11202240356625,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Educación profesional completa,Educación profesional incompleta,Estrato 4,3 a 4,Cuatro,Si,Si,Si,Si,Si,Si,No,Si,26 A 100 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,0,No,Nunca o rara vez comemos eso,1 o 2 veces por semana,1 o 2 veces por semana,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Mejor,311001004471.0,25577.0,COLEGIO DE NUESTRA SEÑORA DEL PILAR,COMPLETA,FEMENINO,NO OFICIAL,A,N,ACADÉMICO,311001004471.0,COLEGIO DE NUESTRA SEÑORA DEL PILAR,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,46,2,37,64.0,86.0,A2,45,2,41,47,2,31,38,1,24,228,37.0,,66.9824727682453,4.0,4.0,PUBLICAR
12,TI,COLOMBIA,F,09/04/2006,20224,SB11202240447920,ESTUDIANTE,COLOMBIA,Si,CORDOBA,23.0,CERETÉ,23162.0,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 2,3 a 4,Dos,Si,No,No,No,Si,No,Si,No,11 A 25 LIBROS,30 minutos o menos,30 minutos o menos,0,"Si, en efectivo",Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,No aplica,"Trabaja en el hogar, no trabaja o estudia",,323162000474.0,8003.0,COL DIOCESANO PABLO VI,MAÑANA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,323162000474.0,COL DIOCESANO PABLO VI,S,URBANO,23162.0,CERETÉ,23.0,CORDOBA,N,23162,CERETÉ,CORDOBA,23,59,3,74,62.0,83.0,A2,61,3,86,64,3,84,62,3,87,308,85.0,,44.2467436196005,2.0,3.0,PUBLICAR
13,TI,COLOMBIA,M,23/01/2006,20224,SB11202240195610,ESTUDIANTE,COLOMBIA,No,CALDAS,17.0,LA DORADA,17380.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Dos,Si,Si,Si,No,Si,No,Si,Si,0 A 10 LIBROS,No leo por entretenimiento,Más de 3 horas,Menos de 10 horas,"Si, en efectivo",Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia",Igual,117380000789.0,726331.0,INSTITUCION EDUCATIVA RENAN BARCO,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,117380800017.0,JUAN PABLO II,N,URBANO,17380.0,LA DORADA,17.0,CALDAS,N,17380,LA DORADA,CALDAS,17,57,3,68,41.0,31.0,A-,47,2,45,49,2,38,36,1,20,234,41.0,,53.4156725735966,3.0,2.0,PUBLICAR
14,TI,COLOMBIA,M,08/06/2005,20224,SB11202240349681,ESTUDIANTE,COLOMBIA,No,SUCRE,70.0,SINCELEJO,70001.0,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 2,1 a 2,Dos,Si,No,No,No,Si,No,No,No,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,0,No,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,"Trabaja por cuenta propia (por ejemplo plomero, electricista)",Es vendedor o trabaja en atención al público,Igual,170001000180.0,15354.0,INSTITUCION EDUCATIVA ANTONIO  LENIS,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,170001000180.0,INSTITUCION EDUCATIVA ANTONIO  LENIS,S,URBANO,70001.0,SINCELEJO,70.0,SUCRE,N,70001,SINCELEJO,SUCRE,70,71,4,96,46.0,45.0,A-,60,3,83,62,3,78,60,3,82,310,86.0,,48.1317835474203,2.0,2.0,PUBLICAR
15,TI,COLOMBIA,M,08/04/2006,20224,SB11202240383653,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Educación profesional completa,Educación profesional incompleta,Estrato 2,3 a 4,Tres,Si,Si,Si,Si,Si,Si,Si,Si,26 A 100 LIBROS,30 minutos o menos,Más de 3 horas,0,No,Todos o casi todos los días,3 a 5 veces por semana,3 a 5 veces por semana,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Mejor,311001105979.0,21386.0,GIMN MONSEÑOR MANUEL MARIA CAMARGO,COMPLETA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,311001105979.0,GIMN MONSEÑOR MANUEL MARIA CAMARGO,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,59,3,76,49.0,51.0,A1,51,2,61,64,3,85,56,3,74,284,73.0,,70.9020449784334,4.0,3.0,PUBLICAR
16,TI,COLOMBIA,F,18/10/2005,20224,SB11202240029137,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 2,3 a 4,Dos,Si,Si,No,Si,Si,Si,No,No,0 A 10 LIBROS,Entre 1 y 2 horas,Más de 3 horas,0,No,3 a 5 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,Es vendedor o trabaja en atención al público,"Trabaja en el hogar, no trabaja o estudia",Igual,111001011690.0,20834.0,COLEGIO LA AMISTAD (IED),MAÑANA,MIXTO,OFICIAL,A,N,ACADÉMICO,111001011690.0,COL DIST LA AMISTAD,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,52,3,53,46.0,43.0,A-,55,2,70,58,3,66,54,2,69,270,65.0,,55.5801505290286,3.0,2.0,PUBLICAR
17,TI,COLOMBIA,F,09/01/2005,20224,SB11202240229150,ESTUDIANTE,COLOMBIA,No,BOLIVAR,13.0,MAGANGUÉ,13430.0,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,Dos,Si,No,Si,Si,Si,No,Si,No,11 A 25 LIBROS,30 minutos o menos,Entre 1 y 3 horas,Entre 21 y 30 horas,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,"Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia",Igual,213430001926.0,318121.0,INST EDUC DE JUAN ARIAS,UNICA,MIXTO,OFICIAL,A,N,ACADÉMICO,213430001926.0,JUAN ARIAS,S,RURAL,13430.0,MAGANGUÉ,13.0,BOLIVAR,N,13430,MAGANGUÉ,BOLIVAR,13,23,1,1,39.0,24.0,A-,32,1,3,42,2,17,42,2,35,175,7.0,,42.3258230376946,2.0,2.0,PUBLICAR
18,TI,COLOMBIA,F,14/03/2006,20224,SB11202240274043,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Dos,Si,Si,Si,No,Si,No,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,0,No,3 a 5 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Igual,311001029539.0,72900.0,LICEO HOMERICO,COMPLETA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,311001029539.0,LIC HOMERICO                                                                                        ,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,55,3,64,59.0,77.0,A2,48,2,51,47,2,31,54,2,68,258,57.0,,52.6203251246024,3.0,3.0,PUBLICAR
19,TI,COLOMBIA,F,13/06/2006,20224,SB11202240488180,ESTUDIANTE,COLOMBIA,No,LA GUAJIRA,44.0,BARRANCAS,44078.0,Primaria incompleta,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Dos,No,No,Si,Si,Si,No,No,Si,11 A 25 LIBROS,Más de 2 horas,No Navega Internet,0,No,3 a 5 veces por semana,3 a 5 veces por semana,Todos o casi todos los días,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Es vendedor o trabaja en atención al público,Igual,144078000033.0,743302.0,INSTITUCION EDUCATIVA TÉCNICA REMEDIOS SOLANO,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,144078000033.0,INSTITUCION EDUCATIVA TÉCNICA REMEDIOS SOLANO,S,URBANO,44078.0,BARRANCAS,44.0,LA GUAJIRA,N,44279,FONSECA,LA GUAJIRA,44,42,2,26,48.0,49.0,A1,40,1,21,43,2,19,40,1,29,209,24.0,,48.6902549086089,2.0,2.0,PUBLICAR
20,TI,COLOMBIA,M,25/12/2004,20224,SB11202240168387,ESTUDIANTE,COLOMBIA,No,ANTIOQUIA,5.0,MEDELLÍN,5001.0,Secundaria (Bachillerato) incompleta,Educación profesional completa,Estrato 2,5 a 6,Dos,No,Si,Si,Si,Si,No,Si,No,0 A 10 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,Más de 30 horas,"Si, en efectivo",Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)",Igual,105001001279.0,56804.0,INST EDUC CIRO MENDIA,NOCHE,MIXTO,OFICIAL,A,N,ACADÉMICO,105001001279.0,INST EDUC CIRO MENDIA,S,URBANO,5001.0,MEDELLÍN,5.0,ANTIOQUIA,N,5001,MEDELLÍN,ANTIOQUIA,5,43,2,27,41.0,31.0,A-,45,2,39,46,2,28,49,2,56,227,36.0,,54.2562489707772,3.0,2.0,PUBLICAR
21,TI,COLOMBIA,F,26/11/2005,20224,SB11202240096628,ESTUDIANTE,COLOMBIA,No,META,50.0,PUERTO LÓPEZ,50573.0,Primaria incompleta,Secundaria (Bachillerato) completa,Estrato 1,3 a 4,Dos,No,No,Si,No,No,No,Si,No,,No leo por entretenimiento,Entre 30 y 60 minutos,0,No,1 o 2 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,Es vendedor o trabaja en atención al público,Es vendedor o trabaja en atención al público,Igual,150573000554.0,28589.0,INSTITUCION EDUCATIVA ENRIQUE OLAYA HERRERA,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,150573000554.0,SEDE PRINCIPAL - ENRIQUE OLAYA HERRERA,S,URBANO,50573.0,PUERTO LÓPEZ,50.0,META,N,50573,PUERTO LÓPEZ,META,50,53,3,57,32.0,5.0,A-,42,2,30,55,3,57,48,2,52,241,46.0,,42.4489392883671,2.0,2.0,PUBLICAR
