value,region,incomeLevel,Gdp2020,lifeExp2020
"Micronesia, Fed. Sts.",EAS,LMC,3420.51603737521,70.674
Gabon,SSF,UMC,13903.2889546654,66.531
United Kingdom,ECS,HIC,41895.8251486161,80.3512195121951
Georgia,ECS,UMC,13966.3263350166,72.765
Ghana,SSF,LMC,5263.52660401553,64.114
Gibraltar,ECS,HIC,,82.198
Guinea,SSF,LMC,2604.11723403951,59.327
"Gambia, The",SSF,LIC,2042.62028935163,62.612
Guinea-Bissau,SSF,LIC,1803.6305907651,59.999
Equatorial Guinea,SSF,UMC,15045.5287073838,60.708
Greece,ECS,HIC,27009.2072991312,81.2878048780488
Grenada,LCN,UMC,13175.5217421008,74.924
Greenland,ECS,HIC,,71.6368292682927
Guatemala,LCN,UMC,8389.10673604404,71.797
Guam,EAS,HIC,,76.612
Guyana,LCN,HIC,18430.6014714079,68.486
"Hong Kong SAR, China",EAS,HIC,55892.1109747094,85.4975609756098
Honduras,LCN,LMC,5028.14510891989,71.462
Croatia,ECS,HIC,27002.1993042881,77.7243902439024
Haiti,LCN,LMC,2970.46284530554,64.052
Hungary,ECS,HIC,31232.1010809908,75.5682926829269
Indonesia,EAS,UMC,11515.6807436154,68.808
Isle of Man,ECS,HIC,,80.588
India,SAS,LMC,6172.04238600145,70.15
Ireland,ECS,HIC,91791.440529146,82.5560975609756
"Iran, Islamic Rep.",MEA,LMC,14432.36271404,74.832
Iraq,MEA,UMC,8848.11845678013,69.123
Iceland,ECS,HIC,51684.4022639373,83.0634146341463
Israel,MEA,HIC,39680.6658703571,82.6487804878049
Italy,ECS,HIC,39093.5250863749,82.1951219512195
Jamaica,LCN,UMC,9206.29158187902,71.869
Jordan,MEA,LMC,9231.03588467005,75.184
Japan,EAS,HIC,39989.5786066818,84.56
Kazakhstan,ECS,UMC,25361.5079905963,71.37
Kenya,SSF,LMC,4497.36297502329,62.675
Kyrgyz Republic,ECS,LMC,4790.65880523608,71.8
Cambodia,EAS,LMC,4276.18453895976,70.416
Kiribati,EAS,LMC,1897.06192179014,67.266
St. Kitts and Nevis,LCN,HIC,26678.3293400323,71.627
"Korea, Rep.",EAS,HIC,42396.7619441995,83.4268292682927
Kuwait,MEA,HIC,43922.6302095626,76.92
Lao PDR,EAS,LMC,7763.94888128767,68.497
Lebanon,MEA,LMC,13791.2702995609,77.804
Liberia,SSF,LIC,1383.82809910001,60.948
Libya,MEA,UMC,15621.0000330719,72.472
St. Lucia,LCN,UMC,11651.1715356566,73.416
Liechtenstein,ECS,HIC,,81.6585365853659
Sri Lanka,SAS,LMC,12939.440565095,76.393
Lesotho,SSF,LMC,2225.25293352001,54.693
Lithuania,ECS,HIC,37179.7655895464,74.9780487804878
Luxembourg,ECS,HIC,112274.817881541,82.1439024390244
Latvia,ECS,HIC,29575.5679037663,75.1853658536585
"Macao SAR, China",EAS,HIC,54916.1556449618,85.184
St. Martin (French part),LCN,HIC,,80.149
Morocco,MEA,LMC,7546.71630859375,73.92
Monaco,ECS,HIC,,
Moldova,ECS,UMC,11848.8995265762,70.166
Madagascar,SSF,LIC,1436.2069505149,65.182
Maldives,SAS,UMC,13809.3534044054,79.875
Mexico,LCN,UMC,18639.6613477888,70.133
Marshall Islands,EAS,UMC,5724.7297212994,64.977
North Macedonia,ECS,UMC,15779.7873237268,74.3951219512195
Mali,SSF,LIC,2123.82820216377,58.633
Malta,MEA,HIC,41753.8141779531,82.3487804878049
Myanmar,EAS,LMC,4708.55975221752,66.797
Montenegro,ECS,UMC,18259.0835652429,75.9317073170732
Mongolia,EAS,LMC,11666.7797012439,72.141
Northern Mariana Islands,EAS,HIC,,
Mozambique,SSF,LIC,1237.94604412225,61.172
Mauritania,SSF,LMC,5236.41023285221,64.532
Mauritius,SSF,UMC,20231.8515927971,74.1770731707317
Malawi,SSF,LIC,1489.6013808411,63.717
Malaysia,EAS,UMC,25852.1897023247,75.938
Namibia,SSF,UMC,9041.76986388145,62.829
New Caledonia,EAS,HIC,,80.8349512195122
Niger,SSF,LIC,1214.54097579798,61.451
Nigeria,SSF,LMC,4865.08683226646,52.887
Nicaragua,LCN,LMC,5230.57404857125,71.795
Netherlands,ECS,HIC,54275.0030465677,81.3585365853659
Norway,ECS,HIC,63776.1609653442,83.209756097561
Nepal,SAS,LMC,3761.80278738364,69.246
Nauru,EAS,HIC,10812.8892844149,63.437
New Zealand,EAS,HIC,42052.1409677726,82.2560975609756
Oman,MEA,HIC,33098.2098998097,74.757
Pakistan,SAS,LMC,5004.35224191866,66.269
Panama,LCN,HIC,26606.2949697901,76.657
Peru,LCN,UMC,11187.3437896037,73.665
Philippines,EAS,LMC,7773.26023051814,72.119
Palau,EAS,UMC,16404.5480804191,
Papua New Guinea,EAS,LMC,3741.66157790096,65.787
Poland,ECS,HIC,32546.8259419319,76.5
Puerto Rico,LCN,HIC,32437.9651479134,78.041
"Korea, Dem. People's Rep.",EAS,LIC,,73.274
Portugal,ECS,HIC,32011.3249844991,80.9756097560976
Paraguay,LCN,UMC,13317.3211184333,73.182
West Bank and Gaza,MEA,UMC,5402.5387727565,74.403
French Polynesia,EAS,HIC,,82.217
Qatar,MEA,HIC,89019.069857331,79.099
Romania,ECS,HIC,29057.4082861582,74.2536585365854
Russian Federation,ECS,UMC,26586.5546875,71.3387804878049
Rwanda,SSF,LIC,2066.47167180201,66.774
Saudi Arabia,MEA,HIC,44770.9082797609,76.239
Sudan,SSF,LIC,3874.80029296875,65.614
Senegal,SSF,LMC,3384.4417824765,68.006
Singapore,EAS,HIC,94910.1014313726,84.4658536585366
Solomon Islands,EAS,LMC,2469.17421492847,70.199
Sierra Leone,SSF,LIC,1586.35494299166,59.763
El Salvador,LCN,UMC,8294.53733884395,71.061
San Marino,ECS,HIC,56364.2141621563,
Somalia,SSF,LIC,1456.6558710051,55.967
Serbia,ECS,UMC,18262.7985832411,74.4780487804878
South Sudan,SSF,LIC,,55.48
Sao Tome and Principe,SSF,LMC,3507.36132720776,67.785
Suriname,LCN,UMC,15328.9969521901,72.561
Slovak Republic,ECS,HIC,30960.9591865974,76.8658536585366
Slovenia,ECS,HIC,37155.0245366571,80.5317073170732
Sweden,ECS,HIC,51331.2822226344,82.3560975609756
Eswatini,SSF,LMC,8290.40943633597,59.692
Sint Maarten (Dutch part),LCN,HIC,36991.7760064528,74.584
Seychelles,SSF,HIC,26704.9262426338,77.2365853658537
Syrian Arab Republic,MEA,LIC,,72.14
Turks and Caicos Islands,LCN,HIC,18474.8659948769,75.001
Chad,SSF,LIC,1489.18671217966,52.777
Togo,SSF,LIC,2058.56505954715,61.035
Thailand,EAS,UMC,16865.5487709163,79.274
Tajikistan,ECS,LMC,3651.94266028498,67.994
Turkmenistan,ECS,UMC,14269.6410232194,68.687
Timor-Leste,EAS,LMC,4861.69342557337,68.475
Tonga,EAS,UMC,6357.06991445266,70.928
Trinidad and Tobago,LCN,HIC,23392.9931402776,74.406
Tunisia,MEA,LMC,10040.1243774743,75.292
Turkiye,ECS,UMC,28726.1916576598,75.85
Tuvalu,EAS,UMC,4577.96563012522,64.382
Tanzania,SSF,LMC,2552.546875,66.408
Uganda,SSF,LIC,2240.49023729115,62.851
Ukraine,ECS,LMC,12407.7900390625,71.1851219512195
Uruguay,LCN,HIC,22073.3748726635,78.43
United States,NAC,HIC,60158.9104528302,76.9804878048781
Uzbekistan,ECS,LMC,7407.7276397088,70.331
St. Vincent and the Grenadines,LCN,UMC,13690.9007525787,72.126
"Venezuela, RB",LCN,INX,,71.095
British Virgin Islands,LCN,HIC,,75.849
Virgin Islands (U.S.),LCN,HIC,,79.819512195122
Viet Nam,EAS,LMC,10450.6214983186,75.378
Vanuatu,EAS,LMC,2848.97023975982,70.299
Samoa,EAS,LMC,6062.47173545304,72.768
Kosovo,ECS,UMC,10706.5109249521,76.567
"Yemen, Rep.",MEA,LIC,,64.65
South Africa,SSF,UMC,12866.5689860294,65.252
Zambia,SSF,LMC,3183.65077326259,62.38
Zimbabwe,SSF,LMC,1990.31941941589,61.124
