price,job
129551.93000562185,Nurse
74644.0922786583,Nurse
91099.55019787095,Nurse
65560.45014863856,Nurse
93125.4732793447,Nurse
103876.99168816285,Nurse
61063.98023495084,Nurse
111930.48214310457,Nurse
77995.8671420508,Nurse
91937.95533773764,Nurse
81974.69652409728,Nurse
69414.11506793623,Nurse
100799.79924435006,Nurse
75778.19572512074,Nurse
73375.93113036963,Nurse
84231.56082112355,Nurse
96291.46851527914,Nurse
70343.22740430746,Nurse
72165.63371510385,Nurse
79927.48666821518,Nurse
83168.16897596455,Nurse
67508.49225222111,Nurse
82054.4967442495,Nurse
85016.32893463752,Nurse
79873.45527390334,Nurse
65084.85531250872,Nurse
92070.60724550909,Nurse
69357.16939809684,Nurse
88994.7978922469,Nurse
92800.24259607974,Nurse
71372.93137554944,Nurse
