id_lote,tipo_cultivo,departamento,region,fertilizante_kg_ha,proveedor_semilla,latitud,longitud,campaña,area_ha,produccion_ton
69,soya,Meta,Orinoquía,134.0,Corteva,3.202148,-73.208012,2023B,15.3,72.22
70,maíz,Valle del Cauca,Pacífica,158.4,Corteva,3.713217,-76.747931,2025A,8.8,48.75
71,maíz,Tolima,Andina,156.1,Bayer,4.162746,-75.169784,2023A,27.8,164.3
72,maíz,Atlántico,Caribe,206.2,Syngenta,10.83185,-75.174593,2024A,24.0,126.48
73,arroz,Arauca,Orinoquía,252.7,Syngenta,7.001449,-70.816909,2024A,27.0,144.72
74,soya,Cesar,Caribe,78.4,Local,9.345832,-73.808474,2025A,23.0,43.47
75,maíz,Meta,Orinoquía,181.9,Syngenta,3.471139,-72.948805,2025A,10.1,63.53
76,maíz,Santander,Andina,213.1,Corteva,6.534983,-73.638014,2024B,29.1,172.85
77,maíz,Santander,Andina,188.8,Bayer,6.586374,-73.71103,2025A,43.2,253.15
78,maíz,Bolívar,Caribe,201.2,Local,8.596946,-74.396862,2025A,28.1,150.34
79,soya,Casanare,Orinoquía,57.4,Local,5.715848,-71.424241,2025A,19.7,50.04
80,maíz,Santander,Andina,139.5,Local,6.568948,-73.539699,2024B,9.7,42.87
81,maíz,Atlántico,Caribe,258.6,Syngenta,10.968359,-74.801734,2023A,14.9,79.86
82,maíz,Atlántico,Caribe,163.0,Local,10.764514,-74.737842,2024A,28.5,112.58
83,maíz,Sucre,Caribe,139.5,Local,9.114091,-75.490125,2024B,34.7,141.23
84,maíz,Caquetá,Amazonía,216.3,Corteva,1.411812,-75.165965,2024A,26.6,148.43
85,maíz,Meta,Orinoquía,188.9,Agrosavia,3.378249,-73.048665,2023B,32.0,202.88
86,soya,Tolima,Andina,105.4,Local,3.914371,-75.177142,2024B,31.1,78.99
87,maíz,Nariño,Pacífica,276.3,Bayer,1.265188,-77.165121,2025A,29.1,166.45
88,arroz,Meta,Orinoquía,216.5,Syngenta,3.039807,-73.320814,2023A,17.4,117.97
89,maíz,Sucre,Caribe,162.3,Syngenta,9.067154,-75.253001,2024B,25.7,123.87
90,maíz,Valle del Cauca,Pacífica,190.7,Corteva,4.264105,-76.630641,2024B,15.5,88.35
91,maíz,Meta,Orinoquía,194.5,Bayer,3.072721,-72.837755,2025A,24.2,178.84
92,soya,Valle del Cauca,Pacífica,51.8,Corteva,3.547548,-76.781307,2025A,27.3,91.18
93,maíz,Cesar,Caribe,206.9,Bayer,9.342697,-73.780405,2024B,40.8,226.03
94,arroz,Magdalena,Caribe,203.4,Bayer,10.191317,-74.27736,2024A,10.9,67.14
95,arroz,Meta,Orinoquía,221.7,Local,3.090724,-73.206002,2023B,28.8,194.69
96,arroz,Atlántico,Caribe,201.1,Bayer,10.862925,-74.907382,2024A,38.8,201.37
97,soya,Bolívar,Caribe,122.8,Syngenta,8.416056,-73.805595,2024B,31.6,109.34
98,arroz,Valle del Cauca,Pacífica,144.1,Agrosavia,3.872745,-76.648074,2025A,32.3,170.87
99,maíz,Atlántico,Caribe,223.0,Local,10.584486,-74.949366,2025A,29.9,152.49
100,maíz,Bolívar,Caribe,156.1,Local,8.494293,-73.956515,2023B,37.0,162.8
101,maíz,Cesar,Caribe,155.6,Syngenta,9.156624,-73.561747,2024B,13.1,72.97
102,maíz,Caquetá,Amazonía,178.4,Corteva,1.483766,-75.572582,2024A,10.1,53.33
103,arroz,Huila,Andina,213.6,Syngenta,2.639214,-75.843343,2023A,23.9,135.27
104,maíz,Casanare,Orinoquía,159.2,Agrosavia,5.655285,-71.550438,2023B,3.0,16.32
105,soya,Casanare,Orinoquía,101.4,Syngenta,5.698627,-71.216895,2023A,36.3,135.4
106,arroz,Valle del Cauca,Pacífica,214.1,Local,3.912826,-76.92394,2025A,36.2,233.85
107,arroz,Valle del Cauca,Pacífica,173.8,Agrosavia,3.992522,-76.619771,2023B,19.7,113.87
108,maíz,Sucre,Caribe,204.8,Local,9.005627,-75.320469,2023B,20.3,94.6
109,soya,Tolima,Andina,99.2,Agrosavia,4.054111,-74.951268,2025A,23.3,75.26
110,soya,Bolívar,Caribe,86.0,Local,8.592191,-74.085651,2024A,24.5,50.72
111,maíz,Meta,Orinoquía,190.0,Syngenta,2.924657,-73.204805,2023A,25.3,157.37
112,maíz,Cesar,Caribe,208.8,Local,9.244188,-73.399917,2023B,29.6,157.77
113,maíz,Casanare,Orinoquía,116.0,Local,5.901758,-71.626465,2023A,22.3,86.97
114,soya,Córdoba,Caribe,90.7,Syngenta,8.32839,-75.753704,2023A,33.4,96.86
115,maíz,Huila,Andina,167.1,Local,2.416399,-75.317621,2023A,28.5,158.46
116,arroz,Casanare,Orinoquía,285.0,Bayer,5.64417,-71.358377,2024B,17.9,128.7
117,maíz,Meta,Orinoquía,158.8,Local,3.460736,-73.025849,2023B,37.4,196.72
118,arroz,Huila,Andina,208.1,Local,2.425598,-75.597486,2024A,10.4,64.58
119,maíz,Atlántico,Caribe,201.3,Agrosavia,10.5435,-74.855248,2025A,23.1,123.82
120,soya,Valle del Cauca,Pacífica,117.1,Bayer,3.841182,-76.644256,2024A,33.7,128.73
121,soya,Casanare,Orinoquía,118.7,Local,5.463809,-71.489141,2025A,16.8,41.5
122,maíz,Atlántico,Caribe,204.7,Local,10.907073,-74.625311,2024A,27.1,137.94
123,maíz,Tolima,Andina,194.2,Local,3.968383,-75.065408,2024A,29.4,138.77
124,maíz,Bolívar,Caribe,183.0,Local,8.804726,-73.913813,2024B,15.4,61.75
125,arroz,Arauca,Orinoquía,290.9,Local,7.301617,-71.021169,2023A,23.3,147.72
126,arroz,Caquetá,Amazonía,204.4,Agrosavia,1.807654,-75.790973,2023A,22.4,122.53
127,soya,Meta,Orinoquía,98.2,Syngenta,3.177355,-73.111287,2024B,18.5,71.6
128,maíz,Arauca,Orinoquía,127.3,Corteva,7.163203,-70.85207,2024A,47.0,182.83
129,soya,Magdalena,Caribe,137.3,Bayer,10.204847,-74.426326,2025A,16.4,48.87
130,maíz,Cesar,Caribe,215.7,Syngenta,9.293878,-73.59023,2025A,34.0,191.42
131,arroz,Huila,Andina,243.2,Local,2.530694,-75.47916,2024A,20.1,120.0
132,maíz,Arauca,Orinoquía,174.0,Local,7.119374,-70.634079,2024B,13.1,70.22
133,soya,Arauca,Orinoquía,110.0,Bayer,7.027102,-70.89505,2024A,25.0,70.5
134,soya,Santander,Andina,84.0,Local,6.562285,-74.089898,2025A,30.5,47.89
135,soya,Cesar,Caribe,97.3,Local,9.234519,-73.700998,2025A,33.2,76.69
136,soya,Nariño,Pacífica,88.0,Local,1.249426,-77.353061,2025A,39.6,87.52
137,maíz,Córdoba,Caribe,188.4,Bayer,7.917562,-75.538826,2023B,53.5,279.8
138,maíz,Magdalena,Caribe,173.5,Syngenta,10.422033,-74.522149,2025A,26.5,144.43
139,maíz,Magdalena,Caribe,166.2,Local,10.582326,-74.441332,2023B,17.4,76.56
140,maíz,Cesar,Caribe,212.6,Local,9.279637,-73.57725,2023B,28.5,133.1
141,maíz,Nariño,Pacífica,222.3,Syngenta,1.271807,-77.525878,2025A,21.3,142.28
142,maíz,Nariño,Pacífica,203.3,Local,1.242872,-77.658245,2023A,33.3,136.53
143,maíz,Atlántico,Caribe,115.7,Local,11.056913,-74.893071,2025A,11.0,31.46
144,maíz,Atlántico,Caribe,234.3,Local,10.962377,-74.625684,2023A,47.7,200.34
145,arroz,Sucre,Caribe,221.6,Local,9.295524,-75.426011,2025A,32.6,148.33
146,soya,Casanare,Orinoquía,126.1,Corteva,5.525857,-71.363451,2023B,7.2,24.34
147,arroz,Arauca,Orinoquía,165.5,Agrosavia,6.706872,-70.715949,2024A,16.9,89.06
148,maíz,Bolívar,Caribe,247.1,Syngenta,8.607534,-74.087894,2023B,32.2,183.86
149,maíz,Bolívar,Caribe,237.5,Local,8.611561,-74.129171,2024B,35.8,191.53
150,soya,Meta,Orinoquía,109.7,Agrosavia,3.286154,-73.447376,2024A,11.3,36.84
151,arroz,Meta,Orinoquía,224.9,Agrosavia,3.247956,-72.892244,2024B,31.1,203.7
152,soya,Casanare,Orinoquía,102.9,Local,5.569285,-71.684678,2023A,4.5,14.18
153,soya,Atlántico,Caribe,125.1,Local,10.869934,-74.818728,2023A,23.1,69.3
154,arroz,Santander,Andina,258.7,Agrosavia,6.758671,-73.859341,2023A,35.1,238.68
155,maíz,Valle del Cauca,Pacífica,225.6,Bayer,4.059233,-76.539707,2024A,18.5,125.62
156,soya,Valle del Cauca,Pacífica,117.7,Corteva,3.747339,-76.393673,2025A,8.9,38.36
157,arroz,Bolívar,Caribe,157.4,Local,8.949861,-74.309491,2025A,25.5,111.18
158,arroz,Valle del Cauca,Pacífica,231.2,Bayer,3.677033,-76.235862,2023B,18.0,136.26
159,maíz,Valle del Cauca,Pacífica,183.3,Syngenta,3.524997,-76.381131,2024B,30.3,167.26
160,maíz,Santander,Andina,125.8,Local,6.780307,-73.602986,2024B,15.1,67.65
161,maíz,Huila,Andina,194.7,Bayer,2.364837,-75.684403,2023B,16.3,90.63
162,maíz,Córdoba,Caribe,153.0,Local,7.871167,-75.404661,2024A,3.8,13.11
163,arroz,Valle del Cauca,Pacífica,201.4,Bayer,3.840911,-76.612414,2024A,25.7,196.6
164,maíz,Huila,Andina,170.2,Corteva,2.55844,-75.604993,2023A,22.4,131.04
165,maíz,Nariño,Pacífica,170.9,Local,1.055852,-77.151004,2023A,12.1,53.6
166,maíz,Caquetá,Amazonía,183.7,Syngenta,1.561309,-75.381606,2023B,25.9,140.64
167,arroz,Magdalena,Caribe,282.4,Local,10.279016,-74.469439,2024B,34.3,211.29
168,arroz,Meta,Orinoquía,253.7,Corteva,3.171651,-73.334265,2023A,21.8,178.11
169,maíz,Santander,Andina,197.4,Agrosavia,6.385289,-73.997959,2023B,26.7,130.56
170,maíz,Sucre,Caribe,202.1,Agrosavia,9.236357,-75.434444,2024A,26.7,152.19
171,maíz,Meta,Orinoquía,159.7,Bayer,3.236444,-73.224327,2023A,12.0,66.96
172,soya,Arauca,Orinoquía,109.7,Corteva,6.725128,-70.69437,2023B,44.6,166.36
173,maíz,Córdoba,Caribe,205.8,Agrosavia,8.00241,-75.26317,2025A,19.3,114.26
174,soya,Meta,Orinoquía,105.8,Agrosavia,3.302485,-73.342169,2023A,30.6,87.52
175,soya,Meta,Orinoquía,106.0,Local,3.018714,-73.074561,2024B,31.7,86.54
176,maíz,Bolívar,Caribe,201.6,Local,8.694437,-74.057445,2024A,22.6,105.77
177,maíz,Arauca,Orinoquía,159.5,Bayer,7.041001,-70.746006,2024B,30.1,151.1
178,soya,Córdoba,Caribe,103.5,Local,8.048207,-75.423072,2024B,26.5,90.1
179,maíz,Nariño,Pacífica,190.8,Syngenta,1.397127,-77.449182,2023B,9.8,51.74
180,arroz,Valle del Cauca,Pacífica,223.9,Corteva,3.996361,-76.555854,2025A,20.7,144.28
181,maíz,Tolima,Andina,258.9,Agrosavia,3.975426,-75.059155,2024A,17.9,105.61
182,soya,Casanare,Orinoquía,93.7,Bayer,5.854245,-71.58509,2025A,19.4,73.14
183,maíz,Córdoba,Caribe,193.3,Local,8.14652,-75.80485,2024A,11.0,46.75
184,arroz,Cesar,Caribe,233.5,Bayer,9.276625,-73.764012,2025A,35.3,224.15
185,arroz,Magdalena,Caribe,192.2,Local,10.501215,-73.993737,2025A,40.0,219.2
186,arroz,Valle del Cauca,Pacífica,162.8,Local,3.476544,-76.543837,2025A,33.8,166.63
187,arroz,Arauca,Orinoquía,256.2,Corteva,7.239358,-70.905059,2024A,36.7,245.89
188,soya,Tolima,Andina,110.2,Bayer,3.917348,-74.939117,2024A,20.6,78.07
189,soya,Meta,Orinoquía,110.8,Bayer,2.857515,-73.16779,2024B,17.6,62.48
190,maíz,Valle del Cauca,Pacífica,163.2,Local,4.129582,-76.519273,2025A,16.2,77.11
191,maíz,Meta,Orinoquía,190.8,Syngenta,3.321778,-72.94379,2025A,30.4,200.34
192,arroz,Cesar,Caribe,224.0,Local,9.361876,-73.719358,2023B,26.3,167.0
193,arroz,Meta,Orinoquía,226.5,Agrosavia,3.505786,-73.264265,2025A,23.2,139.2
194,maíz,Arauca,Orinoquía,164.3,Bayer,7.263289,-70.897923,2023B,37.0,211.64
195,maíz,Cesar,Caribe,199.9,Syngenta,9.557733,-73.758604,2024A,28.0,158.2
196,maíz,Nariño,Pacífica,198.5,Syngenta,1.564324,-77.26649,2023B,15.6,81.59
197,maíz,Bolívar,Caribe,212.4,Bayer,8.439766,-74.342791,2024A,17.2,93.05
198,maíz,Cesar,Caribe,137.2,Syngenta,9.392633,-73.506767,2025A,30.8,139.22
199,maíz,Córdoba,Caribe,210.1,Agrosavia,8.267772,-75.599208,2023A,34.4,162.37
200,maíz,Sucre,Caribe,174.6,Local,9.187356,-75.492951,2024B,29.5,133.93
201,maíz,Casanare,Orinoquía,208.4,Local,5.417048,-71.558283,2024B,43.0,251.55
202,maíz,Santander,Andina,219.7,Local,6.423326,-73.691224,2023A,40.4,206.04
203,arroz,Arauca,Orinoquía,186.6,Local,6.991365,-70.96154,2023B,28.4,169.83
204,maíz,Arauca,Orinoquía,177.3,Bayer,7.159516,-70.921449,2024B,15.6,85.64
205,maíz,Córdoba,Caribe,171.9,Agrosavia,7.672358,-75.46797,2023B,10.9,46.98
206,maíz,Santander,Andina,198.0,Corteva,6.544366,-73.193124,2025A,20.1,124.42
207,arroz,Cesar,Caribe,288.5,Local,9.509459,-73.766062,2025A,31.5,212.62
208,maíz,Bolívar,Caribe,220.8,Bayer,8.79575,-73.858045,2023B,42.3,235.19
209,maíz,Arauca,Orinoquía,178.7,Corteva,7.059656,-70.675289,2023B,28.2,144.1
210,maíz,Sucre,Caribe,144.0,Agrosavia,9.638337,-75.178014,2024A,35.7,137.09
211,arroz,Meta,Orinoquía,239.6,Local,3.046397,-73.024944,2024B,21.5,114.38
212,soya,Valle del Cauca,Pacífica,99.2,Bayer,3.774332,-76.725187,2023B,30.2,123.22
213,maíz,Atlántico,Caribe,148.0,Syngenta,10.496546,-74.883396,2023A,32.2,167.44
214,maíz,Meta,Orinoquía,244.1,Syngenta,3.356379,-73.267409,2024A,4.2,26.5
215,maíz,Sucre,Caribe,194.1,Agrosavia,9.143958,-75.333896,2025A,19.9,88.36
216,arroz,Huila,Andina,213.2,Local,2.532054,-75.662198,2024A,33.5,178.56
217,arroz,Meta,Orinoquía,223.6,Agrosavia,2.95469,-73.272495,2024A,26.7,155.66
218,arroz,Atlántico,Caribe,217.4,Local,10.601371,-74.731132,2025A,12.0,53.64
219,soya,Tolima,Andina,82.4,Corteva,3.946984,-75.211248,2024B,3.0,10.89
220,arroz,Tolima,Andina,245.9,Syngenta,4.103602,-75.077313,2024B,20.3,129.31
221,maíz,Meta,Orinoquía,217.3,Corteva,3.044059,-73.098137,2024B,23.3,140.5
222,maíz,Caquetá,Amazonía,100.1,Local,1.984749,-75.602457,2025A,15.2,55.94
223,soya,Arauca,Orinoquía,88.7,Bayer,6.956374,-70.853578,2024B,25.4,90.42
224,maíz,Córdoba,Caribe,185.2,Local,7.767926,-75.41504,2025A,29.1,127.75
225,maíz,Santander,Andina,200.9,Bayer,6.879405,-73.755866,2024B,30.7,182.66
226,maíz,Nariño,Pacífica,200.6,Local,1.483609,-77.438418,2024B,3.0,16.11
227,maíz,Caquetá,Amazonía,241.3,Bayer,1.764485,-75.683196,2023B,10.9,66.05
228,soya,Caquetá,Amazonía,88.3,Agrosavia,1.442478,-75.529952,2023B,21.0,46.41
229,maíz,Valle del Cauca,Pacífica,204.2,Bayer,3.801946,-76.59359,2025A,29.7,197.5
230,maíz,Magdalena,Caribe,194.5,Syngenta,10.625029,-73.939579,2023B,28.9,165.02
231,maíz,Sucre,Caribe,176.4,Bayer,9.359355,-75.072382,2024B,28.7,150.96
232,soya,Córdoba,Caribe,81.3,Local,8.282759,-75.578116,2023B,20.2,37.37
233,arroz,Córdoba,Caribe,189.8,Local,7.683959,-75.436554,2025A,20.7,97.5
234,maíz,Cesar,Caribe,217.1,Local,9.174634,-73.595215,2023A,16.7,82.33
235,maíz,Magdalena,Caribe,168.1,Local,10.551256,-74.158044,2025A,31.7,131.24
236,soya,Casanare,Orinoquía,130.3,Bayer,5.822013,-71.484346,2024B,14.8,60.09
237,maíz,Arauca,Orinoquía,209.1,Syngenta,7.111025,-71.068578,2023B,32.5,172.25
238,maíz,Atlántico,Caribe,125.5,Corteva,10.756356,-74.83981,2024A,26.1,113.01
239,maíz,Córdoba,Caribe,204.8,Corteva,7.954484,-75.455311,2023B,23.5,136.54
240,maíz,Meta,Orinoquía,184.1,Corteva,3.268504,-73.142272,2023B,17.4,102.49
241,maíz,Córdoba,Caribe,223.3,Corteva,8.211144,-75.411556,2024A,10.4,60.22
242,arroz,Tolima,Andina,239.9,Syngenta,3.925576,-75.111594,2023A,17.5,127.75
243,maíz,Meta,Orinoquía,232.7,Corteva,3.148172,-72.82237,2025A,20.7,118.82
244,maíz,Cesar,Caribe,196.1,Corteva,9.632494,-73.520017,2023A,3.0,17.97
245,maíz,Huila,Andina,174.9,Bayer,2.561701,-75.261466,2024B,22.0,122.1
246,maíz,Casanare,Orinoquía,210.9,Bayer,5.648782,-71.579067,2024A,33.2,190.24
247,arroz,Tolima,Andina,212.3,Agrosavia,4.173866,-75.377711,2024B,29.7,151.17
248,soya,Córdoba,Caribe,76.3,Local,8.290581,-75.911531,2024A,19.0,42.37
249,maíz,Caquetá,Amazonía,195.1,Bayer,1.633038,-75.995399,2024B,24.5,132.79
250,maíz,Atlántico,Caribe,146.7,Local,10.411456,-74.826017,2024B,18.4,57.96
251,soya,Cesar,Caribe,98.0,Local,9.209808,-73.591893,2024B,25.5,52.02
252,maíz,Valle del Cauca,Pacífica,184.7,Syngenta,3.814733,-76.681774,2023A,39.4,236.4
253,maíz,Caquetá,Amazonía,164.6,Local,1.65161,-75.469591,2024B,33.7,115.59
254,maíz,Atlántico,Caribe,163.3,Bayer,10.659139,-74.897237,2023B,29.2,142.79
255,arroz,Santander,Andina,154.4,Bayer,6.797683,-73.421882,2023A,19.1,113.84
256,maíz,Bolívar,Caribe,166.7,Corteva,8.549688,-73.779356,2024A,31.5,175.14
257,maíz,Bolívar,Caribe,177.5,Agrosavia,8.545626,-74.360418,2024A,7.1,28.68
258,maíz,Cesar,Caribe,205.6,Local,9.138273,-73.692286,2024A,21.5,99.76
259,maíz,Atlántico,Caribe,197.5,Syngenta,10.914997,-74.901209,2024B,29.8,134.1
260,maíz,Córdoba,Caribe,148.2,Local,8.044547,-75.523571,2023B,31.4,120.26
261,arroz,Magdalena,Caribe,209.3,Local,10.484967,-74.603366,2023B,30.7,159.95
262,maíz,Meta,Orinoquía,189.5,Syngenta,3.397452,-73.147788,2023A,26.9,158.71
263,maíz,Cesar,Caribe,138.8,Agrosavia,9.432512,-74.020613,2024B,22.0,81.18
264,soya,Tolima,Andina,122.8,Corteva,3.994819,-75.296301,2024B,29.4,86.14
265,arroz,Meta,Orinoquía,210.6,Bayer,3.445056,-73.41615,2024A,14.5,102.37
266,arroz,Tolima,Andina,140.0,Local,4.445003,-75.375819,2024B,15.6,84.24
267,arroz,Valle del Cauca,Pacífica,240.2,Syngenta,3.84876,-76.322859,2024A,24.6,176.14
268,soya,Atlántico,Caribe,90.3,Local,10.63007,-74.806222,2024A,25.7,55.26
269,maíz,Casanare,Orinoquía,187.4,Corteva,5.874062,-71.702948,2024A,5.7,32.09
270,maíz,Valle del Cauca,Pacífica,230.0,Syngenta,3.8523,-76.547498,2024B,28.6,185.9
271,maíz,Santander,Andina,223.4,Syngenta,6.619354,-73.472958,2024B,31.7,181.01
272,maíz,Casanare,Orinoquía,184.4,Agrosavia,5.96124,-71.401845,2023B,23.2,121.57
273,arroz,Magdalena,Caribe,268.9,Syngenta,10.288187,-74.50211,2023A,47.7,286.68
274,maíz,Meta,Orinoquía,198.8,Local,3.416074,-72.951928,2023B,17.2,95.29
275,maíz,Cesar,Caribe,155.3,Local,9.332975,-73.948848,2024B,20.4,79.36
276,arroz,Meta,Orinoquía,163.5,Bayer,3.272217,-73.234776,2025A,20.0,128.2
277,maíz,Arauca,Orinoquía,187.9,Bayer,6.946582,-70.604575,2024A,23.2,120.87
278,maíz,Caquetá,Amazonía,166.1,Agrosavia,1.253705,-75.491825,2023B,20.7,91.29
279,maíz,Nariño,Pacífica,154.7,Corteva,1.290634,-77.177232,2024B,9.9,47.92
280,maíz,Valle del Cauca,Pacífica,200.3,Corteva,3.625662,-76.555556,2025A,18.5,123.4
281,maíz,Santander,Andina,207.7,Bayer,6.313699,-73.658655,2025A,23.0,142.37
282,maíz,Tolima,Andina,179.1,Bayer,4.090826,-75.213521,2024B,36.3,212.72
283,arroz,Bolívar,Caribe,232.3,Syngenta,8.621264,-74.169957,2025A,46.0,306.82
284,maíz,Huila,Andina,206.0,Syngenta,2.511173,-75.457416,2023A,37.4,221.78
285,maíz,Meta,Orinoquía,203.3,Syngenta,3.366004,-73.234653,2023A,16.2,90.4
