DP,DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
8,Atlántico,2020,Total,2693665
8,Atlántico,2021,Cabecera,2601879
8,Atlántico,2021,Centros Poblados y Rural Disperso,139123
8,Atlántico,2021,Total,2741002
8,Atlántico,2022,Cabecera,2634865
8,Atlántico,2022,Centros Poblados y Rural Disperso,140093
8,Atlántico,2022,Total,2774958
8,Atlántico,2023,Cabecera,2662451
8,Atlántico,2023,Centros Poblados y Rural Disperso,141114
8,Atlántico,2023,Total,2803565
8,Atlántico,2024,Cabecera,2685141
8,Atlántico,2024,Centros Poblados y Rural Disperso,141983
8,Atlántico,2024,Total,2827124
8,Atlántico,2025,Cabecera,2702376
8,Atlántico,2025,Centros Poblados y Rural Disperso,142793
8,Atlántico,2025,Total,2845169
8,Atlántico,2026,Cabecera,2715635
8,Atlántico,2026,Centros Poblados y Rural Disperso,143504
8,Atlántico,2026,Total,2859139
8,Atlántico,2027,Cabecera,2726274
8,Atlántico,2027,Centros Poblados y Rural Disperso,144242
8,Atlántico,2027,Total,2870516
8,Atlántico,2028,Cabecera,2735164
8,Atlántico,2028,Centros Poblados y Rural Disperso,145041
8,Atlántico,2028,Total,2880205
8,Atlántico,2029,Cabecera,2743010
8,Atlántico,2029,Centros Poblados y Rural Disperso,145951
8,Atlántico,2029,Total,2888961
8,Atlántico,2030,Cabecera,2750423
8,Atlántico,2030,Centros Poblados y Rural Disperso,147000
8,Atlántico,2030,Total,2897423
8,Atlántico,2031,Cabecera,2757452
8,Atlántico,2031,Centros Poblados y Rural Disperso,148143
8,Atlántico,2031,Total,2905595
8,Atlántico,2032,Cabecera,2763872
8,Atlántico,2032,Centros Poblados y Rural Disperso,149293
8,Atlántico,2032,Total,2913165
8,Atlántico,2033,Cabecera,2769680
8,Atlántico,2033,Centros Poblados y Rural Disperso,150439
8,Atlántico,2033,Total,2920119
8,Atlántico,2034,Cabecera,2774895
8,Atlántico,2034,Centros Poblados y Rural Disperso,151582
8,Atlántico,2034,Total,2926477
8,Atlántico,2035,Cabecera,2779522
8,Atlántico,2035,Centros Poblados y Rural Disperso,152749
8,Atlántico,2035,Total,2932271
8,Atlántico,2036,Total,2937348
8,Atlántico,2037,Total,2941562
8,Atlántico,2038,Total,2944931
8,Atlántico,2039,Total,2947480
8,Atlántico,2040,Total,2949193
8,Atlántico,2041,Total,2950056
8,Atlántico,2042,Total,2950092
8,Atlántico,2043,Total,2949327
8,Atlántico,2044,Total,2947768
8,Atlántico,2045,Total,2945403
8,Atlántico,2046,Total,2942251
8,Atlántico,2047,Total,2938348
8,Atlántico,2048,Total,2933690
8,Atlántico,2049,Total,2928280
8,Atlántico,2050,Total,2922132
11,"Bogotá, D.C.",2020,Cabecera,7704034
11,"Bogotá, D.C.",2020,Centros Poblados y Rural Disperso,28127
11,"Bogotá, D.C.",2020,Total,7732161
11,"Bogotá, D.C.",2021,Cabecera,7793869
11,"Bogotá, D.C.",2021,Centros Poblados y Rural Disperso,29465
11,"Bogotá, D.C.",2021,Total,7823334
11,"Bogotá, D.C.",2022,Cabecera,7842853
11,"Bogotá, D.C.",2022,Centros Poblados y Rural Disperso,30463
11,"Bogotá, D.C.",2022,Total,7873316
11,"Bogotá, D.C.",2023,Cabecera,7875957
11,"Bogotá, D.C.",2023,Centros Poblados y Rural Disperso,31324
11,"Bogotá, D.C.",2023,Total,7907281
11,"Bogotá, D.C.",2024,Cabecera,7897503
11,"Bogotá, D.C.",2024,Centros Poblados y Rural Disperso,32036
11,"Bogotá, D.C.",2024,Total,7929539
11,"Bogotá, D.C.",2025,Cabecera,7905282
11,"Bogotá, D.C.",2025,Centros Poblados y Rural Disperso,32616
11,"Bogotá, D.C.",2025,Total,7937898
11,"Bogotá, D.C.",2026,Cabecera,7902685
11,"Bogotá, D.C.",2026,Centros Poblados y Rural Disperso,33069
11,"Bogotá, D.C.",2026,Total,7935754
11,"Bogotá, D.C.",2027,Cabecera,7894481
11,"Bogotá, D.C.",2027,Centros Poblados y Rural Disperso,33410
11,"Bogotá, D.C.",2027,Total,7927891
11,"Bogotá, D.C.",2028,Cabecera,7882730
11,"Bogotá, D.C.",2028,Centros Poblados y Rural Disperso,33639
11,"Bogotá, D.C.",2028,Total,7916369
11,"Bogotá, D.C.",2029,Cabecera,7869122
11,"Bogotá, D.C.",2029,Centros Poblados y Rural Disperso,33788
11,"Bogotá, D.C.",2029,Total,7902910
11,"Bogotá, D.C.",2030,Cabecera,7854979
11,"Bogotá, D.C.",2030,Centros Poblados y Rural Disperso,33859
11,"Bogotá, D.C.",2030,Total,7888838
11,"Bogotá, D.C.",2031,Cabecera,7840231
11,"Bogotá, D.C.",2031,Centros Poblados y Rural Disperso,33872
11,"Bogotá, D.C.",2031,Total,7874103
11,"Bogotá, D.C.",2032,Cabecera,7824205
11,"Bogotá, D.C.",2032,Centros Poblados y Rural Disperso,33881
11,"Bogotá, D.C.",2032,Total,7858086
11,"Bogotá, D.C.",2033,Cabecera,7806885
11,"Bogotá, D.C.",2033,Centros Poblados y Rural Disperso,33872
11,"Bogotá, D.C.",2033,Total,7840757
11,"Bogotá, D.C.",2034,Cabecera,7788301
11,"Bogotá, D.C.",2034,Centros Poblados y Rural Disperso,33844
11,"Bogotá, D.C.",2034,Total,7822145
11,"Bogotá, D.C.",2035,Cabecera,7768475
11,"Bogotá, D.C.",2035,Centros Poblados y Rural Disperso,33822
11,"Bogotá, D.C.",2035,Total,7802297
11,"Bogotá, D.C.",2036,Total,7781033
11,"Bogotá, D.C.",2037,Total,7758141
11,"Bogotá, D.C.",2038,Total,7733665
11,"Bogotá, D.C.",2039,Total,7707627
11,"Bogotá, D.C.",2040,Total,7680042
11,"Bogotá, D.C.",2041,Total,7650959
11,"Bogotá, D.C.",2042,Total,7620440
11,"Bogotá, D.C.",2043,Total,7588563
11,"Bogotá, D.C.",2044,Total,7555365
11,"Bogotá, D.C.",2045,Total,7520887
11,"Bogotá, D.C.",2046,Total,7485228
11,"Bogotá, D.C.",2047,Total,7448480
11,"Bogotá, D.C.",2048,Total,7410680
11,"Bogotá, D.C.",2049,Total,7371877
11,"Bogotá, D.C.",2050,Total,7332164
13,Bolívar,2020,Cabecera,1606341
13,Bolívar,2020,Centros Poblados y Rural Disperso,562953
13,Bolívar,2020,Total,2169294
13,Bolívar,2021,Cabecera,1624099
13,Bolívar,2021,Centros Poblados y Rural Disperso,578674
13,Bolívar,2021,Total,2202773
13,Bolívar,2022,Cabecera,1635733
13,Bolívar,2022,Centros Poblados y Rural Disperso,591451
13,Bolívar,2022,Total,2227184
13,Bolívar,2023,Cabecera,1644271
13,Bolívar,2023,Centros Poblados y Rural Disperso,603012
13,Bolívar,2023,Total,2247283
13,Bolívar,2024,Cabecera,1651875
13,Bolívar,2024,Centros Poblados y Rural Disperso,612648
13,Bolívar,2024,Total,2264523
13,Bolívar,2025,Cabecera,1657867
13,Bolívar,2025,Centros Poblados y Rural Disperso,620903
13,Bolívar,2025,Total,2278770
13,Bolívar,2026,Cabecera,1662490
13,Bolívar,2026,Centros Poblados y Rural Disperso,628248
13,Bolívar,2026,Total,2290738
13,Bolívar,2027,Cabecera,1666360
13,Bolívar,2027,Centros Poblados y Rural Disperso,634858
13,Bolívar,2027,Total,2301218
13,Bolívar,2028,Cabecera,1669760
13,Bolívar,2028,Centros Poblados y Rural Disperso,640877
13,Bolívar,2028,Total,2310637
13,Bolívar,2029,Cabecera,1672978
13,Bolívar,2029,Centros Poblados y Rural Disperso,646372
13,Bolívar,2029,Total,2319350
13,Bolívar,2030,Cabecera,1676243
13,Bolívar,2030,Centros Poblados y Rural Disperso,651473
13,Bolívar,2030,Total,2327716
13,Bolívar,2031,Cabecera,1679316
13,Bolívar,2031,Centros Poblados y Rural Disperso,656450
13,Bolívar,2031,Total,2335766
13,Bolívar,2032,Cabecera,1681983
13,Bolívar,2032,Centros Poblados y Rural Disperso,661322
13,Bolívar,2032,Total,2343305
13,Bolívar,2033,Cabecera,1684246
13,Bolívar,2033,Centros Poblados y Rural Disperso,666063
13,Bolívar,2033,Total,2350309
13,Bolívar,2034,Cabecera,1686095
13,Bolívar,2034,Centros Poblados y Rural Disperso,670713
13,Bolívar,2034,Total,2356808
13,Bolívar,2035,Cabecera,1687495
13,Bolívar,2035,Centros Poblados y Rural Disperso,675322
13,Bolívar,2035,Total,2362817
13,Bolívar,2036,Total,2368242
13,Bolívar,2037,Total,2372995
13,Bolívar,2038,Total,2377090
13,Bolívar,2039,Total,2380558
13,Bolívar,2040,Total,2383373
13,Bolívar,2041,Total,2385520
13,Bolívar,2042,Total,2387029
13,Bolívar,2043,Total,2387909
13,Bolívar,2044,Total,2388144
13,Bolívar,2045,Total,2387722
13,Bolívar,2046,Total,2386664
13,Bolívar,2047,Total,2384987
13,Bolívar,2048,Total,2382683
13,Bolívar,2049,Total,2379746
13,Bolívar,2050,Total,2376170
15,Boyacá,2020,Cabecera,742548
15,Boyacá,2020,Centros Poblados y Rural Disperso,514741
15,Boyacá,2020,Total,1257289
15,Boyacá,2021,Cabecera,758077
15,Boyacá,2021,Centros Poblados y Rural Disperso,513562
15,Boyacá,2021,Total,1271639
15,Boyacá,2022,Cabecera,772082
15,Boyacá,2022,Centros Poblados y Rural Disperso,512953
15,Boyacá,2022,Total,1285035
15,Boyacá,2023,Cabecera,786220
15,Boyacá,2023,Centros Poblados y Rural Disperso,512580
15,Boyacá,2023,Total,1298800
15,Boyacá,2024,Cabecera,798089
15,Boyacá,2024,Centros Poblados y Rural Disperso,513894
15,Boyacá,2024,Total,1311983
15,Boyacá,2025,Cabecera,808583
15,Boyacá,2025,Centros Poblados y Rural Disperso,515539
15,Boyacá,2025,Total,1324122
15,Boyacá,2026,Cabecera,817954
15,Boyacá,2026,Centros Poblados y Rural Disperso,517456
15,Boyacá,2026,Total,1335410
15,Boyacá,2027,Cabecera,826470
15,Boyacá,2027,Centros Poblados y Rural Disperso,519694
15,Boyacá,2027,Total,1346164
15,Boyacá,2028,Cabecera,834211
15,Boyacá,2028,Centros Poblados y Rural Disperso,522251
15,Boyacá,2028,Total,1356462
15,Boyacá,2029,Cabecera,841137
15,Boyacá,2029,Centros Poblados y Rural Disperso,525242
15,Boyacá,2029,Total,1366379
15,Boyacá,2030,Cabecera,847379
15,Boyacá,2030,Centros Poblados y Rural Disperso,528608
15,Boyacá,2030,Total,1375987
15,Boyacá,2031,Cabecera,853099
15,Boyacá,2031,Centros Poblados y Rural Disperso,532209
15,Boyacá,2031,Total,1385308
15,Boyacá,2032,Cabecera,858548
15,Boyacá,2032,Centros Poblados y Rural Disperso,535752
15,Boyacá,2032,Total,1394300
15,Boyacá,2033,Cabecera,863750
15,Boyacá,2033,Centros Poblados y Rural Disperso,539183
15,Boyacá,2033,Total,1402933
15,Boyacá,2034,Cabecera,868655
15,Boyacá,2034,Centros Poblados y Rural Disperso,542551
15,Boyacá,2034,Total,1411206
15,Boyacá,2035,Cabecera,873284
15,Boyacá,2035,Centros Poblados y Rural Disperso,545833
15,Boyacá,2035,Total,1419117
15,Boyacá,2036,Total,1426651
15,Boyacá,2037,Total,1433789
15,Boyacá,2038,Total,1440529
15,Boyacá,2039,Total,1446876
15,Boyacá,2040,Total,1452834
15,Boyacá,2041,Total,1458399
15,Boyacá,2042,Total,1463577
15,Boyacá,2043,Total,1468365
15,Boyacá,2044,Total,1472764
15,Boyacá,2045,Total,1476767
15,Boyacá,2046,Total,1480369
15,Boyacá,2047,Total,1483587
15,Boyacá,2048,Total,1486423
15,Boyacá,2049,Total,1488871
15,Boyacá,2050,Total,1490926
17,Caldas,2020,Cabecera,769688
17,Caldas,2020,Centros Poblados y Rural Disperso,251747
17,Caldas,2020,Total,1021435
17,Caldas,2021,Cabecera,780970
17,Caldas,2021,Centros Poblados y Rural Disperso,247665
17,Caldas,2021,Total,1028635
17,Caldas,2022,Cabecera,790023
17,Caldas,2022,Centros Poblados y Rural Disperso,244128
17,Caldas,2022,Total,1034151
17,Caldas,2023,Cabecera,798911
17,Caldas,2023,Centros Poblados y Rural Disperso,241373
17,Caldas,2023,Total,1040284
17,Caldas,2024,Cabecera,806309
17,Caldas,2024,Centros Poblados y Rural Disperso,239801
17,Caldas,2024,Total,1046110
17,Caldas,2025,Cabecera,812660
17,Caldas,2025,Centros Poblados y Rural Disperso,238622
17,Caldas,2025,Total,1051282
17,Caldas,2026,Cabecera,818170
17,Caldas,2026,Centros Poblados y Rural Disperso,237755
17,Caldas,2026,Total,1055925
17,Caldas,2027,Cabecera,822984
17,Caldas,2027,Centros Poblados y Rural Disperso,237261
17,Caldas,2027,Total,1060245
17,Caldas,2028,Cabecera,827210
17,Caldas,2028,Centros Poblados y Rural Disperso,237114
17,Caldas,2028,Total,1064324
17,Caldas,2029,Cabecera,830858
17,Caldas,2029,Centros Poblados y Rural Disperso,237360
17,Caldas,2029,Total,1068218
17,Caldas,2030,Cabecera,833942
17,Caldas,2030,Centros Poblados y Rural Disperso,238036
17,Caldas,2030,Total,1071978
17,Caldas,2031,Cabecera,836636
17,Caldas,2031,Centros Poblados y Rural Disperso,238962
17,Caldas,2031,Total,1075598
17,Caldas,2032,Cabecera,839176
17,Caldas,2032,Centros Poblados y Rural Disperso,239847
17,Caldas,2032,Total,1079023
17,Caldas,2033,Cabecera,841543
17,Caldas,2033,Centros Poblados y Rural Disperso,240698
17,Caldas,2033,Total,1082241
17,Caldas,2034,Cabecera,843718
17,Caldas,2034,Centros Poblados y Rural Disperso,241533
17,Caldas,2034,Total,1085251
17,Caldas,2035,Cabecera,845689
17,Caldas,2035,Centros Poblados y Rural Disperso,242349
17,Caldas,2035,Total,1088038
17,Caldas,2036,Total,1090575
17,Caldas,2037,Total,1092847
17,Caldas,2038,Total,1094856
17,Caldas,2039,Total,1096595
17,Caldas,2040,Total,1098062
17,Caldas,2041,Total,1099257
17,Caldas,2042,Total,1100185
17,Caldas,2043,Total,1100852
17,Caldas,2044,Total,1101268
17,Caldas,2045,Total,1101438
17,Caldas,2046,Total,1101369
17,Caldas,2047,Total,1101074
17,Caldas,2048,Total,1100556
17,Caldas,2049,Total,1099812
17,Caldas,2050,Total,1098853
18,Caquetá,2020,Cabecera,268652
18,Caquetá,2020,Centros Poblados y Rural Disperso,145036
18,Caquetá,2020,Total,413688
18,Caquetá,2021,Cabecera,272904
18,Caquetá,2021,Centros Poblados y Rural Disperso,145363
18,Caquetá,2021,Total,418267
18,Caquetá,2022,Cabecera,276155
18,Caquetá,2022,Centros Poblados y Rural Disperso,145642
18,Caquetá,2022,Total,421797
18,Caquetá,2023,Cabecera,278964
18,Caquetá,2023,Centros Poblados y Rural Disperso,146089
18,Caquetá,2023,Total,425053
18,Caquetá,2024,Cabecera,281414
18,Caquetá,2024,Centros Poblados y Rural Disperso,146748
18,Caquetá,2024,Total,428162
18,Caquetá,2025,Cabecera,283439
18,Caquetá,2025,Centros Poblados y Rural Disperso,147445
18,Caquetá,2025,Total,430884
18,Caquetá,2026,Cabecera,285050
18,Caquetá,2026,Centros Poblados y Rural Disperso,148197
18,Caquetá,2026,Total,433247
18,Caquetá,2027,Cabecera,286313
18,Caquetá,2027,Centros Poblados y Rural Disperso,149076
18,Caquetá,2027,Total,435389
18,Caquetá,2028,Cabecera,287290
18,Caquetá,2028,Centros Poblados y Rural Disperso,150036
18,Caquetá,2028,Total,437326
18,Caquetá,2029,Cabecera,287910
18,Caquetá,2029,Centros Poblados y Rural Disperso,151153
18,Caquetá,2029,Total,439063
18,Caquetá,2030,Cabecera,288223
18,Caquetá,2030,Centros Poblados y Rural Disperso,152401
18,Caquetá,2030,Total,440624
18,Caquetá,2031,Cabecera,288283
18,Caquetá,2031,Centros Poblados y Rural Disperso,153741
18,Caquetá,2031,Total,442024
18,Caquetá,2032,Cabecera,288272
18,Caquetá,2032,Centros Poblados y Rural Disperso,154986
18,Caquetá,2032,Total,443258
18,Caquetá,2033,Cabecera,288114
18,Caquetá,2033,Centros Poblados y Rural Disperso,156210
18,Caquetá,2033,Total,444324
18,Caquetá,2034,Cabecera,287825
18,Caquetá,2034,Centros Poblados y Rural Disperso,157394
18,Caquetá,2034,Total,445219
18,Caquetá,2035,Cabecera,287422
18,Caquetá,2035,Centros Poblados y Rural Disperso,158520
18,Caquetá,2035,Total,445942
18,Caquetá,2036,Total,446498
18,Caquetá,2037,Total,446878
18,Caquetá,2038,Total,447076
18,Caquetá,2039,Total,447099
18,Caquetá,2040,Total,446952
18,Caquetá,2041,Total,446629
18,Caquetá,2042,Total,446137
18,Caquetá,2043,Total,445482
18,Caquetá,2044,Total,444663
18,Caquetá,2045,Total,443679
18,Caquetá,2046,Total,442531
18,Caquetá,2047,Total,441230
18,Caquetá,2048,Total,439779
18,Caquetá,2049,Total,438174
18,Caquetá,2050,Total,436416
19,Cauca,2020,Cabecera,551920
19,Cauca,2020,Centros Poblados y Rural Disperso,956141
19,Cauca,2020,Total,1508061
19,Cauca,2021,Cabecera,553237
19,Cauca,2021,Centros Poblados y Rural Disperso,972047
19,Cauca,2021,Total,1525284
19,Cauca,2022,Cabecera,554157
19,Cauca,2022,Centros Poblados y Rural Disperso,987108
19,Cauca,2022,Total,1541265
19,Cauca,2023,Cabecera,555626
19,Cauca,2023,Centros Poblados y Rural Disperso,1002419
19,Cauca,2023,Total,1558045
19,Cauca,2024,Cabecera,558270
19,Cauca,2024,Centros Poblados y Rural Disperso,1016236
19,Cauca,2024,Total,1574506
19,Cauca,2025,Cabecera,561251
19,Cauca,2025,Centros Poblados y Rural Disperso,1028920
19,Cauca,2025,Total,1590171
19,Cauca,2026,Cabecera,564311
19,Cauca,2026,Centros Poblados y Rural Disperso,1040834
19,Cauca,2026,Total,1605145
19,Cauca,2027,Cabecera,567480
19,Cauca,2027,Centros Poblados y Rural Disperso,1052188
19,Cauca,2027,Total,1619668
19,Cauca,2028,Cabecera,570699
19,Cauca,2028,Centros Poblados y Rural Disperso,1063088
19,Cauca,2028,Total,1633787
19,Cauca,2029,Cabecera,573997
19,Cauca,2029,Centros Poblados y Rural Disperso,1073551
19,Cauca,2029,Total,1647548
19,Cauca,2030,Cabecera,577458
19,Cauca,2030,Centros Poblados y Rural Disperso,1083516
19,Cauca,2030,Total,1660974
19,Cauca,2031,Cabecera,580800
19,Cauca,2031,Centros Poblados y Rural Disperso,1093256
19,Cauca,2031,Total,1674056
19,Cauca,2032,Cabecera,583998
19,Cauca,2032,Centros Poblados y Rural Disperso,1102765
19,Cauca,2032,Total,1686763
19,Cauca,2033,Cabecera,587030
19,Cauca,2033,Centros Poblados y Rural Disperso,1112057
19,Cauca,2033,Total,1699087
19,Cauca,2034,Cabecera,589914
19,Cauca,2034,Centros Poblados y Rural Disperso,1121104
19,Cauca,2034,Total,1711018
19,Cauca,2035,Cabecera,592657
19,Cauca,2035,Centros Poblados y Rural Disperso,1129879
19,Cauca,2035,Total,1722536
19,Cauca,2036,Total,1733619
19,Cauca,2037,Total,1744245
19,Cauca,2038,Total,1754418
19,Cauca,2039,Total,1764126
19,Cauca,2040,Total,1773345
19,Cauca,2041,Total,1782087
19,Cauca,2042,Total,1790362
19,Cauca,2043,Total,1798162
19,Cauca,2044,Total,1805489
19,Cauca,2045,Total,1812341
19,Cauca,2046,Total,1818727
19,Cauca,2047,Total,1824649
19,Cauca,2048,Total,1830107
19,Cauca,2049,Total,1835097
19,Cauca,2050,Total,1839610
20,Cesar,2020,Cabecera,969600
20,Cesar,2020,Centros Poblados y Rural Disperso,321319
20,Cesar,2020,Total,1290919
20,Cesar,2021,Cabecera,992155
20,Cesar,2021,Centros Poblados y Rural Disperso,330223
20,Cesar,2021,Total,1322378
20,Cesar,2022,Cabecera,1010938
20,Cesar,2022,Centros Poblados y Rural Disperso,338224
20,Cesar,2022,Total,1349162
20,Cesar,2023,Cabecera,1028048
20,Cesar,2023,Centros Poblados y Rural Disperso,345533
20,Cesar,2023,Total,1373581
20,Cesar,2024,Cabecera,1043435
20,Cesar,2024,Centros Poblados y Rural Disperso,352051
20,Cesar,2024,Total,1395486
20,Cesar,2025,Cabecera,1056928
20,Cesar,2025,Centros Poblados y Rural Disperso,357931
20,Cesar,2025,Total,1414859
20,Cesar,2026,Cabecera,1069034
20,Cesar,2026,Centros Poblados y Rural Disperso,363304
20,Cesar,2026,Total,1432338
20,Cesar,2027,Cabecera,1080177
20,Cesar,2027,Centros Poblados y Rural Disperso,368376
20,Cesar,2027,Total,1448553
20,Cesar,2028,Cabecera,1090663
20,Cesar,2028,Centros Poblados y Rural Disperso,373215
20,Cesar,2028,Total,1463878
20,Cesar,2029,Cabecera,1100734
20,Cesar,2029,Centros Poblados y Rural Disperso,377898
20,Cesar,2029,Total,1478632
20,Cesar,2030,Cabecera,1110566
20,Cesar,2030,Centros Poblados y Rural Disperso,382551
20,Cesar,2030,Total,1493117
20,Cesar,2031,Cabecera,1120161
20,Cesar,2031,Centros Poblados y Rural Disperso,387201
20,Cesar,2031,Total,1507362
20,Cesar,2032,Cabecera,1129460
20,Cesar,2032,Centros Poblados y Rural Disperso,391773
20,Cesar,2032,Total,1521233
20,Cesar,2033,Cabecera,1138417
20,Cesar,2033,Centros Poblados y Rural Disperso,396298
20,Cesar,2033,Total,1534715
20,Cesar,2034,Cabecera,1147069
20,Cesar,2034,Centros Poblados y Rural Disperso,400748
20,Cesar,2034,Total,1547817
20,Cesar,2035,Cabecera,1155380
20,Cesar,2035,Centros Poblados y Rural Disperso,405180
20,Cesar,2035,Total,1560560
20,Cesar,2036,Total,1572887
20,Cesar,2037,Total,1584725
20,Cesar,2038,Total,1596081
20,Cesar,2039,Total,1606977
20,Cesar,2040,Total,1617399
20,Cesar,2041,Total,1627346
20,Cesar,2042,Total,1636840
20,Cesar,2043,Total,1645891
20,Cesar,2044,Total,1654484
20,Cesar,2045,Total,1662605
20,Cesar,2046,Total,1670272
20,Cesar,2047,Total,1677498
20,Cesar,2048,Total,1684267
20,Cesar,2049,Total,1690576
20,Cesar,2050,Total,1696420
23,Córdoba,2020,Cabecera,957601
23,Córdoba,2020,Centros Poblados y Rural Disperso,884984
23,Córdoba,2020,Total,1842585
23,Córdoba,2021,Cabecera,964198
23,Córdoba,2021,Centros Poblados y Rural Disperso,900138
23,Córdoba,2021,Total,1864336
23,Córdoba,2022,Cabecera,969074
23,Córdoba,2022,Centros Poblados y Rural Disperso,913137
23,Córdoba,2022,Total,1882211
23,Córdoba,2023,Cabecera,973453
23,Córdoba,2023,Centros Poblados y Rural Disperso,925458
23,Córdoba,2023,Total,1898911
23,Córdoba,2024,Cabecera,978040
23,Córdoba,2024,Centros Poblados y Rural Disperso,936738
23,Córdoba,2024,Total,1914778
23,Córdoba,2025,Cabecera,982243
23,Córdoba,2025,Centros Poblados y Rural Disperso,947093
23,Córdoba,2025,Total,1929336
23,Córdoba,2026,Cabecera,986097
23,Córdoba,2026,Centros Poblados y Rural Disperso,956699
23,Córdoba,2026,Total,1942796
23,Córdoba,2027,Cabecera,989718
23,Córdoba,2027,Centros Poblados y Rural Disperso,965762
23,Córdoba,2027,Total,1955480
23,Córdoba,2028,Cabecera,993230
23,Córdoba,2028,Centros Poblados y Rural Disperso,974269
23,Córdoba,2028,Total,1967499
23,Córdoba,2029,Cabecera,996594
23,Córdoba,2029,Centros Poblados y Rural Disperso,982339
23,Córdoba,2029,Total,1978933
23,Córdoba,2030,Cabecera,999873
23,Córdoba,2030,Centros Poblados y Rural Disperso,990052
23,Córdoba,2030,Total,1989925
23,Córdoba,2031,Cabecera,1003019
23,Córdoba,2031,Centros Poblados y Rural Disperso,997495
23,Córdoba,2031,Total,2000514
23,Córdoba,2032,Cabecera,1005860
23,Córdoba,2032,Centros Poblados y Rural Disperso,1004769
23,Córdoba,2032,Total,2010629
23,Córdoba,2033,Cabecera,1008332
23,Córdoba,2033,Centros Poblados y Rural Disperso,1011911
23,Córdoba,2033,Total,2020243
23,Córdoba,2034,Cabecera,1010474
23,Córdoba,2034,Centros Poblados y Rural Disperso,1018893
23,Córdoba,2034,Total,2029367
23,Córdoba,2035,Cabecera,1012312
23,Córdoba,2035,Centros Poblados y Rural Disperso,1025702
23,Córdoba,2035,Total,2038014
23,Córdoba,2036,Total,2046146
23,Córdoba,2037,Total,2053721
23,Córdoba,2038,Total,2060743
23,Córdoba,2039,Total,2067216
23,Córdoba,2040,Total,2073125
23,Córdoba,2041,Total,2078467
23,Córdoba,2042,Total,2083253
23,Córdoba,2043,Total,2087494
23,Córdoba,2044,Total,2091177
23,Córdoba,2045,Total,2094291
23,Córdoba,2046,Total,2096836
23,Córdoba,2047,Total,2098816
23,Córdoba,2048,Total,2100228
23,Córdoba,2049,Total,2101073
23,Córdoba,2050,Total,2101344
25,Cundinamarca,2020,Cabecera,2316850
25,Cundinamarca,2020,Centros Poblados y Rural Disperso,831104
25,Cundinamarca,2020,Total,3147954
