order_id,branch,driver_id,received_datetime,assigned_datetime,completed_datetime
ORD017212,Cedritos,CED_D07,2026-01-01 16:16:46,2026-01-01 16:18:15,2026-01-01 16:33:30
ORD017213,Cedritos,CED_D06,2026-01-01 16:39:26,2026-01-01 16:41:05,2026-01-01 17:11:44
ORD017214,Cedritos,CED_D01,2026-01-01 16:42:26,2026-01-01 16:44:33,2026-01-01 17:14:33
ORD017215,Cedritos,CED_D04,2026-01-01 17:26:05,2026-01-01 17:27:40,2026-01-01 17:50:24
ORD017216,Cedritos,CED_D03,2026-01-01 17:29:02,2026-01-01 17:30:19,2026-01-01 17:53:46
ORD017217,Cedritos,CED_D07,2026-01-01 17:52:18,2026-01-01 17:54:17,2026-01-01 18:19:11
ORD017218,Cedritos,CED_D02,2026-01-01 18:03:46,2026-01-01 18:05:59,2026-01-01 18:38:38
ORD017219,Cedritos,CED_D05,2026-01-01 18:06:13,2026-01-01 18:07:16,2026-01-01 18:32:48
ORD017220,Cedritos,CED_D06,2026-01-01 18:23:54,2026-01-01 18:25:45,2026-01-01 18:49:24
ORD017221,Cedritos,CED_D01,2026-01-01 18:25:55,2026-01-01 18:27:05,2026-01-01 18:58:27
ORD017222,Cedritos,CED_D04,2026-01-01 18:29:53,2026-01-01 18:33:03,2026-01-01 18:55:46
ORD017223,Cedritos,CED_D03,2026-01-01 18:31:05,2026-01-01 18:32:40,2026-01-01 18:57:58
ORD017224,Cedritos,CED_D07,2026-01-01 18:34:27,2026-01-01 18:36:22,2026-01-01 19:09:19
ORD017225,Cedritos,CED_D05,2026-01-01 18:41:51,2026-01-01 18:44:55,2026-01-01 19:10:31
ORD017226,Cedritos,CED_D02,2026-01-01 18:43:34,2026-01-01 18:44:56,2026-01-01 19:10:53
ORD017227,Cedritos,CED_D06,2026-01-01 19:00:21,2026-01-01 19:03:23,2026-01-01 19:24:02
ORD017228,Cedritos,CED_D04,2026-01-01 19:02:07,2026-01-01 19:05:48,2026-01-01 19:41:36
ORD017229,Cedritos,CED_D03,2026-01-01 19:08:24,2026-01-01 19:11:33,2026-01-01 20:03:03
ORD017230,Cedritos,CED_D01,2026-01-01 19:20:06,2026-01-01 19:23:30,2026-01-01 19:53:55
ORD017231,Cedritos,CED_D07,2026-01-01 19:20:57,2026-01-01 19:23:49,2026-01-01 19:47:11
ORD017232,Cedritos,CED_D05,2026-01-01 19:22:04,2026-01-01 19:23:22,2026-01-01 19:47:26
ORD017233,Cedritos,CED_D02,2026-01-01 19:22:37,2026-01-01 19:24:46,2026-01-01 19:56:56
ORD017234,Cedritos,CED_D06,2026-01-01 19:25:04,2026-01-01 19:26:43,2026-01-01 19:42:59
ORD017235,Cedritos,CED_D04,2026-01-01 19:26:07,2026-01-01 19:43:16,2026-01-01 20:13:42
ORD017236,Cedritos,CED_D06,2026-01-01 19:43:20,2026-01-01 19:44:52,2026-01-01 20:10:07
ORD017237,Cedritos,CED_D07,2026-01-01 19:52:55,2026-01-01 19:54:39,2026-01-01 20:24:43
ORD017238,Cedritos,CED_D05,2026-01-01 20:10:53,2026-01-01 20:14:42,2026-01-01 20:37:17
ORD017239,Cedritos,CED_D01,2026-01-01 20:20:55,2026-01-01 20:24:19,2026-01-01 20:54:25
ORD017240,Cedritos,CED_D02,2026-01-01 20:21:46,2026-01-01 20:22:50,2026-01-01 20:57:41
ORD017241,Cedritos,CED_D03,2026-01-01 20:28:18,2026-01-01 20:31:25,2026-01-01 21:13:29
ORD017242,Cedritos,CED_D06,2026-01-01 20:33:57,2026-01-01 20:36:56,2026-01-01 21:06:04
ORD017243,Cedritos,CED_D04,2026-01-01 20:40:35,2026-01-01 20:42:00,2026-01-01 21:21:12
ORD017244,Cedritos,CED_D07,2026-01-01 21:01:37,2026-01-01 21:03:16,2026-01-01 21:23:11
ORD017245,Cedritos,CED_D05,2026-01-01 21:15:49,2026-01-01 21:17:38,2026-01-01 21:38:05
ORD017246,Cedritos,CED_D01,2026-01-01 21:18:44,2026-01-01 21:21:22,2026-01-01 21:41:37
ORD017247,Cedritos,CED_D02,2026-01-01 21:22:17,2026-01-01 21:23:55,2026-01-01 21:41:11
ORD017248,Cedritos,CED_D06,2026-01-01 21:25:59,2026-01-01 21:29:57,2026-01-01 22:06:08
ORD017249,Cedritos,CED_D03,2026-01-01 21:27:26,2026-01-01 21:30:51,2026-01-01 21:56:16
ORD017250,Cedritos,CED_D04,2026-01-01 21:30:38,2026-01-01 21:34:25,2026-01-01 22:00:17
ORD017251,Cedritos,CED_D07,2026-01-01 21:42:56,2026-01-01 21:44:23,2026-01-01 22:08:00
ORD017252,Cedritos,CED_D05,2026-01-01 21:43:18,2026-01-01 21:44:42,2026-01-01 22:18:43
ORD017253,Cedritos,CED_D02,2026-01-01 21:47:11,2026-01-01 21:48:21,2026-01-01 22:18:28
ORD017254,Cedritos,CED_D01,2026-01-02 11:58:58,2026-01-02 12:00:31,2026-01-02 12:36:26
ORD017255,Cedritos,CED_D03,2026-01-02 12:02:07,2026-01-02 12:05:39,2026-01-02 12:43:34
ORD017256,Cedritos,CED_D04,2026-01-02 12:05:29,2026-01-02 12:08:55,2026-01-02 12:54:28
ORD017257,Cedritos,CED_D06,2026-01-02 12:08:26,2026-01-02 12:10:38,2026-01-02 12:39:38
ORD017258,Cedritos,CED_D07,2026-01-02 12:24:20,2026-01-02 12:28:10,2026-01-02 12:52:55
ORD017259,Cedritos,CED_D02,2026-01-02 12:27:23,2026-01-02 12:28:58,2026-01-02 12:53:52
ORD017260,Cedritos,CED_D05,2026-01-02 12:36:43,2026-01-02 12:39:19,2026-01-02 12:54:38
ORD017261,Cedritos,CED_D01,2026-01-02 12:40:31,2026-01-02 12:43:52,2026-01-02 13:08:48
ORD017262,Cedritos,CED_D06,2026-01-02 12:58:10,2026-01-02 13:01:05,2026-01-02 13:24:02
ORD017263,Cedritos,CED_D03,2026-01-02 13:02:52,2026-01-02 13:05:30,2026-01-02 13:46:52
ORD017264,Cedritos,CED_D07,2026-01-02 13:22:06,2026-01-02 13:24:49,2026-01-02 13:50:50
ORD017265,Cedritos,CED_D02,2026-01-02 13:25:54,2026-01-02 13:29:12,2026-01-02 14:29:12
ORD017266,Cedritos,CED_D04,2026-01-02 13:28:01,2026-01-02 13:30:43,2026-01-02 14:00:12
ORD017267,Cedritos,CED_D05,2026-01-02 13:53:32,2026-01-02 13:55:56,2026-01-02 14:28:22
ORD017268,Cedritos,CED_D01,2026-01-02 13:54:36,2026-01-02 13:58:12,2026-01-02 14:16:49
ORD017269,Cedritos,CED_D06,2026-01-02 13:54:37,2026-01-02 13:57:38,2026-01-02 14:25:05
ORD017270,Cedritos,CED_D03,2026-01-02 13:58:51,2026-01-02 14:02:22,2026-01-02 14:29:06
ORD017271,Cedritos,CED_D07,2026-01-02 14:00:43,2026-01-02 14:02:50,2026-01-02 14:34:56
ORD017272,Cedritos,CED_D04,2026-01-02 14:06:30,2026-01-02 14:09:46,2026-01-02 14:33:47
ORD017273,Cedritos,CED_D01,2026-01-02 14:07:51,2026-01-02 14:18:27,2026-01-02 14:47:42
ORD017274,Cedritos,CED_D06,2026-01-02 14:25:24,2026-01-02 14:27:19,2026-01-02 15:02:18
ORD017275,Cedritos,CED_D05,2026-01-02 14:26:24,2026-01-02 14:29:53,2026-01-02 14:56:05
ORD017276,Cedritos,CED_D03,2026-01-02 14:53:37,2026-01-02 14:57:19,2026-01-02 15:24:25
ORD017277,Cedritos,CED_D02,2026-01-02 15:08:35,2026-01-02 15:10:17,2026-01-02 15:47:12
ORD017278,Cedritos,CED_D04,2026-01-02 15:19:44,2026-01-02 15:22:30,2026-01-02 15:43:26
ORD017279,Cedritos,CED_D07,2026-01-02 15:31:43,2026-01-02 15:33:00,2026-01-02 16:14:30
ORD017280,Cedritos,CED_D01,2026-01-02 15:32:35,2026-01-02 15:34:09,2026-01-02 16:02:25
ORD017281,Cedritos,CED_D05,2026-01-02 15:45:16,2026-01-02 15:48:06,2026-01-02 16:14:55
ORD017282,Cedritos,CED_D06,2026-01-02 15:56:18,2026-01-02 15:59:10,2026-01-02 16:22:36
ORD017283,Cedritos,CED_D03,2026-01-02 15:58:21,2026-01-02 15:59:32,2026-01-02 16:17:45
ORD017284,Cedritos,CED_D04,2026-01-02 16:01:14,2026-01-02 16:03:57,2026-01-02 16:38:35
ORD017285,Cedritos,CED_D02,2026-01-02 16:10:20,2026-01-02 16:12:28,2026-01-02 16:31:27
ORD017286,Cedritos,CED_D01,2026-01-02 16:20:54,2026-01-02 16:23:23,2026-01-02 16:58:08
ORD017287,Cedritos,CED_D07,2026-01-02 16:29:01,2026-01-02 16:30:55,2026-01-02 16:54:46
ORD017288,Cedritos,CED_D05,2026-01-02 16:37:53,2026-01-02 16:39:54,2026-01-02 17:02:27
ORD017289,Cedritos,CED_D03,2026-01-02 17:07:01,2026-01-02 17:09:51,2026-01-02 17:40:08
ORD017290,Cedritos,CED_D06,2026-01-02 17:13:50,2026-01-02 17:15:38,2026-01-02 17:36:42
ORD017291,Cedritos,CED_D02,2026-01-02 17:20:54,2026-01-02 17:23:49,2026-01-02 17:55:50
ORD017292,Cedritos,CED_D04,2026-01-02 17:21:57,2026-01-02 17:23:12,2026-01-02 17:47:56
ORD017293,Cedritos,CED_D07,2026-01-02 17:35:08,2026-01-02 17:38:07,2026-01-02 18:07:17
ORD017294,Cedritos,CED_D01,2026-01-02 17:53:03,2026-01-02 17:54:29,2026-01-02 18:15:07
ORD017295,Cedritos,CED_D05,2026-01-02 17:53:56,2026-01-02 17:56:58,2026-01-02 18:23:40
ORD017296,Cedritos,CED_D06,2026-01-02 18:19:36,2026-01-02 18:22:49,2026-01-02 18:51:27
ORD017297,Cedritos,CED_D03,2026-01-02 18:24:12,2026-01-02 18:26:11,2026-01-02 18:45:17
ORD017298,Cedritos,CED_D04,2026-01-02 18:24:35,2026-01-02 18:27:57,2026-01-02 18:52:49
ORD017299,Cedritos,CED_D02,2026-01-02 18:32:46,2026-01-02 18:35:50,2026-01-02 18:56:35
ORD017300,Cedritos,CED_D07,2026-01-02 18:47:56,2026-01-02 18:51:03,2026-01-02 19:21:50
ORD017301,Cedritos,CED_D01,2026-01-02 18:48:08,2026-01-02 18:49:51,2026-01-02 19:19:40
ORD017302,Cedritos,CED_D05,2026-01-02 18:50:26,2026-01-02 18:51:40,2026-01-02 19:12:25
ORD017303,Cedritos,CED_D03,2026-01-02 18:59:02,2026-01-02 19:02:31,2026-01-02 19:29:47
ORD017304,Cedritos,CED_D06,2026-01-02 19:13:05,2026-01-02 19:16:46,2026-01-02 20:11:20
ORD017305,Cedritos,CED_D04,2026-01-02 19:15:24,2026-01-02 19:18:30,2026-01-02 19:40:28
ORD017306,Cedritos,CED_D02,2026-01-02 19:20:32,2026-01-02 19:23:34,2026-01-02 19:53:17
ORD017307,Cedritos,CED_D05,2026-01-02 19:21:31,2026-01-02 19:23:35,2026-01-02 19:45:07
ORD017308,Cedritos,CED_D01,2026-01-02 19:33:13,2026-01-02 19:34:32,2026-01-02 20:00:18
ORD017309,Cedritos,CED_D07,2026-01-02 19:49:43,2026-01-02 19:53:23,2026-01-02 20:19:16
ORD017310,Cedritos,CED_D03,2026-01-02 19:51:24,2026-01-02 19:52:42,2026-01-02 20:17:35
ORD017311,Cedritos,CED_D04,2026-01-02 19:53:36,2026-01-02 19:56:49,2026-01-02 20:20:17
ORD017312,Cedritos,CED_D05,2026-01-02 19:55:02,2026-01-02 19:56:26,2026-01-02 20:17:23
ORD017313,Cedritos,CED_D02,2026-01-02 19:57:52,2026-01-02 19:59:21,2026-01-02 20:26:02
ORD017314,Cedritos,CED_D01,2026-01-02 19:58:58,2026-01-02 20:01:22,2026-01-02 20:22:46
ORD017315,Cedritos,CED_D06,2026-01-02 20:00:13,2026-01-02 20:12:44,2026-01-02 20:31:37
ORD017316,Cedritos,CED_D05,2026-01-02 20:16:30,2026-01-02 20:18:34,2026-01-02 20:41:34
ORD017317,Cedritos,CED_D03,2026-01-02 20:28:25,2026-01-02 20:29:58,2026-01-02 20:56:20
ORD017318,Cedritos,CED_D07,2026-01-02 20:29:46,2026-01-02 20:33:17,2026-01-02 21:05:31
ORD017319,Cedritos,CED_D04,2026-01-02 20:32:40,2026-01-02 20:36:38,2026-01-02 21:12:26
ORD017320,Cedritos,CED_D01,2026-01-02 20:34:02,2026-01-02 20:36:49,2026-01-02 21:12:19
ORD017321,Cedritos,CED_D02,2026-01-02 20:37:35,2026-01-02 20:41:34,2026-01-02 21:31:36
ORD017322,Cedritos,CED_D06,2026-01-02 20:42:45,2026-01-02 20:46:42,2026-01-02 21:04:21
ORD017323,Cedritos,CED_D05,2026-01-02 20:45:04,2026-01-02 20:48:22,2026-01-02 21:15:48
ORD017324,Cedritos,CED_D03,2026-01-02 20:48:27,2026-01-02 20:57:45,2026-01-02 21:29:51
ORD017325,Cedritos,CED_D06,2026-01-02 21:02:41,2026-01-02 21:05:43,2026-01-02 21:46:59
ORD017326,Cedritos,CED_D07,2026-01-02 21:15:19,2026-01-02 21:17:25,2026-01-02 21:51:53
ORD017327,Cedritos,CED_D01,2026-01-02 21:17:12,2026-01-02 21:21:08,2026-01-02 21:47:18
ORD017328,Cedritos,CED_D04,2026-01-02 21:22:53,2026-01-02 21:24:07,2026-01-02 21:48:29
ORD017329,Cedritos,CED_D05,2026-01-02 21:30:23,2026-01-02 21:32:40,2026-01-02 21:57:38
ORD017330,Cedritos,CED_D03,2026-01-02 21:36:10,2026-01-02 21:38:18,2026-01-02 22:06:52
ORD017331,Cedritos,CED_D02,2026-01-02 21:38:24,2026-01-02 21:39:32,2026-01-02 22:18:25
ORD017332,Cedritos,CED_D06,2026-01-03 11:10:36,2026-01-03 11:11:44,2026-01-03 11:43:34
ORD017333,Cedritos,CED_D01,2026-01-03 11:29:20,2026-01-03 11:30:39,2026-01-03 12:00:29
ORD017334,Cedritos,CED_D04,2026-01-03 11:35:27,2026-01-03 11:37:19,2026-01-03 11:59:25
ORD017335,Cedritos,CED_D07,2026-01-03 11:43:35,2026-01-03 11:46:58,2026-01-03 12:15:28
ORD017336,Cedritos,CED_D05,2026-01-03 11:49:52,2026-01-03 11:51:20,2026-01-03 12:22:06
ORD017337,Cedritos,CED_D03,2026-01-03 12:11:25,2026-01-03 12:13:05,2026-01-03 12:49:58
ORD017338,Cedritos,CED_D02,2026-01-03 12:29:20,2026-01-03 12:30:33,2026-01-03 13:02:42
ORD017339,Cedritos,CED_D06,2026-01-03 12:40:51,2026-01-03 12:44:30,2026-01-03 13:12:14
ORD017340,Cedritos,CED_D04,2026-01-03 12:41:41,2026-01-03 12:42:58,2026-01-03 13:17:23
ORD017341,Cedritos,CED_D01,2026-01-03 12:55:06,2026-01-03 12:56:41,2026-01-03 13:17:16
ORD017342,Cedritos,CED_D07,2026-01-03 13:00:04,2026-01-03 13:02:42,2026-01-03 13:28:51
ORD017343,Cedritos,CED_D05,2026-01-03 13:03:20,2026-01-03 13:07:09,2026-01-03 13:28:39
ORD017344,Cedritos,CED_D03,2026-01-03 13:04:17,2026-01-03 13:05:38,2026-01-03 13:39:15
ORD017345,Cedritos,CED_D02,2026-01-03 13:13:39,2026-01-03 13:16:20,2026-01-03 13:45:11
ORD017346,Cedritos,CED_D06,2026-01-03 13:20:13,2026-01-03 13:22:19,2026-01-03 13:37:17
ORD017347,Cedritos,CED_D01,2026-01-03 13:20:36,2026-01-03 13:21:50,2026-01-03 13:48:55
ORD017348,Cedritos,CED_D04,2026-01-03 13:24:27,2026-01-03 13:25:47,2026-01-03 14:05:33
ORD017349,Cedritos,CED_D05,2026-01-03 13:30:41,2026-01-03 13:32:13,2026-01-03 14:04:43
ORD017350,Cedritos,CED_D07,2026-01-03 13:32:24,2026-01-03 13:34:59,2026-01-03 13:53:47
ORD017351,Cedritos,CED_D06,2026-01-03 13:35:13,2026-01-03 13:38:37,2026-01-03 14:04:01
ORD017352,Cedritos,CED_D03,2026-01-03 13:39:15,2026-01-03 13:40:23,2026-01-03 14:07:38
ORD017353,Cedritos,CED_D02,2026-01-03 13:40:57,2026-01-03 13:46:53,2026-01-03 14:20:26
ORD017354,Cedritos,CED_D01,2026-01-03 13:47:15,2026-01-03 13:49:58,2026-01-03 14:18:22
ORD017355,Cedritos,CED_D07,2026-01-03 13:51:26,2026-01-03 13:55:15,2026-01-03 14:16:39
ORD017356,Cedritos,CED_D06,2026-01-03 13:52:50,2026-01-03 14:05:14,2026-01-03 14:24:36
ORD017357,Cedritos,CED_D05,2026-01-03 13:55:08,2026-01-03 14:06:31,2026-01-03 14:26:04
ORD017358,Cedritos,CED_D04,2026-01-03 13:55:39,2026-01-03 14:06:33,2026-01-03 14:33:18
ORD017359,Cedritos,CED_D03,2026-01-03 13:56:19,2026-01-03 14:08:58,2026-01-03 14:33:17
ORD017360,Cedritos,CED_D07,2026-01-03 14:17:12,2026-01-03 14:19:34,2026-01-03 14:45:00
ORD017361,Cedritos,CED_D01,2026-01-03 14:30:20,2026-01-03 14:34:16,2026-01-03 15:01:14
ORD017362,Cedritos,CED_D02,2026-01-03 14:44:11,2026-01-03 14:45:42,2026-01-03 15:06:59
ORD017363,Cedritos,CED_D06,2026-01-03 15:03:24,2026-01-03 15:06:46,2026-01-03 15:26:16
ORD017364,Cedritos,CED_D05,2026-01-03 15:03:33,2026-01-03 15:05:12,2026-01-03 15:31:36
ORD017365,Cedritos,CED_D03,2026-01-03 15:03:52,2026-01-03 15:05:32,2026-01-03 15:36:32
ORD017366,Cedritos,CED_D04,2026-01-03 15:04:03,2026-01-03 15:07:56,2026-01-03 15:37:51
ORD017367,Cedritos,CED_D07,2026-01-03 15:04:37,2026-01-03 15:08:18,2026-01-03 15:33:34
ORD017368,Cedritos,CED_D01,2026-01-03 15:12:32,2026-01-03 15:14:21,2026-01-03 15:40:23
ORD017369,Cedritos,CED_D02,2026-01-03 15:30:12,2026-01-03 15:33:20,2026-01-03 15:55:11
ORD017370,Cedritos,CED_D06,2026-01-03 15:33:27,2026-01-03 15:35:23,2026-01-03 16:02:36
ORD017371,Cedritos,CED_D05,2026-01-03 15:40:13,2026-01-03 15:43:38,2026-01-03 16:09:12
ORD017372,Cedritos,CED_D07,2026-01-03 15:40:42,2026-01-03 15:43:59,2026-01-03 16:10:22
ORD017373,Cedritos,CED_D03,2026-01-03 15:48:14,2026-01-03 15:49:37,2026-01-03 16:10:10
ORD017374,Cedritos,CED_D04,2026-01-03 16:03:39,2026-01-03 16:07:22,2026-01-03 17:00:29
ORD017375,Cedritos,CED_D01,2026-01-03 16:10:52,2026-01-03 16:13:46,2026-01-03 16:47:20
ORD017376,Cedritos,CED_D02,2026-01-03 16:19:57,2026-01-03 16:21:45,2026-01-03 16:46:02
ORD017377,Cedritos,CED_D06,2026-01-03 16:32:06,2026-01-03 16:33:14,2026-01-03 16:57:20
ORD017378,Cedritos,CED_D05,2026-01-03 16:36:37,2026-01-03 16:38:08,2026-01-03 17:06:00
ORD017379,Cedritos,CED_D03,2026-01-03 16:38:59,2026-01-03 16:41:30,2026-01-03 17:09:41
ORD017380,Cedritos,CED_D07,2026-01-03 16:53:05,2026-01-03 16:57:00,2026-01-03 17:19:01
ORD017381,Cedritos,CED_D02,2026-01-03 17:05:20,2026-01-03 17:07:54,2026-01-03 17:31:31
ORD017382,Cedritos,CED_D01,2026-01-03 17:13:17,2026-01-03 17:16:20,2026-01-03 17:52:23
ORD017383,Cedritos,CED_D06,2026-01-03 17:31:37,2026-01-03 17:34:55,2026-01-03 17:57:31
ORD017384,Cedritos,CED_D04,2026-01-03 17:31:39,2026-01-03 17:32:51,2026-01-03 18:00:16
ORD017385,Cedritos,CED_D05,2026-01-03 17:33:54,2026-01-03 17:35:19,2026-01-03 18:14:52
ORD017386,Cedritos,CED_D03,2026-01-03 17:37:52,2026-01-03 17:41:25,2026-01-03 18:14:42
ORD017387,Cedritos,CED_D07,2026-01-03 17:38:46,2026-01-03 17:41:42,2026-01-03 18:06:26
ORD017388,Cedritos,CED_D02,2026-01-03 17:41:47,2026-01-03 17:43:54,2026-01-03 18:12:03
ORD017389,Cedritos,CED_D01,2026-01-03 17:48:08,2026-01-03 17:54:01,2026-01-03 18:25:50
ORD017390,Cedritos,CED_D06,2026-01-03 18:05:55,2026-01-03 18:07:13,2026-01-03 18:34:23
ORD017391,Cedritos,CED_D04,2026-01-03 18:21:07,2026-01-03 18:25:06,2026-01-03 18:50:37
ORD017392,Cedritos,CED_D07,2026-01-03 18:39:00,2026-01-03 18:41:24,2026-01-03 19:10:13
ORD017393,Cedritos,CED_D02,2026-01-03 19:00:28,2026-01-03 19:03:37,2026-01-03 19:36:11
ORD017394,Cedritos,CED_D03,2026-01-03 19:03:37,2026-01-03 19:07:00,2026-01-03 19:49:08
ORD017395,Cedritos,CED_D05,2026-01-03 19:03:41,2026-01-03 19:06:27,2026-01-03 19:50:03
ORD017396,Cedritos,CED_D01,2026-01-03 19:12:39,2026-01-03 19:14:37,2026-01-03 19:41:27
ORD017397,Cedritos,CED_D06,2026-01-03 19:17:51,2026-01-03 19:21:49,2026-01-03 19:40:47
ORD017398,Cedritos,CED_D04,2026-01-03 19:18:15,2026-01-03 19:21:12,2026-01-03 19:42:29
ORD017399,Cedritos,CED_D07,2026-01-03 19:23:08,2026-01-03 19:26:30,2026-01-03 19:59:28
ORD017400,Cedritos,CED_D02,2026-01-03 19:24:40,2026-01-03 19:37:26,2026-01-03 20:22:03
ORD017401,Cedritos,CED_D06,2026-01-03 19:28:08,2026-01-03 19:41:19,2026-01-03 20:02:43
ORD017402,Cedritos,CED_D01,2026-01-03 19:33:16,2026-01-03 19:42:08,2026-01-03 20:09:01
ORD017403,Cedritos,CED_D04,2026-01-03 19:33:35,2026-01-03 19:44:21,2026-01-03 20:13:59
ORD017404,Cedritos,CED_D03,2026-01-03 19:38:41,2026-01-03 19:50:19,2026-01-03 20:25:09
ORD017405,Cedritos,CED_D05,2026-01-03 19:41:05,2026-01-03 19:50:33,2026-01-03 20:29:37
ORD017406,Cedritos,CED_D07,2026-01-03 19:44:37,2026-01-03 20:00:25,2026-01-03 20:24:06
ORD017407,Cedritos,CED_D06,2026-01-03 20:11:12,2026-01-03 20:14:01,2026-01-03 20:49:04
ORD017408,Cedritos,CED_D01,2026-01-03 20:13:49,2026-01-03 20:17:35,2026-01-03 20:54:25
ORD017409,Cedritos,CED_D04,2026-01-03 20:15:40,2026-01-03 20:18:19,2026-01-03 20:40:27
ORD017410,Cedritos,CED_D02,2026-01-03 20:27:34,2026-01-03 20:29:35,2026-01-03 20:56:14
ORD017411,Cedritos,CED_D07,2026-01-03 20:29:38,2026-01-03 20:30:56,2026-01-03 21:07:30
ORD017412,Cedritos,CED_D03,2026-01-03 20:36:52,2026-01-03 20:39:18,2026-01-03 21:20:21
ORD017413,Cedritos,CED_D05,2026-01-03 20:44:12,2026-01-03 20:45:27,2026-01-03 21:01:46
ORD017414,Cedritos,CED_D04,2026-01-03 20:44:57,2026-01-03 20:47:56,2026-01-03 21:11:31
ORD017415,Cedritos,CED_D06,2026-01-03 20:45:47,2026-01-03 20:50:36,2026-01-03 21:16:04
ORD017416,Cedritos,CED_D01,2026-01-03 20:48:01,2026-01-03 20:55:30,2026-01-03 21:23:51
ORD017417,Cedritos,CED_D02,2026-01-03 20:56:44,2026-01-03 20:57:53,2026-01-03 21:26:12
ORD017418,Cedritos,CED_D05,2026-01-03 21:08:11,2026-01-03 21:11:20,2026-01-03 21:31:52
ORD017419,Cedritos,CED_D07,2026-01-03 21:28:53,2026-01-03 21:31:28,2026-01-03 21:51:16
ORD017420,Cedritos,CED_D04,2026-01-04 11:19:45,2026-01-04 11:23:12,2026-01-04 11:49:19
