,x1,x2,x3,x4,y,noise1,noise2,noise3
52,78,213,485,820,5073.256719824467,35722,17,2.3813744801477954
53,88,158,167,953,2298.4811860332647,362,82,1.6997884547373285
54,83,177,452,563,4655.097608668212,22802,2,1.5835934055259817
55,48,99,408,519,3867.427271820979,30977,1,2.164872877611069
56,104,91,262,1043,2785.780238614953,37250,6562,2.3541032499159593
57,38,222,244,519,3099.193117934826,6401,1297,2.02993589512489
58,119,184,305,885,3589.7567916691087,25601,17,1.8735722317191752
59,62,145,380,823,3885.1930259073188,12101,82,2.131950841130032
60,111,129,393,947,4023.953651164638,6085,1297,1.6521320062504115
61,46,143,447,1179,4376.938478923931,24965,626,2.1224240464244435
62,92,109,453,722,4369.930156074755,23410,17,2.033330778125267
63,45,227,296,1058,3553.533939083626,32401,82,2.2194991263491026
64,44,120,479,1191,4522.78842694249,17690,1,1.8454454669325826
65,129,158,308,648,3516.8740583042536,8465,2,1.9567567620263016
66,84,210,253,582,3217.1280887483053,17690,4097,2.019117403353678
67,25,68,195,721,1970.1005610105847,7057,4097,2.06788598290327
68,31,120,295,839,3021.822208496802,24026,2,1.4782139299059123
69,32,86,269,1085,2659.876123473254,23410,1,2.2811642252425663
70,112,131,257,675,2947.1927317740356,17425,1,2.3218693999123463
71,19,156,479,509,4633.845000705589,3137,4097,1.7508419634085297
72,70,224,358,1121,4090.7972978182434,15377,6562,1.4027034480503824
73,75,220,291,566,3547.4426284244446,34970,82,2.2192173974146217
74,126,233,188,1083,2895.1333376975863,21905,1297,1.4270486322079576
75,92,148,426,607,4332.905966651647,33125,2,1.6517560615557074
76,22,196,471,1052,4760.332292074254,5330,2402,2.0121906679484343
77,65,91,270,652,2763.588316718547,18226,1,1.8265264856791243
78,15,121,438,565,4135.604325382238,1765,626,1.4474956275717201
79,71,230,253,908,3280.2845096507317,13457,1297,1.691981445828571
80,42,133,400,694,3946.3397247665444,442,626,2.0805627934191726
81,44,134,268,607,2898.7986535188375,22501,1,1.7575102508213978
82,98,199,386,1094,4260.843833685716,14401,1,2.0085040855088288
83,51,117,313,879,3196.333091575578,1297,2402,1.9834293968658856
84,106,99,223,997,2514.886580503461,28562,257,1.4564461590873048
85,45,115,422,1116,4046.068066100387,442,82,1.7792346512712456
86,128,197,360,925,4109.954008246095,15626,1297,2.2762633152497247
87,124,137,274,1076,3136.701672759885,14885,257,1.9858648002621053
88,58,180,414,1044,4310.049762044171,2602,17,2.040432508623442
89,94,142,196,1117,2470.0040530790416,122,626,2.2852101974976664
90,115,159,494,683,4978.035952114802,4625,17,1.7516695070900536
91,74,72,325,716,3135.676925664642,401,6562,1.5772692258832917
92,49,126,228,1041,2553.0517736639454,29585,4097,1.4279264142462984
93,73,60,407,1051,3734.746093436089,12545,2402,2.3911938129716903
94,4,108,184,711,2019.6637153311474,26570,2,2.2785762186904073
95,42,210,467,736,4836.4129121919705,12101,82,2.076570560027049
96,11,58,263,632,2437.3018277906795,27557,1297,1.6874399297804956
97,19,228,285,916,3412.2277050043294,5930,2,1.9936530494385334
98,125,115,398,1132,4029.711561994155,6725,1297,1.51968162010987
99,13,222,159,831,2364.03303097998,19322,82,1.9871409775920195
100,47,94,402,522,3793.4683307346695,16130,626,1.9372497354043017
101,25,219,394,1132,4256.505296531327,11882,4097,2.3692138008480494
102,5,86,322,1102,3024.4037112221554,1025,17,1.607158704213445
103,57,87,363,1166,3471.87721146808,50,1297,1.822466085746841
104,128,81,492,673,4631.996411587432,34226,2402,2.184323250879696
105,62,113,163,701,2002.580981826091,6890,626,1.5829828146802127
106,16,85,401,824,3676.6862813459925,14401,2,1.7732184970759048
107,18,138,351,1067,3524.3492497610814,20165,2402,1.845722038353089
108,42,153,465,812,4557.852200452264,23717,1,1.985675734721077
109,94,63,140,1138,1658.5292446014982,14401,626,1.4154754840179251
110,119,138,430,1139,4378.6605271548815,17957,257,1.8044403643474878
111,6,140,311,1150,3187.4537311205763,5626,82,1.9047465912737722
112,110,133,435,851,4375.613795292494,30626,82,2.390076445510247
113,66,65,178,1007,1909.9280142914884,1601,257,2.374760760943359
114,24,97,253,964,2564.7847968630513,19882,2402,2.076196730392573
115,68,223,407,778,4473.310135846537,13457,4097,1.85866135933276
116,86,216,137,876,2320.84314125943,3482,1297,1.489077964188223
117,68,193,400,890,4279.482939689087,5626,2402,1.531179071142856
118,34,56,247,1043,2350.0267330699376,962,4097,2.2796037781754324
119,23,139,147,921,1907.5775216271547,39205,1,1.5560791320951193
120,42,153,205,660,2478.350549822344,26245,626,2.326736133618373
121,86,158,286,815,3245.9714164869056,24965,2,1.735223455257481
122,42,107,158,1104,1890.8372476047077,1937,257,1.5344108409439303
123,126,233,467,773,5126.940814768166,26570,6562,2.0102805188156676
124,101,226,381,555,4352.0373021846035,36865,257,1.75069647152412
125,25,118,466,647,4367.552973298082,10610,4097,2.334703304071534
126,7,91,354,1036,3308.3062384639975,33857,4097,1.5544521575864203
127,117,205,465,813,4962.652928110766,11237,2,1.862201188811822
128,72,96,439,660,4153.755199044238,2117,17,1.4625095776889547
129,35,176,212,926,2624.2292533835257,82,626,1.7981718628436205
130,42,101,229,932,2431.302486099977,38810,2,2.391614292927838
131,47,153,361,723,3737.523332027729,34597,1297,1.6151774091115665
132,6,83,225,958,2236.9918813046215,145,1297,2.2130031021784613
133,32,161,208,1152,2516.689044606192,33490,1297,2.371860053528297
134,114,82,419,584,4022.207035278853,5930,2,1.727831041694732
135,72,161,228,799,2764.9236470434253,4097,1297,2.1877257825040015
136,6,97,177,826,1917.5566624108924,12101,6562,1.7648999285568303
137,89,219,411,1073,4533.228817226082,2402,4097,2.2687640909205875
138,52,197,191,1088,2590.524882596432,35722,17,2.119738133899637
139,74,210,222,1110,2946.6413210353994,122,626,1.7801025000530573
140,84,196,423,1002,4511.912466353607,901,2,2.1912767605171926
141,92,190,253,578,3142.828623529381,442,626,2.2845788721285865
142,12,193,328,667,3580.4307961379577,7397,82,1.8173359933706306
143,72,188,327,916,3680.9918688917405,26570,257,1.5732035091420977
144,115,162,253,1044,3063.9171918443235,1297,1,1.531942443229295
145,58,91,226,621,2396.2163623751367,226,1,2.104504333550225
146,14,92,394,629,3647.630194942868,401,1,1.9222407439977653
147,3,95,360,731,3365.4204056840704,3365,257,2.3216112061919914
148,11,92,281,1152,2736.920713086104,11237,2,1.752748311321808
149,49,145,407,622,4073.292333308441,677,82,1.5396358190695563
150,4,110,423,667,3940.9309208544455,1522,17,1.8273304661670569
151,85,77,433,902,4047.435010045738,1682,1297,2.3237573531496043
152,56,129,251,982,2766.3970848008,325,1297,2.159685188756324
153,34,223,462,994,4838.677788373134,4901,2,2.050546877429377
154,107,206,468,918,4968.528414911849,10001,82,1.9830446864956395
155,30,214,190,1169,2612.03896966377,16385,1,1.6552954821551626
156,2,83,431,613,3875.8513565539383,2602,82,2.1245989037062554
157,67,182,442,545,4562.8606415026325,122,626,2.083419248287737
158,48,185,325,1056,3598.689951478328,26897,2,1.8103270672679095
159,3,105,382,952,3588.0337343916954,27890,17,1.8200225052967811
160,88,114,449,1130,4352.292440509201,14401,2,1.660532351175281
161,30,174,493,663,4852.593000936413,6725,17,1.967034490005445
162,27,198,150,1100,2212.2678620280844,10610,6562,2.1668193578757418
163,60,177,250,643,2988.095800818388,28562,1297,1.972937534316714
164,82,174,407,1006,4278.474395840011,25282,1297,1.623461137293412
165,121,150,140,893,2117.914726197259,37637,4097,1.9663513806350887
166,31,192,429,596,4425.851544224275,4097,1,1.853025059175252
167,75,71,422,1043,3909.174838002241,24965,6562,1.8026448377263524
168,92,151,432,937,4394.515541505713,36865,4097,1.474564734082032
169,124,93,404,960,3974.734973361556,3845,2,1.4232560678424622
170,77,120,435,879,4243.821027991908,257,1,2.2393430907623637
171,107,185,493,797,5072.8034611057055,26245,1297,1.8838893062397135
172,78,84,405,1108,3840.2169699615447,37637,6562,1.7703123017444784
173,37,103,277,658,2812.981975203411,1226,626,1.8680658500909901
174,67,150,462,765,4575.028302661958,257,17,2.2884030017548076
175,46,81,489,995,4427.831120056228,39205,82,2.251883525412266
176,12,146,236,741,2628.3613664508302,4226,1297,2.2949088839793457
177,56,173,277,532,3176.526657320654,26897,17,1.692232738271057
178,55,102,243,691,2576.0370826118783,9605,1,2.31342603660812
179,80,66,404,1178,3753.975944120694,1682,17,2.302477002994591
180,121,208,431,664,4713.0482104591565,1370,257,1.991146432710642
181,91,86,349,1050,3429.3662895946923,2917,6562,1.5603007037107108
182,74,173,422,761,4376.165749557595,5330,626,1.8027089857569976
183,31,135,480,1072,4571.552458661505,6562,17,2.3655034610773997
184,97,233,378,689,4351.494831353362,5185,1,1.9031012478973635
185,16,161,384,1163,3889.326738524026,5477,4097,2.2379477143638726
186,52,130,464,660,4466.496513830362,24026,82,1.7685589820498873
187,42,79,420,1021,3858.1408119891908,2210,2402,2.0645060875221626
188,97,131,140,1077,1977.7109019840293,9802,6562,2.25971502176245
189,66,187,321,531,3615.8793491668566,170,2,1.581923809825148
190,108,231,177,1192,2758.127343339818,5930,2,1.753775502034029
191,89,101,425,632,4102.173541348855,24026,257,1.465103907309668
192,51,177,238,672,2872.0278815965494,3722,257,1.5089170728491474
193,87,135,233,1187,2718.5470583438455,37250,6562,1.723244350066736
194,80,89,481,549,4475.4646202715385,33490,17,1.747224524884154
195,83,233,257,882,3352.3865166827036,32042,257,1.7637287907736168
196,120,77,334,666,3332.5991237831813,15377,2402,2.2095631379110143
197,88,61,229,725,2347.7845736279796,34597,82,1.4856287226525757
198,11,71,221,620,2160.415449431285,34970,626,2.2810811699811606
199,96,170,333,620,3699.3278445933197,11450,257,1.5029772011158724
200,28,132,264,823,2823.0479053065696,29585,17,1.9282127345772437
201,41,147,447,948,4384.834642253496,14162,2402,1.6945436669357559
202,27,56,450,1068,3959.1679373774264,197,2402,2.0767202349562686
203,109,122,396,1085,4011.2262623049073,11882,17,1.6854624916690477
204,49,187,437,1123,4505.570779403953,20450,626,2.1574482403321364
205,38,167,190,598,2413.457685147918,38810,626,2.3432339448777695
206,43,161,362,945,3772.708093774043,24026,4097,1.9035704146087538
207,104,79,337,1144,3330.232481614352,1445,17,1.9661803129062685
208,86,205,163,534,2478.449869062824,3845,82,1.6788320836511115
209,37,121,374,942,3672.037197807762,25601,2,2.39552708900106
210,26,86,408,1030,3759.291437324859,6725,626,2.143018384595456
211,77,128,140,916,1920.008122562021,4625,257,2.2496475768413733
212,31,176,467,975,4655.713774529453,24965,17,1.4995480024841128
213,73,155,311,1060,3403.649950973647,226,1,2.0563877284926058
214,4,216,360,574,3924.5034475140988,7745,82,1.943770358489954
215,25,89,152,800,1722.335387654818,2210,6562,2.112388304182759
216,16,179,382,911,3956.2098717527297,3601,2402,2.168882206652645
217,94,131,248,1180,2835.177124468485,7057,6562,2.202302491987367
218,45,139,162,559,2075.993853550769,401,4097,1.7894218771551174
219,127,208,217,841,3013.787163759343,677,2402,1.420962059763672
220,112,62,233,1151,2437.9066136123506,6562,626,1.4741758172236037
221,76,72,345,860,3300.8532028946206,28562,4097,1.4740384968735942
222,97,153,192,517,2495.500847148756,25601,17,2.0518003638774553
223,47,195,290,1054,3362.531448397818,9217,2402,2.2776514656390874
224,110,91,256,939,2750.600961160188,28562,2402,1.9307565331427705
225,57,90,216,1024,2309.1337748926608,20450,2,2.2187327817321227
226,16,136,137,687,1798.3445702572421,19045,82,2.0539794539849967
227,62,106,338,894,3370.0238296384455,30277,4097,1.814272423839072
228,8,230,342,1030,3853.1885943301927,10202,4097,2.200805074917034
229,102,66,496,976,4538.181643149595,170,2,1.9029728437701516
230,31,202,303,594,3463.1565085920734,122,82,1.5112181084226421
231,84,202,195,589,2716.1752575577725,65,2,2.3852010188441835
232,73,214,314,522,3698.957237642432,27890,17,2.322528011985723
233,83,126,319,1143,3355.886274008889,2810,2,1.8311102144054967
234,102,110,422,909,4148.400805349522,39205,82,2.3657236297863067
235,121,118,248,1108,2835.177030602165,16385,1297,1.5948756077522483
236,19,145,240,941,2671.170948473353,4357,6562,1.5710300264239212
237,101,75,223,1019,2393.424594968815,27557,1,1.9751832358914712
238,74,222,333,1109,3890.1307538894844,27890,2,1.568736275607454
239,105,195,461,1093,4858.094262282742,2501,257,2.262812419960859
240,6,99,401,715,3718.23717583615,34226,2402,2.3398604217749233
241,65,73,335,860,3200.9967995393554,65,4097,2.3725763429969673
242,13,158,265,614,2917.3628615715893,11026,82,1.6160639522737066
243,78,222,436,904,4722.97806945648,23105,17,2.1815474223759574
244,29,146,137,915,1873.4350796502051,19601,257,1.8604742682915598
245,87,196,221,877,2903.4206999499834,5477,17,1.7246104411566616
246,2,107,414,729,3850.4205571072876,17690,82,2.123377200064244
247,65,202,371,644,4082.6074552739556,3970,17,1.9874115547942321
248,118,112,217,1033,2552.467485627701,2402,17,1.600540636434863
249,73,140,353,1149,3670.5362393310897,65,626,1.7580875809696612
250,77,142,283,1126,3129.063368768034,6242,2402,2.2646028351623047
251,12,175,155,562,2113.6856961057656,35345,17,2.3845401962903745
252,82,195,192,1042,2655.1745954708263,34597,257,2.32885831103405
253,80,145,384,950,3956.5276929162515,1090,17,1.7535579689401462
254,59,182,380,806,4048.6918912472943,170,1297,1.4192213483974534
255,45,217,375,935,4138.705805920298,1850,1297,2.0752078580978854
256,115,142,323,529,3532.179722044574,32401,257,1.6837084813453083
257,6,88,433,578,3923.973856885077,17425,17,1.6989778767548795
258,44,115,445,595,4227.372849960672,12545,626,2.3437859528202614
259,10,210,140,523,2149.61564328828,5930,626,1.7040662680636582
260,114,158,477,526,4835.500368025657,2305,2402,1.4835113809354459
261,12,189,475,820,4737.538119141749,13226,257,2.325168838661865
262,24,105,334,1093,3249.7923670109453,38417,4097,2.137344616766094
263,36,99,496,609,4544.5155405140085,32401,2402,1.6144909139074661
264,107,116,461,1077,4498.675737585179,38810,257,2.0522115452424496
265,96,72,400,804,3783.994739828066,10817,6562,2.2942751341588528
266,79,78,148,1132,1758.1593580620222,401,82,2.2928179041157843
267,28,163,260,847,2933.277651664379,20450,257,1.6693113327578066
268,42,163,271,822,3052.6011125961004,3137,82,1.499177684909746
269,6,206,490,842,4923.270018235348,25922,2,1.4428155833663916
270,123,95,358,741,3613.84465662007,8465,2402,1.9122540932636065
271,105,58,171,1192,1907.4784680243338,577,17,1.958025555848873
272,7,228,256,879,3154.482254277994,3482,2402,2.1342072835659898
273,21,217,286,878,3374.2051952591496,5330,2402,1.6016707949291578
274,73,159,177,651,2349.9237659675773,10405,1,1.7205673800842147
275,90,58,208,1178,2171.0092433081304,3026,626,1.4486741487222023
276,72,158,361,1084,3815.0239960236895,21905,82,2.083737595665943
277,53,86,357,994,3410.1620293503433,626,4097,1.4460006406290766
278,11,200,351,593,3793.762205765817,2117,2402,1.6209597796725044
279,10,208,408,1058,4285.081830346655,65,17,2.2135733711202317
280,112,179,492,845,5048.278583672525,25282,1297,1.6544185965364115
281,102,59,438,865,4041.3974971428006,9410,6562,1.7511405613889939
282,17,68,283,510,2655.74540876069,65,626,1.676231528702003
283,63,225,227,944,3031.8607216574487,7922,626,2.0428909138710276
284,44,137,433,1109,4232.820934837177,5930,626,2.186419637664888
285,66,145,206,994,2502.052370535127,677,17,2.249326784891509
286,73,98,150,775,1853.468331880282,4625,6562,1.9911089475063948
287,49,148,479,1124,4662.389717729885,19322,2,2.081198843801182
288,27,56,453,868,3983.2199453539956,22802,626,1.747286841933738
289,104,121,138,764,1930.9065229923676,24965,1297,2.0027173123908675
290,98,200,232,1084,3033.922611550869,37,1297,1.9303233520376224
291,77,162,308,820,3420.8211235819936,15377,2,2.3197132902753417
292,9,231,465,1005,4844.223775780727,1297,17,1.428406228886863
293,11,162,213,901,2515.791784557451,7397,257,1.482455631123052
294,76,97,186,822,2143.321205640978,962,1,2.0516508682241907
295,76,99,146,802,1832.6525844787843,730,4097,2.159974794565666
296,67,173,227,905,2800.8669036729975,3250,17,1.5565240300309893
297,120,105,295,641,3149.1329074202686,2402,257,2.161363986615658
298,81,197,207,573,2782.6419935399413,23717,82,2.1171675004371924
299,26,106,206,967,2234.3636293155537,3137,17,2.39186438079281
300,35,115,344,1089,3400.1684778508184,12997,626,1.802465172591341
301,99,198,256,869,3218.81368706701,9802,1,2.2464037700932176
302,109,118,160,667,2104.983987024067,325,1297,1.895332209105511
303,19,225,276,789,3327.183301378135,1226,17,1.4529108437031915
304,116,158,409,868,4296.436597177468,2210,1,2.1991231501747333
305,19,77,346,684,3206.1420290558867,15130,1297,2.204401127588565
306,94,172,215,1168,2759.8657494950976,3482,1,1.7894080621495987
307,97,89,429,935,4096.727071021005,22802,626,1.676116922035238
308,22,223,179,643,2548.627232326656,26570,626,2.010223866520045
309,119,144,252,703,2982.6599861267514,37,1297,1.6004731521227893
310,125,151,445,607,4571.485296351449,10202,1297,1.8795470416629358
311,55,134,273,505,2963.5131925310225,16642,2402,1.6315927111364945
312,48,108,444,980,4196.490273710242,197,6562,2.0197450823544965
313,46,79,154,828,1738.2963579159277,4901,2,1.4640000051158788
314,8,108,287,577,2852.4115860179313,10405,6562,2.336308928688135
315,1,98,424,684,3886.5352231051747,3970,17,1.8079117126403736
316,122,196,438,923,4716.427242523782,24026,4097,1.5839230010320478
317,6,86,216,824,2178.3044394897097,21317,2,1.9220669737292433
318,12,122,211,600,2317.3156535536714,9802,626,1.616406845858521
319,58,144,480,1069,4672.240990624652,3722,4097,2.2428890027793265
320,68,92,445,612,4174.68608568799,2810,1,2.3938108385151167
321,80,91,222,511,2412.553298837768,22802,1,2.2352206499479146
322,96,203,471,1133,4955.223691570335,442,82,1.8093846324812741
323,33,208,198,1181,2655.403820246498,2501,626,1.602312921467635
324,45,196,310,568,3522.9795292812764,30977,2402,2.3385543382168823
325,39,232,439,1119,4706.612320352216,35722,82,2.313593187512063
326,67,173,235,916,2865.6758107657793,19601,1,1.709042436317168
327,93,232,305,697,3753.970601582367,101,2,1.9497230844972346
328,89,61,356,713,3366.815056989779,11450,1,2.074388910299018
329,26,57,478,951,4185.196653102413,5930,6562,1.6487956951918123
330,1,167,466,579,4540.532690948343,31685,2,2.136172834730656
331,109,148,221,1018,2730.9833436202225,6242,1,1.8978560616511038
332,30,69,242,857,2361.7304242189475,13925,257,1.7657414011190211
333,14,132,274,681,2872.017705543836,1090,1297,1.597107417449756
334,70,95,353,1126,3457.1252332377176,4357,2,2.0264269025435593
335,124,147,491,625,4919.143603212254,30977,17,1.4928552066097178
336,31,158,479,762,4668.686486984313,442,2,1.9228540062629942
337,120,227,326,645,3958.220716410864,21317,6562,1.8248009206016151
338,32,190,420,1157,4345.979045878646,8101,257,1.4198065637956803
339,43,186,339,1014,3704.0282375400643,14162,17,2.3486474798352783
340,41,148,428,1066,4236.882208002947,3250,1297,2.333380845570385
341,51,203,350,1165,3888.1604170411133,5185,82,1.5436437901564857
342,18,82,440,1119,3978.527214171047,27890,1,2.235259403870212
343,96,159,331,837,3632.379032930321,4762,2402,1.6389247539027503
344,72,84,202,816,2202.3657415594835,33857,82,1.5651364812440098
345,65,145,255,1022,2891.558118946863,145,82,2.082756170702966
346,41,133,370,674,3703.6731293705275,19322,82,1.5237178001498468
347,66,216,198,986,2765.09916467259,6401,1297,1.5561579797473994
348,61,72,485,505,4387.8856550244145,17162,6562,1.6287440111485318
349,129,71,240,586,2572.5957675375544,9605,257,2.0257245587281885
350,110,105,497,719,4743.470504213074,35722,6562,2.10184676467016
351,21,203,370,714,3981.651015997599,1157,2402,2.3793724289379536
352,32,218,340,912,3835.501717287551,2602,626,1.8157466811134706
353,62,183,227,929,2836.130060371425,20165,1297,1.4035615043081597
354,35,232,188,718,2690.5248331872745,15377,4097,1.43014455192897
355,107,186,236,784,3020.605923776824,5185,2402,1.7603043333590522
356,107,182,154,847,2346.167703209938,2305,17,2.023065664648111
357,47,211,356,657,3963.9303351302674,11237,6562,2.323452147523881
358,26,124,473,777,4454.028948670132,8837,6562,2.0094066167500304
359,2,200,266,1029,3093.964473272063,22202,1297,1.8276032237546724
360,111,198,191,1175,2724.5260855677866,2026,626,2.307424807930642
361,10,71,393,1090,3534.7635822428124,17425,626,2.101300955412478
362,81,78,300,700,2978.661549231162,14885,626,1.597273876164309
363,77,174,458,660,4675.785269297046,31330,1297,1.6030677584286588
364,118,202,432,571,4686.648022146449,32762,2,1.7116186731961802
365,31,68,437,591,3919.3421460954182,16385,6562,1.8675032363941155
366,119,78,289,988,2974.240524452493,257,2,1.7464966089143004
367,112,136,228,1091,2737.5536126741467,122,1,2.066673606548886
368,100,112,237,858,2673.1058015147905,5330,1,1.6253766032471217
369,71,141,147,571,2022.459247354935,3845,2402,1.5969146266433492
370,22,227,222,539,2910.67103463212,21610,82,1.5686143338984917
371,13,152,405,532,4009.4549694465527,677,82,1.809852098590864
372,64,157,410,861,4185.192432580082,8837,626,2.2075616774894127
373,61,143,288,1157,3138.316334412779,6890,2,1.5839713467479195
374,53,133,202,990,2386.648265989927,12545,82,2.1606613102880194
375,42,161,159,635,2146.952352385064,5777,1,2.1862911355612025
376,103,189,165,754,2457.8863698082623,38026,626,1.6170500103369174
377,27,169,478,1047,4703.198205531985,8650,2402,1.6913351314692684
378,12,172,310,659,3339.9985935310456,9410,6562,2.1139698923592976
379,129,185,326,1138,3785.0390030091403,16642,1,1.6928211082865734
380,117,76,173,707,2033.284110747912,28901,2,1.6588907645746822
381,100,86,353,717,3481.9761665982455,3845,257,1.5885717836221962
382,95,223,348,826,4061.267787012099,36865,626,1.4966290291749829
383,123,191,299,655,3583.5903182553147,1682,1,2.193007654972174
384,93,99,243,851,2645.674925977921,5930,2402,1.793407541874978
385,104,213,435,1003,4730.639593038729,1601,17,2.1118150162982348
386,19,71,439,587,3922.24847261841,21905,626,2.197451233597093
387,86,133,280,861,3083.3872316266743,4625,6562,2.3092388389879046
388,63,173,480,1112,4816.456897143449,39205,1297,1.489869043700653
389,7,183,344,522,3651.279794520265,27890,1297,2.033614981937112
390,100,205,449,896,4796.601458376776,3026,4097,2.1364290511563215
391,9,207,242,837,2949.985017969755,29242,17,2.0623699154682473
392,18,169,135,1170,1938.9523353586792,485,17,1.4860588037222953
393,128,143,320,598,3541.2629731055636,82,82,1.558678109869247
394,97,231,387,838,4414.354544629797,11450,17,1.8274303499100046
395,107,209,459,981,4910.34131761223,30977,4097,2.0628349431019353
396,127,123,246,1139,2855.5896197656944,36482,1,2.0691313074415056
397,87,219,379,738,4272.939978064918,5930,6562,2.316976570609052
398,85,219,225,847,3036.1654870831003,4625,6562,2.1808062888744297
399,103,227,430,722,4752.912912519958,785,1297,2.3559198670608206
400,126,182,329,513,3788.1815352856656,2501,1297,1.7708599164585173
401,111,125,425,914,4260.870423196784,27557,2402,1.7375705905353758
402,30,152,488,504,4710.798990217355,19601,1297,1.9010896365950887
403,34,139,380,779,3796.275457167982,23410,257,2.1865274613040366
404,31,156,267,813,2963.8286631781416,1850,626,2.159875770887634
405,118,213,172,722,2657.851528961177,16130,82,1.9204646148870697
406,92,227,317,583,3825.0296883975975,290,626,1.6222705511350877
407,49,201,192,948,2610.401668291109,65,1,2.1677466309477342
408,90,94,265,634,2792.250220624508,25922,1,2.2329243216555126
409,121,60,282,516,2840.2149074536514,35345,1,1.9981813986054502
410,69,152,230,589,2732.766513318501,7922,1297,2.39066519864146
411,122,131,360,844,3792.986278136333,10001,626,2.1866497924171817
412,119,69,463,616,4325.4570698227,5777,626,1.4082074273574694
413,68,160,463,821,4631.567088161624,30626,82,2.0306952465623134
414,43,184,314,649,3495.1462551372906,9410,2,1.9191736918131692
415,48,108,347,538,3420.89731521797,24026,4097,2.277790938695201
416,72,129,327,736,3409.4736911935065,11665,626,1.9336743564026841
417,55,178,138,1011,2085.819222435814,37,1297,2.357527458665583
418,94,68,158,1098,1826.0185691938036,2810,4097,1.8463906890452597
419,73,183,291,971,3372.536576128648,21610,4097,1.9669935216125176
420,104,128,406,688,4107.287714193542,442,1,1.94078263824455
421,13,215,253,819,3083.8680818841167,14162,2,1.7596728750079458
422,82,131,457,551,4481.159970371465,26570,4097,1.5950311763613017
423,6,63,258,948,2409.1227273376976,36101,1297,1.4282455307117563
424,71,164,401,704,4160.230822159836,5477,2402,2.190355489424083
425,53,220,468,870,4914.137737854166,14162,2402,1.4071161869726072
426,33,127,202,892,2315.0337830892768,33490,2402,1.5929732119033877
